Freq.	V(out_preamp)
1.09395636627209e+00	(-5.73327120784372e+00dB,-1.79994715980392e+02°)
1.09647819614318e+00	(-5.73327120763299e+00dB,-1.79994703799469e+02°)
1.09900583943252e+00	(-5.73327120742129e+00dB,-1.79994691590466e+02°)
1.10153930954141e+00	(-5.73327120720861e+00dB,-1.79994679353318e+02°)
1.10407861990207e+00	(-5.73327120699495e+00dB,-1.79994667087961e+02°)
1.10662378397766e+00	(-5.73327120678031e+00dB,-1.79994654794329e+02°)
1.10917481526240e+00	(-5.73327120656467e+00dB,-1.79994642472357e+02°)
1.11173172728159e+00	(-5.73327120634803e+00dB,-1.79994630121981e+02°)
1.11429453359173e+00	(-5.73327120613040e+00dB,-1.79994617743133e+02°)
1.11686324778056e+00	(-5.73327120591177e+00dB,-1.79994605335750e+02°)
1.11943788346715e+00	(-5.73327120569212e+00dB,-1.79994592899765e+02°)
1.12201845430196e+00	(-5.73327120547146e+00dB,-1.79994580435111e+02°)
1.12460497396692e+00	(-5.73327120524978e+00dB,-1.79994567941724e+02°)
1.12719745617551e+00	(-5.73327120502708e+00dB,-1.79994555419537e+02°)
1.12979591467280e+00	(-5.73327120480335e+00dB,-1.79994542868483e+02°)
1.13240036323556e+00	(-5.73327120457858e+00dB,-1.79994530288495e+02°)
1.13501081567231e+00	(-5.73327120435279e+00dB,-1.79994517679508e+02°)
1.13762728582343e+00	(-5.73327120412594e+00dB,-1.79994505041454e+02°)
1.14024978756117e+00	(-5.73327120389806e+00dB,-1.79994492374267e+02°)
1.14287833478977e+00	(-5.73327120366912e+00dB,-1.79994479677878e+02°)
1.14551294144553e+00	(-5.73327120343912e+00dB,-1.79994466952222e+02°)
1.14815362149688e+00	(-5.73327120320806e+00dB,-1.79994454197229e+02°)
1.15080038894443e+00	(-5.73327120297593e+00dB,-1.79994441412834e+02°)
1.15345325782109e+00	(-5.73327120274273e+00dB,-1.79994428598967e+02°)
1.15611224219210e+00	(-5.73327120250846e+00dB,-1.79994415755561e+02°)
1.15877735615512e+00	(-5.73327120227311e+00dB,-1.79994402882549e+02°)
1.16144861384034e+00	(-5.73327120203666e+00dB,-1.79994389979861e+02°)
1.16412602941049e+00	(-5.73327120179913e+00dB,-1.79994377047429e+02°)
1.16680961706096e+00	(-5.73327120156050e+00dB,-1.79994364085184e+02°)
1.16949939101987e+00	(-5.73327120132077e+00dB,-1.79994351093059e+02°)
1.17219536554813e+00	(-5.73327120107993e+00dB,-1.79994338070984e+02°)
1.17489755493953e+00	(-5.73327120083798e+00dB,-1.79994325018889e+02°)
1.17760597352080e+00	(-5.73327120059492e+00dB,-1.79994311936707e+02°)
1.18032063565173e+00	(-5.73327120035073e+00dB,-1.79994298824367e+02°)
1.18304155572516e+00	(-5.73327120010542e+00dB,-1.79994285681800e+02°)
1.18576874816716e+00	(-5.73327119985897e+00dB,-1.79994272508936e+02°)
1.18850222743702e+00	(-5.73327119961139e+00dB,-1.79994259305706e+02°)
1.19124200802737e+00	(-5.73327119936265e+00dB,-1.79994246072039e+02°)
1.19398810446427e+00	(-5.73327119911278e+00dB,-1.79994232807865e+02°)
1.19674053130724e+00	(-5.73327119886175e+00dB,-1.79994219513114e+02°)
1.19949930314938e+00	(-5.73327119860956e+00dB,-1.79994206187716e+02°)
1.20226443461741e+00	(-5.73327119835621e+00dB,-1.79994192831600e+02°)
1.20503594037179e+00	(-5.73327119810169e+00dB,-1.79994179444694e+02°)
1.20781383510678e+00	(-5.73327119784600e+00dB,-1.79994166026928e+02°)
1.21059813355048e+00	(-5.73327119758912e+00dB,-1.79994152578232e+02°)
1.21338885046497e+00	(-5.73327119733106e+00dB,-1.79994139098532e+02°)
1.21618600064636e+00	(-5.73327119707181e+00dB,-1.79994125587759e+02°)
1.21898959892486e+00	(-5.73327119681136e+00dB,-1.79994112045841e+02°)
1.22179966016487e+00	(-5.73327119654970e+00dB,-1.79994098472705e+02°)
1.22461619926504e+00	(-5.73327119628685e+00dB,-1.79994084868279e+02°)
1.22743923115840e+00	(-5.73327119602277e+00dB,-1.79994071232493e+02°)
1.23026877081238e+00	(-5.73327119575748e+00dB,-1.79994057565272e+02°)
1.23310483322890e+00	(-5.73327119549096e+00dB,-1.79994043866545e+02°)
1.23594743344451e+00	(-5.73327119522322e+00dB,-1.79994030136240e+02°)
1.23879658653036e+00	(-5.73327119495423e+00dB,-1.79994016374283e+02°)
1.24165230759241e+00	(-5.73327119468401e+00dB,-1.79994002580601e+02°)
1.24451461177138e+00	(-5.73327119441254e+00dB,-1.79993988755122e+02°)
1.24738351424294e+00	(-5.73327119413982e+00dB,-1.79993974897771e+02°)
1.25025903021771e+00	(-5.73327119386583e+00dB,-1.79993961008476e+02°)
1.25314117494141e+00	(-5.73327119359059e+00dB,-1.79993947087163e+02°)
1.25602996369487e+00	(-5.73327119331407e+00dB,-1.79993933133758e+02°)
1.25892541179416e+00	(-5.73327119303627e+00dB,-1.79993919148187e+02°)
1.26182753459066e+00	(-5.73327119275719e+00dB,-1.79993905130376e+02°)
1.26473634747115e+00	(-5.73327119247683e+00dB,-1.79993891080251e+02°)
1.26765186585784e+00	(-5.73327119219517e+00dB,-1.79993876997737e+02°)
1.27057410520854e+00	(-5.73327119191221e+00dB,-1.79993862882759e+02°)
1.27350308101666e+00	(-5.73327119162794e+00dB,-1.79993848735243e+02°)
1.27643880881134e+00	(-5.73327119134237e+00dB,-1.79993834555113e+02°)
1.27938130415752e+00	(-5.73327119105547e+00dB,-1.79993820342295e+02°)
1.28233058265602e+00	(-5.73327119076726e+00dB,-1.79993806096713e+02°)
1.28528665994361e+00	(-5.73327119047770e+00dB,-1.79993791818291e+02°)
1.28824955169313e+00	(-5.73327119018682e+00dB,-1.79993777506955e+02°)
1.29121927361353e+00	(-5.73327118989459e+00dB,-1.79993763162627e+02°)
1.29419584144998e+00	(-5.73327118960101e+00dB,-1.79993748785232e+02°)
1.29717927098395e+00	(-5.73327118930608e+00dB,-1.79993734374694e+02°)
1.30016957803328e+00	(-5.73327118900978e+00dB,-1.79993719930936e+02°)
1.30316677845229e+00	(-5.73327118871212e+00dB,-1.79993705453882e+02°)
1.30617088813183e+00	(-5.73327118841308e+00dB,-1.79993690943455e+02°)
1.30918192299940e+00	(-5.73327118811267e+00dB,-1.79993676399577e+02°)
1.31219989901920e+00	(-5.73327118781086e+00dB,-1.79993661822173e+02°)
1.31522483219223e+00	(-5.73327118750767e+00dB,-1.79993647211164e+02°)
1.31825673855640e+00	(-5.73327118720307e+00dB,-1.79993632566474e+02°)
1.32129563418657e+00	(-5.73327118689707e+00dB,-1.79993617888024e+02°)
1.32434153519466e+00	(-5.73327118658966e+00dB,-1.79993603175736e+02°)
1.32739445772973e+00	(-5.73327118628082e+00dB,-1.79993588429534e+02°)
1.33045441797808e+00	(-5.73327118597056e+00dB,-1.79993573649337e+02°)
1.33352143216332e+00	(-5.73327118565887e+00dB,-1.79993558835069e+02°)
1.33659551654643e+00	(-5.73327118534574e+00dB,-1.79993543986651e+02°)
1.33967668742593e+00	(-5.73327118503117e+00dB,-1.79993529104003e+02°)
1.34276496113786e+00	(-5.73327118471515e+00dB,-1.79993514187048e+02°)
1.34586035405594e+00	(-5.73327118439766e+00dB,-1.79993499235705e+02°)
1.34896288259164e+00	(-5.73327118407871e+00dB,-1.79993484249896e+02°)
1.35207256319427e+00	(-5.73327118375829e+00dB,-1.79993469229540e+02°)
1.35518941235103e+00	(-5.73327118343638e+00dB,-1.79993454174560e+02°)
1.35831344658715e+00	(-5.73327118311299e+00dB,-1.79993439084874e+02°)
1.36144468246594e+00	(-5.73327118278811e+00dB,-1.79993423960403e+02°)
1.36458313658892e+00	(-5.73327118246173e+00dB,-1.79993408801066e+02°)
1.36772882559584e+00	(-5.73327118213385e+00dB,-1.79993393606784e+02°)
1.37088176616484e+00	(-5.73327118180445e+00dB,-1.79993378377475e+02°)
1.37404197501251e+00	(-5.73327118147352e+00dB,-1.79993363113058e+02°)
1.37720946889394e+00	(-5.73327118114108e+00dB,-1.79993347813454e+02°)
1.38038426460288e+00	(-5.73327118080710e+00dB,-1.79993332478580e+02°)
1.38356637897177e+00	(-5.73327118047157e+00dB,-1.79993317108356e+02°)
1.38675582887188e+00	(-5.73327118013450e+00dB,-1.79993301702700e+02°)
1.38995263121334e+00	(-5.73327117979587e+00dB,-1.79993286261531e+02°)
1.39315680294529e+00	(-5.73327117945568e+00dB,-1.79993270784765e+02°)
1.39636836105593e+00	(-5.73327117911392e+00dB,-1.79993255272322e+02°)
1.39958732257261e+00	(-5.73327117877058e+00dB,-1.79993239724119e+02°)
1.40281370456195e+00	(-5.73327117842565e+00dB,-1.79993224140074e+02°)
1.40604752412990e+00	(-5.73327117807914e+00dB,-1.79993208520104e+02°)
1.40928879842186e+00	(-5.73327117773102e+00dB,-1.79993192864126e+02°)
1.41253754462274e+00	(-5.73327117738130e+00dB,-1.79993177172058e+02°)
1.41579377995707e+00	(-5.73327117702996e+00dB,-1.79993161443815e+02°)
1.41905752168908e+00	(-5.73327117667700e+00dB,-1.79993145679315e+02°)
1.42232878712281e+00	(-5.73327117632242e+00dB,-1.79993129878474e+02°)
1.42560759360218e+00	(-5.73327117596619e+00dB,-1.79993114041209e+02°)
1.42889395851109e+00	(-5.73327117560832e+00dB,-1.79993098167435e+02°)
1.43218789927353e+00	(-5.73327117524880e+00dB,-1.79993082257068e+02°)
1.43548943335364e+00	(-5.73327117488762e+00dB,-1.79993066310023e+02°)
1.43879857825583e+00	(-5.73327117452477e+00dB,-1.79993050326217e+02°)
1.44211535152486e+00	(-5.73327117416025e+00dB,-1.79993034305565e+02°)
1.44543977074592e+00	(-5.73327117379405e+00dB,-1.79993018247981e+02°)
1.44877185354475e+00	(-5.73327117342616e+00dB,-1.79993002153381e+02°)
1.45211161758773e+00	(-5.73327117305656e+00dB,-1.79992986021679e+02°)
1.45545908058195e+00	(-5.73327117268526e+00dB,-1.79992969852789e+02°)
1.45881426027534e+00	(-5.73327117231225e+00dB,-1.79992953646626e+02°)
1.46217717445671e+00	(-5.73327117193752e+00dB,-1.79992937403104e+02°)
1.46554784095590e+00	(-5.73327117156105e+00dB,-1.79992921122137e+02°)
1.46892627764385e+00	(-5.73327117118285e+00dB,-1.79992904803638e+02°)
1.47231250243271e+00	(-5.73327117080290e+00dB,-1.79992888447522e+02°)
1.47570653327588e+00	(-5.73327117042120e+00dB,-1.79992872053701e+02°)
1.47910838816819e+00	(-5.73327117003774e+00dB,-1.79992855622088e+02°)
1.48251808514594e+00	(-5.73327116965250e+00dB,-1.79992839152596e+02°)
1.48593564228699e+00	(-5.73327116926549e+00dB,-1.79992822645138e+02°)
1.48936107771090e+00	(-5.73327116887669e+00dB,-1.79992806099626e+02°)
1.49279440957898e+00	(-5.73327116848610e+00dB,-1.79992789515974e+02°)
1.49623565609442e+00	(-5.73327116809370e+00dB,-1.79992772894092e+02°)
1.49968483550236e+00	(-5.73327116769950e+00dB,-1.79992756233892e+02°)
1.50314196609001e+00	(-5.73327116730347e+00dB,-1.79992739535287e+02°)
1.50660706618673e+00	(-5.73327116690562e+00dB,-1.79992722798187e+02°)
1.51008015416413e+00	(-5.73327116650593e+00dB,-1.79992706022505e+02°)
1.51356124843619e+00	(-5.73327116610439e+00dB,-1.79992689208151e+02°)
1.51705036745932e+00	(-5.73327116570100e+00dB,-1.79992672355035e+02°)
1.52054752973248e+00	(-5.73327116529575e+00dB,-1.79992655463069e+02°)
1.52405275379728e+00	(-5.73327116488863e+00dB,-1.79992638532163e+02°)
1.52756605823806e+00	(-5.73327116447963e+00dB,-1.79992621562227e+02°)
1.53108746168202e+00	(-5.73327116406875e+00dB,-1.79992604553172e+02°)
1.53461698279928e+00	(-5.73327116365596e+00dB,-1.79992587504907e+02°)
1.53815464030302e+00	(-5.73327116324127e+00dB,-1.79992570417341e+02°)
1.54170045294954e+00	(-5.73327116282466e+00dB,-1.79992553290384e+02°)
1.54525443953840e+00	(-5.73327116240614e+00dB,-1.79992536123946e+02°)
1.54881661891247e+00	(-5.73327116198568e+00dB,-1.79992518917935e+02°)
1.55238700995807e+00	(-5.73327116156328e+00dB,-1.79992501672260e+02°)
1.55596563160506e+00	(-5.73327116113893e+00dB,-1.79992484386830e+02°)
1.55955250282694e+00	(-5.73327116071262e+00dB,-1.79992467061552e+02°)
1.56314764264094e+00	(-5.73327116028434e+00dB,-1.79992449696336e+02°)
1.56675107010813e+00	(-5.73327115985409e+00dB,-1.79992432291089e+02°)
1.57036280433354e+00	(-5.73327115942185e+00dB,-1.79992414845718e+02°)
1.57398286446620e+00	(-5.73327115898762e+00dB,-1.79992397360132e+02°)
1.57761126969933e+00	(-5.73327115855138e+00dB,-1.79992379834238e+02°)
