Freq.	V(out_fs)
1.22461619926504e+00	(-1.20349799602196e+02dB,-9.00000024735759e+01°)
1.22743923115840e+00	(-1.20329799602196e+02dB,-9.00000024792781e+01°)
1.23026877081238e+00	(-1.20309799602196e+02dB,-9.00000024849934e+01°)
1.23310483322890e+00	(-1.20289799602196e+02dB,-9.00000024907219e+01°)
1.23594743344451e+00	(-1.20269799602196e+02dB,-9.00000024964636e+01°)
1.23879658653036e+00	(-1.20249799602196e+02dB,-9.00000025022186e+01°)
1.24165230759241e+00	(-1.20229799602196e+02dB,-9.00000025079868e+01°)
1.24451461177138e+00	(-1.20209799602196e+02dB,-9.00000025137683e+01°)
1.24738351424294e+00	(-1.20189799602196e+02dB,-9.00000025195631e+01°)
1.25025903021771e+00	(-1.20169799602196e+02dB,-9.00000025253713e+01°)
1.25314117494141e+00	(-1.20149799602196e+02dB,-9.00000025311929e+01°)
1.25602996369487e+00	(-1.20129799602196e+02dB,-9.00000025370279e+01°)
1.25892541179416e+00	(-1.20109799602196e+02dB,-9.00000025428764e+01°)
1.26182753459066e+00	(-1.20089799602196e+02dB,-9.00000025487383e+01°)
1.26473634747115e+00	(-1.20069799602196e+02dB,-9.00000025546137e+01°)
1.26765186585784e+00	(-1.20049799602196e+02dB,-9.00000025605028e+01°)
1.27057410520854e+00	(-1.20029799602196e+02dB,-9.00000025664053e+01°)
1.27350308101666e+00	(-1.20009799602196e+02dB,-9.00000025723215e+01°)
1.27643880881134e+00	(-1.19989799602196e+02dB,-9.00000025782513e+01°)
1.27938130415752e+00	(-1.19969799602196e+02dB,-9.00000025841948e+01°)
1.28233058265602e+00	(-1.19949799602196e+02dB,-9.00000025901520e+01°)
1.28528665994361e+00	(-1.19929799602196e+02dB,-9.00000025961229e+01°)
1.28824955169313e+00	(-1.19909799602196e+02dB,-9.00000026021076e+01°)
1.29121927361353e+00	(-1.19889799602196e+02dB,-9.00000026081060e+01°)
1.29419584144998e+00	(-1.19869799602196e+02dB,-9.00000026141183e+01°)
1.29717927098395e+00	(-1.19849799602196e+02dB,-9.00000026201445e+01°)
1.30016957803328e+00	(-1.19829799602196e+02dB,-9.00000026261846e+01°)
1.30316677845229e+00	(-1.19809799602196e+02dB,-9.00000026322385e+01°)
1.30617088813183e+00	(-1.19789799602196e+02dB,-9.00000026383065e+01°)
1.30918192299940e+00	(-1.19769799602196e+02dB,-9.00000026443884e+01°)
1.31219989901920e+00	(-1.19749799602196e+02dB,-9.00000026504843e+01°)
1.31522483219223e+00	(-1.19729799602196e+02dB,-9.00000026565943e+01°)
1.31825673855640e+00	(-1.19709799602196e+02dB,-9.00000026627184e+01°)
1.32129563418657e+00	(-1.19689799602196e+02dB,-9.00000026688566e+01°)
1.32434153519466e+00	(-1.19669799602196e+02dB,-9.00000026750090e+01°)
1.32739445772973e+00	(-1.19649799602196e+02dB,-9.00000026811755e+01°)
1.33045441797808e+00	(-1.19629799602196e+02dB,-9.00000026873563e+01°)
1.33352143216332e+00	(-1.19609799602196e+02dB,-9.00000026935513e+01°)
1.33659551654643e+00	(-1.19589799602196e+02dB,-9.00000026997605e+01°)
1.33967668742593e+00	(-1.19569799602196e+02dB,-9.00000027059841e+01°)
1.34276496113786e+00	(-1.19549799602196e+02dB,-9.00000027122221e+01°)
1.34586035405594e+00	(-1.19529799602196e+02dB,-9.00000027184744e+01°)
1.34896288259164e+00	(-1.19509799602196e+02dB,-9.00000027247411e+01°)
1.35207256319427e+00	(-1.19489799602196e+02dB,-9.00000027310223e+01°)
1.35518941235103e+00	(-1.19469799602196e+02dB,-9.00000027373180e+01°)
1.35831344658715e+00	(-1.19449799602196e+02dB,-9.00000027436281e+01°)
1.36144468246594e+00	(-1.19429799602196e+02dB,-9.00000027499528e+01°)
1.36458313658892e+00	(-1.19409799602196e+02dB,-9.00000027562921e+01°)
1.36772882559584e+00	(-1.19389799602196e+02dB,-9.00000027626460e+01°)
1.37088176616484e+00	(-1.19369799602196e+02dB,-9.00000027690146e+01°)
1.37404197501251e+00	(-1.19349799602196e+02dB,-9.00000027753978e+01°)
1.37720946889394e+00	(-1.19329799602196e+02dB,-9.00000027817958e+01°)
1.38038426460288e+00	(-1.19309799602196e+02dB,-9.00000027882085e+01°)
1.38356637897177e+00	(-1.19289799602196e+02dB,-9.00000027946360e+01°)
1.38675582887188e+00	(-1.19269799602196e+02dB,-9.00000028010783e+01°)
1.38995263121334e+00	(-1.19249799602196e+02dB,-9.00000028075354e+01°)
1.39315680294529e+00	(-1.19229799602196e+02dB,-9.00000028140075e+01°)
1.39636836105593e+00	(-1.19209799602196e+02dB,-9.00000028204944e+01°)
1.39958732257261e+00	(-1.19189799602196e+02dB,-9.00000028269963e+01°)
1.40281370456195e+00	(-1.19169799602196e+02dB,-9.00000028335132e+01°)
1.40604752412990e+00	(-1.19149799602196e+02dB,-9.00000028400452e+01°)
1.40928879842186e+00	(-1.19129799602196e+02dB,-9.00000028465921e+01°)
1.41253754462274e+00	(-1.19109799602196e+02dB,-9.00000028531542e+01°)
1.41579377995707e+00	(-1.19089799602196e+02dB,-9.00000028597314e+01°)
