Freq.	V(out_fs)
1.43879857825583e+00	(-1.24697077875822e+02dB,9.00069409022701e+01°)
1.44211535152486e+00	(-1.24677077875457e+02dB,9.00069569027020e+01°)
1.44543977074592e+00	(-1.24657077875091e+02dB,9.00069729400188e+01°)
1.44877185354475e+00	(-1.24637077874723e+02dB,9.00069890143054e+01°)
1.45211161758773e+00	(-1.24617077874354e+02dB,9.00070051256471e+01°)
1.45545908058195e+00	(-1.24597077873983e+02dB,9.00070212741293e+01°)
1.45881426027534e+00	(-1.24577077873610e+02dB,9.00070374598375e+01°)
1.46217717445671e+00	(-1.24557077873235e+02dB,9.00070536828577e+01°)
1.46554784095590e+00	(-1.24537077872859e+02dB,9.00070699432758e+01°)
1.46892627764385e+00	(-1.24517077872480e+02dB,9.00070862411780e+01°)
1.47231250243271e+00	(-1.24497077872101e+02dB,9.00071025766508e+01°)
1.47570653327588e+00	(-1.24477077871719e+02dB,9.00071189497807e+01°)
1.47910838816819e+00	(-1.24457077871335e+02dB,9.00071353606545e+01°)
1.48251808514594e+00	(-1.24437077870950e+02dB,9.00071518093594e+01°)
1.48593564228699e+00	(-1.24417077870563e+02dB,9.00071682959824e+01°)
1.48936107771090e+00	(-1.24397077870175e+02dB,9.00071848206110e+01°)
1.49279440957898e+00	(-1.24377077869784e+02dB,9.00072013833328e+01°)
1.49623565609442e+00	(-1.24357077869392e+02dB,9.00072179842357e+01°)
1.49968483550236e+00	(-1.24337077868998e+02dB,9.00072346234075e+01°)
1.50314196609001e+00	(-1.24317077868602e+02dB,9.00072513009366e+01°)
1.50660706618673e+00	(-1.24297077868204e+02dB,9.00072680169114e+01°)
1.51008015416413e+00	(-1.24277077867804e+02dB,9.00072847714205e+01°)
1.51356124843619e+00	(-1.24257077867403e+02dB,9.00073015645527e+01°)
1.51705036745932e+00	(-1.24237077866999e+02dB,9.00073183963971e+01°)
1.52054752973248e+00	(-1.24217077866594e+02dB,9.00073352670428e+01°)
1.52405275379728e+00	(-1.24197077866187e+02dB,9.00073521765795e+01°)
1.52756605823806e+00	(-1.24177077865778e+02dB,9.00073691250966e+01°)
1.53108746168202e+00	(-1.24157077865367e+02dB,9.00073861126841e+01°)
1.53461698279928e+00	(-1.24137077864954e+02dB,9.00074031394321e+01°)
1.53815464030302e+00	(-1.24117077864540e+02dB,9.00074202054307e+01°)
1.54170045294954e+00	(-1.24097077864123e+02dB,9.00074373107706e+01°)
1.54525443953840e+00	(-1.24077077863705e+02dB,9.00074544555423e+01°)
1.54881661891247e+00	(-1.24057077863284e+02dB,9.00074716398368e+01°)
1.55238700995807e+00	(-1.24037077862862e+02dB,9.00074888637452e+01°)
1.55596563160506e+00	(-1.24017077862438e+02dB,9.00075061273588e+01°)
1.55955250282694e+00	(-1.23997077862011e+02dB,9.00075234307691e+01°)
1.56314764264094e+00	(-1.23977077861583e+02dB,9.00075407740679e+01°)
1.56675107010813e+00	(-1.23957077861153e+02dB,9.00075581573471e+01°)
1.57036280433354e+00	(-1.23937077860721e+02dB,9.00075755806989e+01°)
1.57398286446620e+00	(-1.23917077860287e+02dB,9.00075930442158e+01°)
1.57761126969933e+00	(-1.23897077859851e+02dB,9.00076105479901e+01°)
1.58124803927037e+00	(-1.23877077859412e+02dB,9.00076280921149e+01°)
1.58489319246110e+00	(-1.23857077858972e+02dB,9.00076456766830e+01°)
1.58854674859776e+00	(-1.23837077858530e+02dB,9.00076633017877e+01°)
1.59220872705115e+00	(-1.23817077858086e+02dB,9.00076809675225e+01°)
1.59587914723672e+00	(-1.23797077857639e+02dB,9.00076986739810e+01°)
1.59955802861465e+00	(-1.23777077857191e+02dB,9.00077164212571e+01°)
1.60324539069002e+00	(-1.23757077856740e+02dB,9.00077342094449e+01°)
1.60694125301286e+00	(-1.23737077856288e+02dB,9.00077520386387e+01°)
1.61064563517825e+00	(-1.23717077855833e+02dB,9.00077699089331e+01°)
1.61435855682647e+00	(-1.23697077855376e+02dB,9.00077878204227e+01°)
1.61808003764305e+00	(-1.23677077854918e+02dB,9.00078057732026e+01°)
1.62181009735891e+00	(-1.23657077854457e+02dB,9.00078237673679e+01°)
1.62554875575047e+00	(-1.23637077853993e+02dB,9.00078418030140e+01°)
1.62929603263970e+00	(-1.23617077853528e+02dB,9.00078598802366e+01°)
1.63305194789432e+00	(-1.23597077853061e+02dB,9.00078779991315e+01°)
1.63681652142779e+00	(-1.23577077852591e+02dB,9.00078961597947e+01°)
1.64058977319952e+00	(-1.23557077852120e+02dB,9.00079143623226e+01°)
1.64437172321491e+00	(-1.23537077851646e+02dB,9.00079326068117e+01°)
1.64816239152549e+00	(-1.23517077851170e+02dB,9.00079508933586e+01°)
1.65196179822900e+00	(-1.23497077850691e+02dB,9.00079692220604e+01°)
1.65576996346951e+00	(-1.23477077850211e+02dB,9.00079875930142e+01°)
1.65958690743754e+00	(-1.23457077849728e+02dB,9.00080060063175e+01°)
1.66341265037015e+00	(-1.23437077849243e+02dB,9.00080244620678e+01°)
1.66724721255104e+00	(-1.23417077848756e+02dB,9.00080429603629e+01°)
1.67109061431069e+00	(-1.23397077848267e+02dB,9.00080615013011e+01°)
1.67494287602642e+00	(-1.23377077847775e+02dB,9.00080800849805e+01°)
1.67880401812254e+00	(-1.23357077847281e+02dB,9.00080987114997e+01°)
1.68267406107045e+00	(-1.23337077846785e+02dB,9.00081173809575e+01°)
1.68655302538872e+00	(-1.23317077846286e+02dB,9.00081360934528e+01°)
1.69044093164324e+00	(-1.23297077845786e+02dB,9.00081548490849e+01°)
1.69433780044731e+00	(-1.23277077845282e+02dB,9.00081736479532e+01°)
1.69824365246172e+00	(-1.23257077844777e+02dB,9.00081924901573e+01°)
1.70215850839493e+00	(-1.23237077844269e+02dB,9.00082113757972e+01°)
1.70608238900310e+00	(-1.23217077843759e+02dB,9.00082303049730e+01°)
1.71001531509027e+00	(-1.23197077843247e+02dB,9.00082492777851e+01°)
1.71395730750840e+00	(-1.23177077842732e+02dB,9.00082682943339e+01°)
1.71790838715757e+00	(-1.23157077842215e+02dB,9.00082873547205e+01°)
1.72186857498599e+00	(-1.23137077841695e+02dB,9.00083064590458e+01°)
1.72583789199018e+00	(-1.23117077841173e+02dB,9.00083256074111e+01°)
1.72981635921508e+00	(-1.23097077840649e+02dB,9.00083447999180e+01°)
1.73380399775412e+00	(-1.23077077840122e+02dB,9.00083640366681e+01°)
1.73780082874935e+00	(-1.23057077839593e+02dB,9.00083833177635e+01°)
1.74180687339159e+00	(-1.23037077839061e+02dB,9.00084026433065e+01°)
1.74582215292048e+00	(-1.23017077838527e+02dB,9.00084220133994e+01°)
1.74984668862464e+00	(-1.22997077837990e+02dB,9.00084414281450e+01°)
1.75388050184174e+00	(-1.22977077837451e+02dB,9.00084608876462e+01°)
1.75792361395867e+00	(-1.22957077836909e+02dB,9.00084803920061e+01°)
1.76197604641161e+00	(-1.22937077836365e+02dB,9.00084999413283e+01°)
1.76603782068614e+00	(-1.22917077835819e+02dB,9.00085195357163e+01°)
1.77010895831740e+00	(-1.22897077835270e+02dB,9.00085391752740e+01°)
1.77418948089014e+00	(-1.22877077834718e+02dB,9.00085588601056e+01°)
1.77827941003890e+00	(-1.22857077834164e+02dB,9.00085785903154e+01°)
1.78237876744807e+00	(-1.22837077833607e+02dB,9.00085983660081e+01°)
1.78648757485203e+00	(-1.22817077833048e+02dB,9.00086181872884e+01°)
1.79060585403527e+00	(-1.22797077832486e+02dB,9.00086380542615e+01°)
1.79473362683250e+00	(-1.22777077831921e+02dB,9.00086579670326e+01°)
1.79887091512876e+00	(-1.22757077831354e+02dB,9.00086779257075e+01°)
1.80301774085955e+00	(-1.22737077830784e+02dB,9.00086979303918e+01°)
1.80717412601090e+00	(-1.22717077830212e+02dB,9.00087179811918e+01°)
1.81134009261958e+00	(-1.22697077829637e+02dB,9.00087380782135e+01°)
1.81551566277311e+00	(-1.22677077829059e+02dB,9.00087582215637e+01°)
1.81970085860996e+00	(-1.22657077828479e+02dB,9.00087784113491e+01°)
1.82389570231961e+00	(-1.22637077827896e+02dB,9.00087986476768e+01°)
1.82810021614272e+00	(-1.22617077827310e+02dB,9.00088189306540e+01°)
1.83231442237119e+00	(-1.22597077826722e+02dB,9.00088392603883e+01°)
1.83653834334832e+00	(-1.22577077826131e+02dB,9.00088596369875e+01°)
1.84077200146893e+00	(-1.22557077825537e+02dB,9.00088800605595e+01°)
1.84501541917945e+00	(-1.22537077824940e+02dB,9.00089005312128e+01°)
1.84926861897805e+00	(-1.22517077824341e+02dB,9.00089210490558e+01°)
1.85353162341479e+00	(-1.22497077823739e+02dB,9.00089416141973e+01°)
1.85780445509167e+00	(-1.22477077823134e+02dB,9.00089622267464e+01°)
1.86208713666284e+00	(-1.22457077822526e+02dB,9.00089828868123e+01°)
1.86637969083464e+00	(-1.22437077821916e+02dB,9.00090035945045e+01°)
1.87068214036577e+00	(-1.22417077821303e+02dB,9.00090243499329e+01°)
1.87499450806739e+00	(-1.22397077820686e+02dB,9.00090451532075e+01°)
1.87931681680324e+00	(-1.22377077820067e+02dB,9.00090660044386e+01°)
1.88364908948977e+00	(-1.22357077819446e+02dB,9.00090869037368e+01°)
1.88799134909627e+00	(-1.22337077818821e+02dB,9.00091078512128e+01°)
1.89234361864495e+00	(-1.22317077818193e+02dB,9.00091288469777e+01°)
1.89670592121112e+00	(-1.22297077817563e+02dB,9.00091498911429e+01°)
1.90107827992327e+00	(-1.22277077816929e+02dB,9.00091709838199e+01°)
1.90546071796322e+00	(-1.22257077816293e+02dB,9.00091921251205e+01°)
1.90985325856621e+00	(-1.22237077815654e+02dB,9.00092133151568e+01°)
1.91425592502106e+00	(-1.22217077815012e+02dB,9.00092345540412e+01°)
1.91866874067026e+00	(-1.22197077814367e+02dB,9.00092558418863e+01°)
1.92309172891013e+00	(-1.22177077813718e+02dB,9.00092771788049e+01°)
1.92752491319091e+00	(-1.22157077813067e+02dB,9.00092985649103e+01°)
1.93196831701690e+00	(-1.22137077812413e+02dB,9.00093200003156e+01°)
1.93642196394658e+00	(-1.22117077811756e+02dB,9.00093414851347e+01°)
1.94088587759275e+00	(-1.22097077811096e+02dB,9.00093630194814e+01°)
1.94536008162263e+00	(-1.22077077810433e+02dB,9.00093846034699e+01°)
1.94984459975802e+00	(-1.22057077809766e+02dB,9.00094062372146e+01°)
1.95433945577537e+00	(-1.22037077809097e+02dB,9.00094279208303e+01°)
1.95884467350596e+00	(-1.22017077808424e+02dB,9.00094496544318e+01°)
1.96336027683602e+00	(-1.21997077807749e+02dB,9.00094714381345e+01°)
1.96788628970682e+00	(-1.21977077807070e+02dB,9.00094932720537e+01°)
1.97242273611482e+00	(-1.21957077806388e+02dB,9.00095151563054e+01°)
1.97696964011183e+00	(-1.21937077805703e+02dB,9.00095370910055e+01°)
1.98152702580507e+00	(-1.21917077805015e+02dB,9.00095590762702e+01°)
1.98609491735734e+00	(-1.21897077804324e+02dB,9.00095811122163e+01°)
1.99067333898716e+00	(-1.21877077803629e+02dB,9.00096031989604e+01°)
1.99526231496885e+00	(-1.21857077802932e+02dB,9.00096253366197e+01°)
1.99986186963271e+00	(-1.21837077802231e+02dB,9.00096475253116e+01°)
2.00447202736513e+00	(-1.21817077801527e+02dB,9.00096697651537e+01°)
2.00909281260870e+00	(-1.21797077800819e+02dB,9.00096920562640e+01°)
2.01372424986236e+00	(-1.21777077800109e+02dB,9.00097143987605e+01°)
2.01836636368153e+00	(-1.21757077799395e+02dB,9.00097367927619e+01°)
2.02301917867824e+00	(-1.21737077798677e+02dB,9.00097592383867e+01°)
2.02768271952125e+00	(-1.21717077797957e+02dB,9.00097817357540e+01°)
2.03235701093619e+00	(-1.21697077797233e+02dB,9.00098042849831e+01°)
2.03704207770569e+00	(-1.21677077796506e+02dB,9.00098268861936e+01°)
2.04173794466950e+00	(-1.21657077795775e+02dB,9.00098495395052e+01°)
2.04644463672464e+00	(-1.21637077795041e+02dB,9.00098722450381e+01°)
2.05116217882553e+00	(-1.21617077794304e+02dB,9.00098950029126e+01°)
2.05589059598411e+00	(-1.21597077793563e+02dB,9.00099178132495e+01°)
2.06062991326997e+00	(-1.21577077792819e+02dB,9.00099406761696e+01°)
2.06538015581050e+00	(-1.21557077792071e+02dB,9.00099635917942e+01°)
2.07014134879101e+00	(-1.21537077791320e+02dB,9.00099865602447e+01°)
2.07491351745488e+00	(-1.21517077790566e+02dB,9.00100095816430e+01°)
2.07969668710366e+00	(-1.21497077789808e+02dB,9.00100326561111e+01°)
2.08449088309726e+00	(-1.21477077789046e+02dB,9.00100557837713e+01°)
2.08929613085401e+00	(-1.21457077788281e+02dB,9.00100789647463e+01°)
2.09411245585086e+00	(-1.21437077787513e+02dB,9.00101021991590e+01°)
2.09893988362349e+00	(-1.21417077786741e+02dB,9.00101254871324e+01°)
2.10377843976644e+00	(-1.21397077785965e+02dB,9.00101488287903e+01°)
2.10862814993326e+00	(-1.21377077785186e+02dB,9.00101722242561e+01°)
2.11348903983661e+00	(-1.21357077784403e+02dB,9.00101956736541e+01°)
2.11836113524847e+00	(-1.21337077783616e+02dB,9.00102191771086e+01°)
2.12324446200018e+00	(-1.21317077782826e+02dB,9.00102427347441e+01°)
2.12813904598268e+00	(-1.21297077782033e+02dB,9.00102663466855e+01°)
2.13304491314654e+00	(-1.21277077781235e+02dB,9.00102900130581e+01°)
2.13796208950220e+00	(-1.21257077780434e+02dB,9.00103137339873e+01°)
2.14289060112002e+00	(-1.21237077779629e+02dB,9.00103375095989e+01°)
2.14783047413050e+00	(-1.21217077778821e+02dB,9.00103613400189e+01°)
2.15278173472434e+00	(-1.21197077778009e+02dB,9.00103852253738e+01°)
2.15774440915263e+00	(-1.21177077777193e+02dB,9.00104091657900e+01°)
2.16271852372698e+00	(-1.21157077776373e+02dB,9.00104331613946e+01°)
2.16770410481966e+00	(-1.21137077775549e+02dB,9.00104572123148e+01°)
2.17270117886371e+00	(-1.21117077774722e+02dB,9.00104813186780e+01°)
2.17770977235312e+00	(-1.21097077773891e+02dB,9.00105054806122e+01°)
2.18272991184296e+00	(-1.21077077773056e+02dB,9.00105296982454e+01°)
2.18776162394952e+00	(-1.21057077772217e+02dB,9.00105539717059e+01°)
2.19280493535041e+00	(-1.21037077771374e+02dB,9.00105783011226e+01°)
2.19785987278479e+00	(-1.21017077770528e+02dB,9.00106026866244e+01°)
2.20292646305342e+00	(-1.20997077769677e+02dB,9.00106271283405e+01°)
2.20800473301886e+00	(-1.20977077768823e+02dB,9.00106516264007e+01°)
2.21309470960560e+00	(-1.20957077767965e+02dB,9.00106761809346e+01°)
2.21819641980018e+00	(-1.20937077767102e+02dB,9.00107007920726e+01°)
2.22330989065136e+00	(-1.20917077766236e+02dB,9.00107254599452e+01°)
2.22843514927026e+00	(-1.20897077765366e+02dB,9.00107501846830e+01°)
2.23357222283049e+00	(-1.20877077764491e+02dB,9.00107749664173e+01°)
2.23872113856830e+00	(-1.20857077763613e+02dB,9.00107998052793e+01°)
2.24388192378273e+00	(-1.20837077762731e+02dB,9.00108247014009e+01°)
2.24905460583574e+00	(-1.20817077761844e+02dB,9.00108496549139e+01°)
2.25423921215239e+00	(-1.20797077760954e+02dB,9.00108746659507e+01°)
2.25943577022094e+00	(-1.20777077760059e+02dB,9.00108997346439e+01°)
2.26464430759302e+00	(-1.20757077759160e+02dB,9.00109248611264e+01°)
2.26986485188378e+00	(-1.20737077758257e+02dB,9.00109500455314e+01°)
2.27509743077203e+00	(-1.20717077757350e+02dB,9.00109752879924e+01°)
