Freq.	V(out_preamp)
1.12460497396692e+00	(-5.74727830434736e+00dB,-1.79994572526216e+02°)
1.12719745617551e+00	(-5.74727830412469e+00dB,-1.79994560014597e+02°)
1.12979591467280e+00	(-5.74727830390099e+00dB,-1.79994547474136e+02°)
1.13240036323556e+00	(-5.74727830367625e+00dB,-1.79994534904766e+02°)
1.13501081567231e+00	(-5.74727830345048e+00dB,-1.79994522306420e+02°)
1.13762728582343e+00	(-5.74727830322367e+00dB,-1.79994509679033e+02°)
1.14024978756117e+00	(-5.74727830299580e+00dB,-1.79994497022536e+02°)
1.14287833478977e+00	(-5.74727830276689e+00dB,-1.79994484336863e+02°)
1.14551294144553e+00	(-5.74727830253692e+00dB,-1.79994471621946e+02°)
1.14815362149688e+00	(-5.74727830230589e+00dB,-1.79994458877719e+02°)
1.15080038894443e+00	(-5.74727830207379e+00dB,-1.79994446104113e+02°)
1.15345325782109e+00	(-5.74727830184062e+00dB,-1.79994433301060e+02°)
1.15611224219210e+00	(-5.74727830160638e+00dB,-1.79994420468494e+02°)
1.15877735615512e+00	(-5.74727830137105e+00dB,-1.79994407606346e+02°)
1.16144861384034e+00	(-5.74727830113464e+00dB,-1.79994394714547e+02°)
1.16412602941049e+00	(-5.74727830089713e+00dB,-1.79994381793030e+02°)
1.16680961706096e+00	(-5.74727830065853e+00dB,-1.79994368841725e+02°)
1.16949939101987e+00	(-5.74727830041883e+00dB,-1.79994355860565e+02°)
1.17219536554813e+00	(-5.74727830017802e+00dB,-1.79994342849480e+02°)
1.17489755493953e+00	(-5.74727829993610e+00dB,-1.79994329808401e+02°)
1.17760597352080e+00	(-5.74727829969307e+00dB,-1.79994316737260e+02°)
1.18032063565173e+00	(-5.74727829944891e+00dB,-1.79994303635986e+02°)
1.18304155572516e+00	(-5.74727829920363e+00dB,-1.79994290504511e+02°)
1.18576874816716e+00	(-5.74727829895721e+00dB,-1.79994277342765e+02°)
1.18850222743702e+00	(-5.74727829870965e+00dB,-1.79994264150678e+02°)
1.19124200802737e+00	(-5.74727829846096e+00dB,-1.79994250928179e+02°)
1.19398810446427e+00	(-5.74727829821111e+00dB,-1.79994237675200e+02°)
1.19674053130724e+00	(-5.74727829796012e+00dB,-1.79994224391670e+02°)
1.19949930314938e+00	(-5.74727829770796e+00dB,-1.79994211077518e+02°)
1.20226443461741e+00	(-5.74727829745463e+00dB,-1.79994197732673e+02°)
1.20503594037179e+00	(-5.74727829720015e+00dB,-1.79994184357066e+02°)
1.20781383510678e+00	(-5.74727829694448e+00dB,-1.79994170950624e+02°)
1.21059813355048e+00	(-5.74727829668764e+00dB,-1.79994157513278e+02°)
1.21338885046497e+00	(-5.74727829642961e+00dB,-1.79994144044955e+02°)
1.21618600064636e+00	(-5.74727829617038e+00dB,-1.79994130545585e+02°)
1.21898959892486e+00	(-5.74727829590997e+00dB,-1.79994117015095e+02°)
1.22179966016487e+00	(-5.74727829564835e+00dB,-1.79994103453414e+02°)
1.22461619926504e+00	(-5.74727829538552e+00dB,-1.79994089860471e+02°)
1.22743923115840e+00	(-5.74727829512148e+00dB,-1.79994076236192e+02°)
1.23026877081238e+00	(-5.74727829485622e+00dB,-1.79994062580507e+02°)
1.23310483322890e+00	(-5.74727829458974e+00dB,-1.79994048893341e+02°)
1.23594743344451e+00	(-5.74727829432202e+00dB,-1.79994035174624e+02°)
1.23879658653036e+00	(-5.74727829405307e+00dB,-1.79994021424281e+02°)
1.24165230759241e+00	(-5.74727829378288e+00dB,-1.79994007642241e+02°)
1.24451461177138e+00	(-5.74727829351145e+00dB,-1.79993993828430e+02°)
1.24738351424294e+00	(-5.74727829323875e+00dB,-1.79993979982775e+02°)
1.25025903021771e+00	(-5.74727829296480e+00dB,-1.79993966105202e+02°)
1.25314117494141e+00	(-5.74727829268959e+00dB,-1.79993952195638e+02°)
1.25602996369487e+00	(-5.74727829241311e+00dB,-1.79993938254009e+02°)
1.25892541179416e+00	(-5.74727829213535e+00dB,-1.79993924280242e+02°)
1.26182753459066e+00	(-5.74727829185630e+00dB,-1.79993910274261e+02°)
1.26473634747115e+00	(-5.74727829157597e+00dB,-1.79993896235994e+02°)
1.26765186585784e+00	(-5.74727829129435e+00dB,-1.79993882165365e+02°)
1.27057410520854e+00	(-5.74727829101142e+00dB,-1.79993868062299e+02°)
1.27350308101666e+00	(-5.74727829072719e+00dB,-1.79993853926723e+02°)
1.27643880881134e+00	(-5.74727829044165e+00dB,-1.79993839758561e+02°)
1.27938130415752e+00	(-5.74727829015479e+00dB,-1.79993825557738e+02°)
1.28233058265602e+00	(-5.74727828986661e+00dB,-1.79993811324179e+02°)
1.28528665994361e+00	(-5.74727828957709e+00dB,-1.79993797057808e+02°)
1.28824955169313e+00	(-5.74727828928624e+00dB,-1.79993782758550e+02°)
1.29121927361353e+00	(-5.74727828899405e+00dB,-1.79993768426328e+02°)
1.29419584144998e+00	(-5.74727828870050e+00dB,-1.79993754061067e+02°)
1.29717927098395e+00	(-5.74727828840560e+00dB,-1.79993739662691e+02°)
1.30016957803328e+00	(-5.74727828810935e+00dB,-1.79993725231123e+02°)
1.30316677845229e+00	(-5.74727828781172e+00dB,-1.79993710766287e+02°)
1.30617088813183e+00	(-5.74727828751272e+00dB,-1.79993696268107e+02°)
1.30918192299940e+00	(-5.74727828721234e+00dB,-1.79993681736504e+02°)
1.31219989901920e+00	(-5.74727828691058e+00dB,-1.79993667171403e+02°)
1.31522483219223e+00	(-5.74727828660742e+00dB,-1.79993652572725e+02°)
1.31825673855640e+00	(-5.74727828630286e+00dB,-1.79993637940394e+02°)
1.32129563418657e+00	(-5.74727828599690e+00dB,-1.79993623274332e+02°)
1.32434153519466e+00	(-5.74727828568952e+00dB,-1.79993608574462e+02°)
1.32739445772973e+00	(-5.74727828538072e+00dB,-1.79993593840704e+02°)
