Frequency [Hz], Amplitude [dB], Phase [deg]
657.7091455991123, 11.720226, -62.441982
662.8804674611093, 12.54607, -67.084274
668.0924494993862, 12.772472, -70.501244
673.345411409752, 13.334408, -63.666023
678.639675401668, 13.181276, -67.42086
683.9755662180058, 13.169075, -71.433434
689.3534111549698, 13.229177, -65.36853
694.7735400821739, 13.59481, -67.243629
700.2362854628715, 13.930801, -70.075081
705.7419823743531, 14.156025, -70.725777
711.2909685284953, 14.135532, -70.429703
716.883584292477, 14.665691, -73.166489
722.5201727096596, 13.964731, -66.939522
728.2010795206238, 14.817921, -72.958618
733.9266531843823, 14.944487, -76.446396
739.6972448997492, 16.021687, -71.194412
745.5132086268846, 15.135151, -74.584854
751.3749011090046, 15.538494, -77.613655
757.2826818942657, 15.918892, -72.955429
763.2369133578177, 15.80304, -74.929298
769.2379607240296, 16.237211, -76.415291
775.286192088894, 16.640892, -75.318573
781.3819784426048, 16.244703, -72.878555
787.5256936923145, 16.364483, -76.498886
793.7177146850686, 16.931965, -82.208824
799.9584212309187, 16.986006, -83.823769
806.248196126222, 17.471375, -81.860184
812.5874251771202, 17.94718, -82.081009
818.976497223207, 17.637026, -82.290855
825.4158041613739, 17.321003, -81.950882
831.9057409698548, 18.082054, -76.332878
838.4467057324478, 18.596972, -81.485039
845.0390996629353, 18.313383, -82.624184
851.6833271296969, 18.675516, -82.83049
858.3797956805064, 18.904343, -85.013565
865.1289160675375, 18.782112, -82.066978
871.9311022725526, 18.847385, -85.454994
878.7867715322981, 19.565193, -88.796196
885.6963443641002, 19.521852, -90.244377
892.6602445916528, 19.373167, -85.456047
899.6788993710206, 20.020922, -89.802536
906.7527392168349, 19.92639, -88.687637
913.882198028703, 20.2824, -89.94458
921.0677131178257, 20.200125, -87.688255
928.3097252338152, 20.564152, -86.575523
935.6086785917375, 20.82966, -89.576454
942.965020899353, 20.817226, -91.906876
950.3792033845813, 21.521309, -94.311913
957.851680823182, 21.518085, -93.994385
965.3829115666432, 21.697571, -95.750725
972.9733575703036, 21.098671, -92.36351
980.6234844216817, 21.932213, -90.510643
988.3337613690371, 22.139328, -98.18631
996.1046613501566, 21.7141, -92.727631
1003.9366610213564, 22.376383, -98.618927
1011.8302407867277, 22.513153, -94.915184
1019.7858848275972, 22.568684, -93.456741
1027.8040811322285, 23.052317, -98.703598
1035.8853215257586, 23.041094, -98.189789
1044.0301017003576, 23.218231, -98.052742
1052.2389212456428, 23.532093, -101.226234
1060.5122836793155, 23.295513, -99.750748
1068.8506964780483, 23.415485, -96.8116
1077.254671108618, 23.812782, -98.583847
1085.7247230592686, 23.764229, -103.26757
1094.2613718713412, 24.318413, -100.601883
1102.865141171133, 24.066599, -104.485863
1111.53655870202, 24.922819, -105.08107
1120.2761563568306, 25.163948, -102.425056
1129.0844702104644, 24.842987, -100.43615
1137.9620405527817, 25.199793, -104.12989
1146.9094119217382, 25.469311, -107.043221
1155.9271331367875, 25.682076, -106.569832
1165.0157573325505, 25.777874, -105.689743
1174.1758419927344, 25.926197, -106.114304
1183.4079489843373, 26.229816, -107.401489
1192.7126445921049, 25.982281, -104.814011
1202.090499553269, 25.928497, -108.437309
1211.5420890925584, 26.719751, -108.81356
1221.0679929574758, 26.725252, -108.344986
1230.6687954538663, 26.699696, -111.251846
1240.3450854817506, 27.01252, -114.258255
1250.0974565714514, 27.218792, -110.805222
1259.9265069200019, 27.667875, -108.688507
1269.832839427831, 27.476351, -112.52919
1279.8170617357546, 27.970715, -113.458931
1289.8797862622368, 28.096441, -113.375336
1300.0216302409608, 27.946873, -114.553787
1310.2432157586918, 27.827774, -115.974731
1320.545169793426, 28.470745, -114.207825
1330.9281242528596, 28.260935, -114.596489
1341.3927160131384, 28.763987, -116.701698
1351.9395869579291, 28.961985, -116.418587
1362.5693840177942, 28.632839, -119.373962
1373.2827592098643, 28.583696, -119.823334
1384.0803696778437, 29.264969, -121.168472
1394.9628777323078, 29.496052, -120.325256
1405.9309508913339, 29.817963, -119.995392
1416.9852619214487, 29.568819, -120.834198
1428.1264888788862, 30.105482, -123.390495
1439.3553151511896, 29.896492, -122.235764
1450.672429499119, 29.931543, -122.20253
1462.0785260989037, 30.30373, -122.675316
1473.5743045848262, 30.407558, -123.408516
1485.1604700921273, 30.722126, -123.289703
1496.8377333002682, 31.006527, -125.208885
1508.6068104765145, 31.094635, -125.295471
1520.4684235198736, 31.069456, -125.915688
1532.4233000053805, 30.877516, -125.581306
1544.4721732287153, 31.278645, -127.689186
1556.6157822511952, 30.90423, -127.242935
1568.8548719450962, 31.443293, -128.86554
1581.190193039347, 31.402637, -130.873398
1593.6225021655832, 31.657351, -129.905548
1606.1525619045467, 31.520741, -132.195251
1618.7811408328735, 31.515102, -128.955185
1631.5090135702267, 31.950094, -133.798492
1644.336960826815, 31.902082, -134.87616
1657.265769451285, 32.192577, -133.058777
1670.2962324789753, 32.5438, -132.787323
1683.4291491805714, 32.524918, -135.376495
1696.665325111122, 32.644268, -136.419693
1710.005572159454, 32.534935, -131.771896
1723.4507085979799, 32.765503, -137.121552
1737.001559132875, 32.868217, -136.11911
1750.6589549546798, 33.015205, -135.619308
1764.4237337892705, 32.830498, -133.394928
1778.2967399492513, 33.232765, -135.656769
1792.2788243857403, 33.191139, -138.0009
1806.3708447405702, 33.435318, -137.109222
1820.5736653988922, 34.086014, -139.368561
1834.888157542192, 34.129963, -138.675842
1849.315199201732, 33.905941, -140.493683
1863.8556753124055, 33.930923, -141.991409
1878.5104777670235, 33.611191, -142.767395
1893.2805054710166, 33.897179, -143.667191
1908.1666643975707, 34.050617, -139.599945
1923.169867643203, 34.622883, -141.993256
1938.2910354837659, 34.609318, -144.001297
1953.5310954309023, 34.560963, -143.490845
1968.890982288933, 34.536983, -148.786255
1984.371638212193, 34.318283, -145.495056
1999.9740127628272, 34.96463, -144.847336
2015.6990629690329, 35.52536, -148.533218
2031.547753383766, 35.051315, -149.502869
2047.5210561439033, 35.02636, -145.862427
2063.619951029868, 35.216404, -145.255615
2079.8454255257334, 35.438183, -148.457718
2096.1984748797886, 35.497604, -149.417007
2112.6801021655956, 35.509041, -148.540039
2129.2913183435076, 35.618206, -149.876953
2146.0331423226794, 35.947144, -151.812012
2162.9066010235706, 35.73204, -150.521179
2179.9127294409313, 35.765198, -152.269745
2197.0525707072943, 36.613846, -151.61496
2214.327176156953, 35.98539, -154.334564
2231.737605390449, 36.240715, -153.84079
2249.284926339568, 36.820511, -151.86377
2266.970215332843, 36.234783, -157.515457
2284.7945571615833, 36.526489, -152.868011
2302.7590451464057, 36.569775, -157.243439
2320.8647812042973, 36.143715, -155.959793
2339.1128759162084, 37.232552, -155.394684
2357.5044485951707, 36.30595, -158.002106
2376.0406273549634, 37.019737, -157.553223
2394.722549179303, 36.895813, -161.736008
2413.5513599915803, 36.953064, -157.551697
2432.5282147251564, 36.86208, -161.605484
2451.654277394202, 36.80212, -156.85527
2470.930721165101, 37.384933, -166.378723
2490.3587284284085, 37.112026, -158.575897
2509.9394908713693, 37.560871, -159.833649
2529.6742095510244, 37.350529, -160.590637
2549.5640949678755, 37.473717, -162.962799
2569.6103671401447, 37.631775, -161.176483
2589.8142556786015, 37.734802, -163.034363
2610.1769998619816, 37.823223, -162.114014
2630.699848713011, 38.037926, -164.007706
2651.3840610750117, 37.953026, -164.496277
2672.230905689131, 37.97039, -167.209778
2693.2416612721427, 38.062397, -164.503906
2714.4176165949066, 38.1026, -164.082657
2735.7600705613977, 38.277267, -168.318451
2757.2703322883895, 38.122604, -167.509888
2778.9497211857606, 38.317963, -167.508759
2800.7995670374075, 38.386112, -170.09404
2822.8212100828314, 38.47427, -169.67215
2845.0160010993304, 38.548191, -169.22673
2867.38530148486, 38.679821, -167.208374
2889.93048334155, 38.651035, -169.945969
2912.652929559844, 38.82729, -172.651123
2935.5540339033523, 38.760792, -171.836182
2958.635201094318, 38.734886, -173.305878
2981.897846899792, 38.890984, -171.261398
3005.3433982184843, 38.951004, -175.855392
3028.9732931682634, 39.021862, -172.986176
3052.788981174396, 39.106876, -175.803101
3076.7919230584303, 39.074677, -175.968597
3100.9835911278087, 39.129204, -175.143494
3125.365469266189, 39.141155, -176.102997
3149.939053024439, 39.117939, -176.832977
3174.705849712401, 39.331821, -176.767807
3199.667378491319, 39.360867, -178.711029
3224.8251704670397, 39.398449, -179.199402
3250.180768783931, 39.457355, -178.883392
3275.735728719519, 39.495197, -178.241379
3301.4916177799087, 39.39687, -178.801285
3327.450015795913, 39.656494, -178.008179
3353.6125150199678, 39.759815, -181.752411
3379.980720223793, 39.836643, -179.670776
3406.5562487968377, 39.878319, -179.179321
3433.3407308454816, 39.750549, -183.002945
3460.3358092930157, 39.974171, -181.959076
3487.543139980429, 39.858196, -183.50415
3514.9643917679655, 39.993202, -181.78302
3542.6012466375046, 40.04871, -183.912216
3570.455399795721, 39.967083, -182.101318
3598.5285597780603, 40.203285, -181.897659
3626.82244855355, 40.043987, -183.090088
3655.3388016304148, 40.087463, -184.969177
3684.0793681625387, 40.2714, -183.357758
3713.0459110567535, 40.124031, -185.181519
3742.240207080961, 40.503288, -184.110855
3771.664046973133, 40.375015, -186.695709
3801.3192355511383, 40.35672, -183.327881
3831.207591823468, 40.379509, -188.491959
3861.330949100797, 40.422726, -188.001053
3891.6911551084304, 40.519073, -189.887207
3922.290072099654, 40.510246, -189.283508
3953.129576969952, 40.675972, -189.45755
3984.211561372146, 40.534405, -189.695236
4015.5379318324203, 40.740753, -189.595367
4047.1106098672544, 40.564873, -188.258545
4078.9315321013, 40.679466, -190.594727
4111.002650386163, 40.719284, -193.118408
4143.325931920137, 40.87624, -189.766663
4175.903359368867, 40.825977, -191.778641
4208.736930986946, 40.841827, -193.226898
4241.828660740506, 40.986027, -192.866287
4275.180578430736, 40.794884, -191.483292
4308.794729818408, 41.060677, -190.972351
4342.673176749344, 41.012917, -192.879913
4376.817997280886, 41.015121, -193.849487
4411.231285809368, 41.016972, -192.39386
4445.915153198581, 41.228088, -194.445251
4480.871726909255, 41.177185, -193.04332
4516.103151129556, 41.105606, -195.699844
4551.611586906589, 41.106682, -196.425751
4587.399212278974, 41.251446, -196.165039
4623.468222410432, 41.176788, -195.187622
4659.8208297244455, 41.137085, -197.608582
4696.459264039961, 41.286491, -200.78006
4733.385772708149, 41.312531, -199.947754
4770.602620750269, 41.327759, -196.094025
4808.112090996596, 41.533051, -199.19632
4845.916484226455, 41.52755, -200.185623
4884.018119309344, 41.345417, -198.919128
4922.419333347156, 41.500843, -199.936798
4961.122481817551, 41.498386, -200.249664
5000.129938718425, 41.468903, -200.150925
5039.444096713549, 41.465706, -199.898621
5079.067367279312, 41.628998, -201.882111
5119.002180852636, 41.682655, -200.63623
5159.250986980069, 41.606159, -200.793625
5199.81625446802, 41.602989, -203.911163
5240.700471534219, 41.484913, -203.438049
5281.906145960322, 41.792206, -203.846024
5323.435805245726, 41.77179, -202.039352
5365.29199676262, 41.720112, -203.164642
5407.477287912226, 41.765793, -203.480072
5449.994266282294, 41.609814, -203.447998
5492.845539805814, 41.690125, -206.455902
5536.03373692097, 41.829399, -203.38324
5579.561506732379, 41.657867, -204.049591
5623.431519173577, 41.778111, -203.440247
5667.646465170803, 41.603142, -204.530273
5712.209056808045, 41.862099, -203.481018
5757.122027493386, 42.010597, -205.800903
5802.388132126682, 41.689724, -207.059906
5848.010147268537, 41.885609, -206.811371
5893.990871310627, 41.88377, -207.041992
5940.333124647335, 41.757278, -205.362854
5987.039749848746, 41.897606, -207.823059
6034.1136118350205, 42.031334, -206.423431
6081.557598052109, 41.757816, -206.135712
6129.374618648886, 41.966431, -210.142456
6177.567606655644, 41.966961, -208.730865
6226.139518163987, 42.14064, -207.464172
6275.09333250817, 41.957687, -208.591766
6324.432052447837, 41.978687, -210.370117
6374.15870435223, 42.024822, -209.16568
6424.276338385782, 41.913902, -210.460281
6474.788028695253, 41.959442, -210.61731
6525.696873598259, 42.074512, -208.88176
6577.005995773328, 42.041794, -210.101425
6628.718542451467, 41.91407, -210.036926
6680.837685609162, 41.987995, -211.473907
