Frequency [Hz], Amplitude [dB], Phase [deg]
405.94415403741624, -1.144421, -28.824184
410.5312605552796, -0.630512, -18.41301
415.17020067142715, 0.476414, -35.699787
419.86156009754905, -0.255333, -31.745956
424.60593116378743, -0.224854, -36.434505
429.40391289352385, 1.329023, -37.359058
434.2561110790116, 0.315281, -28.061871
439.1631383578646, 2.194435, -27.020859
444.1256142904063, 2.00971, -33.284786
449.1441654378969, 1.65937, -34.040607
454.2194254416425, 2.576141, -43.885376
459.3520351029987, 2.15324, -37.461864
464.54264246427755, 3.126997, -36.345547
469.7919028905699, 2.334805, -45.375183
475.1004791524912, 3.215254, -44.927612
480.4690415098624, 4.542559, -46.044628
485.89826779633944, 3.409416, -42.191978
491.38884350499086, 5.002949, -37.075485
496.94146187485484, 5.546312, -52.556179
502.55682397846226, 4.905375, -44.909428
508.23563881035614, 6.037567, -39.71032
513.9786233766089, 5.604921, -43.233814
519.7865027853512, 6.89555, -48.120037
525.6600103383244, 6.563301, -40.543339
531.5998876234664, 7.186691, -44.357059
537.6068846085449, 6.146406, -54.669075
543.6817597358475, 7.329819, -55.392586
549.8252800179449, 7.086302, -54.547035
556.0382211345297, 7.591589, -50.386482
562.321367530357, 7.957493, -55.710892
568.6755125142864, 8.560795, -57.353825
575.1014583594459, 8.852753, -55.855843
581.6000164045266, 9.423851, -50.597275
588.1720071562218, 8.897839, -59.632614
594.8182603928243, 9.709335, -62.095131
601.5396152689941, 10.000311, -54.994583
608.3369204217099, 10.444935, -52.694103
615.211034077417, 10.37524, -63.219238
622.1628241603895, 10.419519, -62.229454
629.1931684023103, 10.423424, -57.111046
636.3029544530963, 11.181055, -65.16626
643.4930799929715, 11.225334, -66.912666
650.7644528458088, 11.669317, -64.856262
658.1179910937512, 12.358686, -61.290497
665.5546231931287, 12.295605, -65.558212
673.0752880916848, 12.65517, -68.108932
680.6809353471278, 13.064489, -65.997131
688.3725252470248, 13.564476, -67.776482
696.1510289300395, 13.183632, -68.148605
704.0174285085586, 13.862131, -67.840073
711.9727171926847, 14.134014, -72.221878
720.0178994156424, 14.401958, -73.743805
728.1539909605974, 14.923223, -77.514572
736.3820190889091, 14.981853, -73.189423
744.7030226698321, 14.967236, -75.787285
753.1180523116839, 16.077429, -74.481445
761.6281704944944, 15.317581, -80.812134
770.2344517041537, 16.471466, -76.897072
778.9379825680805, 16.194912, -79.901161
787.7398619924106, 16.988132, -77.213287
796.6412013007557, 16.64913, -83.240448
805.6431243745102, 17.20019, -76.247086
814.7467677947562, 17.240347, -82.841141
823.9532809857676, 17.937851, -84.562477
833.2638263601352, 18.046499, -77.767677
842.6795794655341, 18.15181, -83.311821
852.2017291331467, 18.426247, -81.799873
861.8314776277654, 19.267216, -86.61396
871.5700407995886, 19.085796, -89.25264
881.418648237738, 18.951469, -89.227684
891.3785434255005, 19.838615, -91.951706
901.4509838973339, 20.154888, -89.874268
911.6372413976418, 20.081621, -87.972168
921.9386020413441, 19.910494, -92.113419
932.3563664762614, 21.023685, -88.412407
942.8918500473352, 20.810383, -86.351547
953.5463829627018, 21.150043, -89.811516
964.3213104616445, 21.131262, -92.819267
975.2179929844475, 21.825129, -95.26973
986.2378063441536, 21.701607, -96.864395
997.3821419002891, 22.284187, -96.760117
1008.6524067345243, 22.415417, -95.636696
1020.0500238283377, 22.750811, -93.867393
1031.5764322426792, 22.939398, -99.268105
1043.233087299666, 23.375589, -101.916733
1055.0214607663324, 23.500191, -95.366974
1066.9430410404527, 23.433804, -100.85878
1078.9993333384677, 23.688095, -100.108086
1091.1918598855318, 24.463486, -101.342537
1103.522160107713, 24.559189, -98.526932
1115.9917908263506, 24.735065, -105.381699
1128.6023264546322, 24.873114, -103.827248
1141.355359196369, 24.92433, -102.397758
1154.2524992470303, 25.202742, -105.795685
1167.2953749970482, 25.648804, -104.741585
1180.4856332374147, 25.954546, -105.495438
1193.8249393676078, 26.341377, -107.981865
1207.314977605863, 26.365561, -108.43383
1220.9574512018232, 26.717621, -112.236168
1234.754082651589, 26.986044, -111.181236
1248.7066139152068, 27.174438, -110.264671
1262.8168066365952, 27.416647, -111.039597
1277.086442365987, 27.695286, -114.563446
1291.5173227848536, 27.617512, -115.096489
1306.111269933391, 27.943727, -117.132889
1320.8701264405695, 28.020742, -116.455704
1335.7957557567834, 28.543308, -115.803879
1350.8900423891296, 28.857063, -115.905502
1366.154892139346, 28.990498, -116.257706
1381.5922323444365, 29.548758, -119.959488
1397.2040121200155, 29.755659, -121.438522
1412.9922026064087, 29.347715, -119.339706
1428.95879721752, 29.958948, -121.448647
1445.1058118925248, 30.302366, -119.623566
1461.435285350402, 30.354429, -125.168625
1477.9492793473405, 30.331896, -123.422806
1494.6498789370585, 30.542778, -122.825485
1511.5391927340588, 31.309175, -131.433243
1528.6193531798654, 30.853554, -124.433289
1545.892516812261, 31.265156, -124.939011
1563.3608645375805, 31.31229, -127.210907
1581.0266019060539, 31.39761, -128.48703
1598.8919593903006, 31.86495, -129.602814
1616.9591926669314, 31.952421, -129.357895
1635.2305829013571, 31.897003, -129.310486
1653.7084370358075, 32.383224, -131.855255
1672.3950880806044, 32.154152, -133.916061
1691.2928954087279, 32.960705, -134.391434
1710.4042450537092, 32.691509, -136.398285
1729.7315500108925, 32.899185, -134.45047
1749.2772505420962, 32.82893, -132.930771
1769.0438144837283, 33.554928, -138.735474
1789.0337375583574, 33.231102, -138.841858
1809.2495436898455, 33.785881, -139.323898
1829.6937853219986, 33.568314, -139.500641
1850.3690437408472, 33.756172, -141.069916
1871.2779294005577, 34.204922, -138.755692
1892.4230822530258, 33.717884, -141.117401
1913.8071720811988, 34.512314, -143.206329
1935.4328988361606, 34.425652, -142.810394
1957.3029929780264, 34.416977, -145.618561
1979.42021582069, 34.686333, -146.366272
2001.7873598804747, 35.137299, -145.189987
2024.407249228695, 34.928154, -143.785446
2047.2827398482516, 34.613743, -147.866653
2070.416719994204, 35.366234, -148.769806
2093.812110558452, 36.067383, -149.330841
2117.4718654385247, 35.826881, -149.152374
2141.3989719105393, 35.71809, -150.341644
2165.596451006374, 35.660503, -150.122009
2190.0673578950996, 35.600258, -152.97699
2214.814782268737, 35.799873, -153.204956
2239.8418487323365, 36.068729, -157.186127
2265.1517171985224, 36.297867, -156.353989
2290.7475832864275, 36.158401, -158.064362
2316.632678725206, 36.428555, -157.153
2342.8102717620454, 36.465393, -158.540497
2369.283667574826, 36.621231, -158.999359
2396.0562086894292, 36.775402, -160.127655
2423.131275401766, 36.733738, -157.758591
2450.5122862045705, 36.853207, -161.799561
2478.2026982190173, 37.329224, -157.385452
2506.206007631228, 37.343147, -160.734283
2534.525750133673, 37.377453, -164.38736
2563.1655013716227, 37.560417, -166.372803
2592.1288773945707, 37.511723, -164.394135
2621.41953511283, 37.841362, -163.098495
2651.041172759229, 37.916931, -166.575821
2680.9975303560595, 37.947071, -166.309113
2711.292390187292, 38.055649, -167.191559
2741.9295772761197, 38.07056, -165.598145
2772.912959867922, 38.321201, -167.26413
2804.246449918635, 38.489861, -166.462112
2835.9340035887203, 38.450691, -170.496796
2867.97962174262, 38.48394, -170.697479
2900.3873504539497, 38.720963, -170.224518
2933.1612815163226, 38.693474, -167.147903
2966.305552959994, 38.916954, -174.682281
2999.8243495743254, 38.889488, -171.966995
3033.7219034361533, 39.144253, -172.580353
3068.0024944441325, 39.069828, -176.752411
3102.6704508591106, 38.960339, -174.091492
3137.7301498506304, 39.116795, -176.357391
3173.1860180495555, 39.344746, -177.009033
3209.0425321070225, 39.260502, -177.348297
3245.304219259612, 39.298874, -178.621674
3281.9756579010045, 39.475956, -178.143494
3319.0614781600116, 39.613029, -179.554596
3356.566362485193, 39.658569, -181.02951
3394.4950462360557, 39.614475, -181.077393
3432.8523182809413, 39.806732, -181.770111
3471.643021601668, 39.830143, -179.708481
3510.872053904999, 39.712799, -179.453369
3550.5443682410464, 40.013145, -182.087341
3590.664973628601, 40.068542, -184.147461
3631.238935687625, 40.085777, -184.245575
3672.271377278778, 40.123116, -184.818329
3713.7674791502823, 40.271027, -183.83667
3755.7324805920052, 40.351433, -187.061081
3798.171680096986, 40.407768, -185.576157
3841.090436030421, 40.422077, -186.286926
3884.4941673062062, 40.69725, -188.364685
3928.3883540711463, 40.604401, -190.393524
3972.778538396835, 40.600025, -190.364578
4017.670324979453, 40.7519, -188.205017
4063.0693818473565, 40.571815, -189.667908
4108.981441076781, 40.798077, -190.425537
4155.41229951551, 40.76178, -193.560165
4202.367819514845, 40.804516, -190.284485
4249.853929669738, 40.931873, -193.089752
4297.876625567357, 40.960579, -191.667206
4346.441970544083, 40.985157, -192.960022
4395.556096451062, 40.970692, -195.501465
4445.225204428431, 41.079182, -195.379944
4495.4555656882285, 41.190079, -194.928894
4546.253522306258, 41.159531, -198.276474
4597.625488022769, 41.267082, -194.952881
4649.577949052322, 41.343819, -198.039368
4702.117464902686, 41.287968, -198.191925
4755.250669203064, 41.293022, -196.372498
4808.984270541648, 41.245152, -199.283112
4863.325053312646, 41.477684, -199.505585
4918.279878572876, 41.474407, -196.57637
4973.8556849080405, 41.445107, -201.455826
5030.059489308811, 41.333256, -200.80835
5086.898388056741, 41.401329, -202.236877
5144.379557620313, 41.620583, -200.056183
5202.51025556096, 41.630379, -203.114975
5261.2978214494815, 41.566509, -203.482819
5320.749677792673, 41.661358, -202.669693
5380.873330970524, 41.566368, -204.991211
5441.676372183963, 41.665257, -204.612045
5503.166478413323, 41.714054, -204.217499
5565.351413387629, 41.697685, -204.92691
5628.239028564851, 41.897835, -204.793274
5691.837264123245, 41.792603, -203.678284
5756.154149963824, 42.06601, -206.426666
5821.197806724289, 41.865646, -208.170044
5886.976446804258, 41.835876, -206.010498
5953.498375402236, 42.035427, -204.895874
6020.771991564175, 41.907696, -208.612808
6088.805789243959, 42.081104, -207.444702
6157.608358375846, 41.909164, -209.132843
6227.188385959023, 41.882713, -210.063324
6297.554657154458, 42.045952, -208.36554
6368.71605639404, 41.906227, -208.991394
6440.681568502427, 42.097137, -211.238022
6513.460279831359, 41.949867, -210.129669
6587.061379407003, 42.114021, -210.213928
6661.494160090078, 42.038788, -208.926208
6736.76801974921, 42.101982, -209.651581
6812.892462447495, 42.17292, -212.160004
6889.877099642477, 42.10627, -211.540527
6967.731651399698, 42.1395, -211.996277
7046.465947619934, 41.844162, -214.111572
7126.089929280361, 42.074451, -212.558197
7206.613649689612, 42.130539, -212.747818
7288.047275757226, 42.137554, -213.488586
7370.401089277195, 42.274128, -212.223541
7453.685488226253, 42.078743, -215.760025
7537.9109880766455, 42.090775, -213.862762
7623.088223123841, 42.135437, -213.700439
7709.227947829214, 42.137024, -214.923248
7796.341038177898, 42.253563, -214.600052
7884.4384930519855, 42.166401, -215.8479
7973.531435619238, 42.192677, -215.993408
8063.631114737537, 42.226555, -216.427795
8154.748906375067, 42.170288, -215.227341
8246.896315046772, 42.258568, -215.749481
8340.084975266778, 42.203373, -213.706482
8434.326653017491, 42.087234, -217.562073
8529.633247235075, 42.202602, -218.479828
8626.016791311853, 42.315353, -217.408051
