Freq.	V(out_fs)
1.03442736271566e+05	(4.21585613182989e+00dB,8.90613636894384e+01°)
1.03466557584242e+05	(4.21785593047267e+00dB,8.90611475460817e+01°)
1.03490384382610e+05	(4.21985572902272e+00dB,8.90609313529577e+01°)
1.03514216667933e+05	(4.22185552747999e+00dB,8.90607151100549e+01°)
1.03538054441474e+05	(4.22385532584444e+00dB,8.90604988173619e+01°)
1.03561897704497e+05	(4.22585512411602e+00dB,8.90602824748673e+01°)
1.03585746458267e+05	(4.22785492229470e+00dB,8.90600660825595e+01°)
1.03609600704047e+05	(4.22985472038043e+00dB,8.90598496404271e+01°)
1.03633460443103e+05	(4.23185451837317e+00dB,8.90596331484586e+01°)
1.03657325676699e+05	(4.23385431627288e+00dB,8.90594166066425e+01°)
1.03681196406101e+05	(4.23585411407951e+00dB,8.90592000149674e+01°)
1.03705072632575e+05	(4.23785391179302e+00dB,8.90589833734219e+01°)
1.03728954357386e+05	(4.23985370941336e+00dB,8.90587666819943e+01°)
1.03752841581800e+05	(4.24185350694050e+00dB,8.90585499406733e+01°)
1.03776734307084e+05	(4.24385330437440e+00dB,8.90583331494473e+01°)
1.03800632534505e+05	(4.24585310171499e+00dB,8.90581163083050e+01°)
1.03824536265330e+05	(4.24785289896226e+00dB,8.90578994172347e+01°)
1.03848445500826e+05	(4.24985269611615e+00dB,8.90576824762249e+01°)
1.03872360242261e+05	(4.25185249317662e+00dB,8.90574654852643e+01°)
1.03896280490902e+05	(4.25385229014362e+00dB,8.90572484443412e+01°)
1.03920206248019e+05	(4.25585208701712e+00dB,8.90570313534442e+01°)
1.03944137514879e+05	(4.25785188379707e+00dB,8.90568142125619e+01°)
1.03968074292751e+05	(4.25985168048342e+00dB,8.90565970216826e+01°)
1.03992016582904e+05	(4.26185147707615e+00dB,8.90563797807949e+01°)
1.04015964386609e+05	(4.26385127357518e+00dB,8.90561624898872e+01°)
1.04039917705134e+05	(4.26585106998051e+00dB,8.90559451489481e+01°)
1.04063876539749e+05	(4.26785086629206e+00dB,8.90557277579660e+01°)
1.04087840891725e+05	(4.26985066250980e+00dB,8.90555103169294e+01°)
1.04111810762332e+05	(4.27185045863370e+00dB,8.90552928258268e+01°)
1.04135786152842e+05	(4.27385025466369e+00dB,8.90550752846467e+01°)
1.04159767064525e+05	(4.27585005059976e+00dB,8.90548576933775e+01°)
1.04183753498652e+05	(4.27784984644183e+00dB,8.90546400520078e+01°)
1.04207745456496e+05	(4.27984964218989e+00dB,8.90544223605259e+01°)
1.04231742939329e+05	(4.28184943784388e+00dB,8.90542046189204e+01°)
1.04255745948422e+05	(4.28384923340376e+00dB,8.90539868271796e+01°)
1.04279754485049e+05	(4.28584902886948e+00dB,8.90537689852921e+01°)
1.04303768550482e+05	(4.28784882424100e+00dB,8.90535510932464e+01°)
1.04327788145995e+05	(4.28984861951829e+00dB,8.90533331510308e+01°)
1.04351813272861e+05	(4.29184841470128e+00dB,8.90531151586338e+01°)
1.04375843932353e+05	(4.29384820978995e+00dB,8.90528971160440e+01°)
1.04399880125747e+05	(4.29584800478425e+00dB,8.90526790232496e+01°)
1.04423921854316e+05	(4.29784779968413e+00dB,8.90524608802392e+01°)
1.04447969119335e+05	(4.29984759448956e+00dB,8.90522426870012e+01°)
1.04472021922078e+05	(4.30184738920048e+00dB,8.90520244435241e+01°)
1.04496080263822e+05	(4.30384718381687e+00dB,8.90518061497963e+01°)
1.04520144145842e+05	(4.30584697833865e+00dB,8.90515878058061e+01°)
1.04544213569413e+05	(4.30784677276581e+00dB,8.90513694115422e+01°)
1.04568288535812e+05	(4.30984656709829e+00dB,8.90511509669927e+01°)
1.04592369046315e+05	(4.31184636133605e+00dB,8.90509324721463e+01°)
1.04616455102199e+05	(4.31384615547904e+00dB,8.90507139269913e+01°)
1.04640546704741e+05	(4.31584594952723e+00dB,8.90504953315162e+01°)
1.04664643855218e+05	(4.31784574348058e+00dB,8.90502766857093e+01°)
1.04688746554908e+05	(4.31984553733902e+00dB,8.90500579895591e+01°)
1.04712854805088e+05	(4.32184533110253e+00dB,8.90498392430540e+01°)
1.04736968607038e+05	(4.32384512477106e+00dB,8.90496204461823e+01°)
1.04761087962034e+05	(4.32584491834456e+00dB,8.90494015989326e+01°)
1.04785212871357e+05	(4.32784471182298e+00dB,8.90491827012932e+01°)
1.04809343336286e+05	(4.32984450520631e+00dB,8.90489637532525e+01°)
1.04833479358098e+05	(4.33184429849447e+00dB,8.90487447547988e+01°)
1.04857620938075e+05	(4.33384409168743e+00dB,8.90485257059207e+01°)
1.04881768077497e+05	(4.33584388478515e+00dB,8.90483066066065e+01°)
1.04905920777643e+05	(4.33784367778757e+00dB,8.90480874568446e+01°)
1.04930079039794e+05	(4.33984347069468e+00dB,8.90478682566233e+01°)
1.04954242865230e+05	(4.34184326350640e+00dB,8.90476490059311e+01°)
1.04978412255234e+05	(4.34384305622269e+00dB,8.90474297047564e+01°)
1.05002587211087e+05	(4.34584284884353e+00dB,8.90472103530874e+01°)
1.05026767734069e+05	(4.34784264136887e+00dB,8.90469909509127e+01°)
1.05050953825464e+05	(4.34984243379864e+00dB,8.90467714982205e+01°)
1.05075145486553e+05	(4.35184222613282e+00dB,8.90465519949993e+01°)
1.05099342718620e+05	(4.35384201837136e+00dB,8.90463324412373e+01°)
1.05123545522946e+05	(4.35584181051422e+00dB,8.90461128369231e+01°)
1.05147753900816e+05	(4.35784160256136e+00dB,8.90458931820449e+01°)
1.05171967853513e+05	(4.35984139451271e+00dB,8.90456734765911e+01°)
1.05196187382320e+05	(4.36184118636825e+00dB,8.90454537205501e+01°)
1.05220412488522e+05	(4.36384097812793e+00dB,8.90452339139102e+01°)
1.05244643173403e+05	(4.36584076979171e+00dB,8.90450140566598e+01°)
1.05268879438248e+05	(4.36784056135954e+00dB,8.90447941487871e+01°)
1.05293121284342e+05	(4.36984035283137e+00dB,8.90445741902807e+01°)
1.05317368712970e+05	(4.37184014420717e+00dB,8.90443541811288e+01°)
1.05341621725417e+05	(4.37383993548689e+00dB,8.90441341213197e+01°)
1.05365880322970e+05	(4.37583972667049e+00dB,8.90439140108418e+01°)
1.05390144506914e+05	(4.37783951775791e+00dB,8.90436938496835e+01°)
1.05414414278537e+05	(4.37983930874912e+00dB,8.90434736378330e+01°)
1.05438689639124e+05	(4.38183909964407e+00dB,8.90432533752787e+01°)
1.05462970589963e+05	(4.38383889044272e+00dB,8.90430330620090e+01°)
1.05487257132342e+05	(4.38583868114501e+00dB,8.90428126980121e+01°)
1.05511549267547e+05	(4.38783847175092e+00dB,8.90425922832764e+01°)
1.05535846996867e+05	(4.38983826226040e+00dB,8.90423718177902e+01°)
1.05560150321591e+05	(4.39183805267340e+00dB,8.90421513015418e+01°)
1.05584459243006e+05	(4.39383784298986e+00dB,8.90419307345195e+01°)
1.05608773762402e+05	(4.39583763320977e+00dB,8.90417101167117e+01°)
1.05633093881067e+05	(4.39783742333306e+00dB,8.90414894481067e+01°)
1.05657419600291e+05	(4.39983721335968e+00dB,8.90412687286927e+01°)
1.05681750921364e+05	(4.40183700328961e+00dB,8.90410479584581e+01°)
1.05706087845576e+05	(4.40383679312280e+00dB,8.90408271373911e+01°)
1.05730430374216e+05	(4.40583658285918e+00dB,8.90406062654801e+01°)
1.05754778508577e+05	(4.40783637249874e+00dB,8.90403853427134e+01°)
1.05779132249948e+05	(4.40983616204141e+00dB,8.90401643690793e+01°)
1.05803491599621e+05	(4.41183595148716e+00dB,8.90399433445660e+01°)
1.05827856558887e+05	(4.41383574083593e+00dB,8.90397222691618e+01°)
