Freq.	V(out_preamp)
1.41253754462274e+00	(1.99999044536548e+01dB,1.79999991097513e+02°)
1.41579377995707e+00	(1.99999044536548e+01dB,1.79999991076991e+02°)
1.41905752168908e+00	(1.99999044536548e+01dB,1.79999991056421e+02°)
1.42232878712281e+00	(1.99999044536548e+01dB,1.79999991035804e+02°)
1.42560759360218e+00	(1.99999044536548e+01dB,1.79999991015140e+02°)
1.42889395851109e+00	(1.99999044536548e+01dB,1.79999990994427e+02°)
1.43218789927353e+00	(1.99999044536548e+01dB,1.79999990973667e+02°)
1.43548943335364e+00	(1.99999044536548e+01dB,1.79999990952860e+02°)
1.43879857825583e+00	(1.99999044536548e+01dB,1.79999990932004e+02°)
1.44211535152486e+00	(1.99999044536548e+01dB,1.79999990911100e+02°)
1.44543977074592e+00	(1.99999044536548e+01dB,1.79999990890148e+02°)
1.44877185354475e+00	(1.99999044536548e+01dB,1.79999990869147e+02°)
1.45211161758773e+00	(1.99999044536548e+01dB,1.79999990848099e+02°)
1.45545908058195e+00	(1.99999044536548e+01dB,1.79999990827001e+02°)
1.45881426027534e+00	(1.99999044536548e+01dB,1.79999990805855e+02°)
1.46217717445671e+00	(1.99999044536548e+01dB,1.79999990784661e+02°)
1.46554784095590e+00	(1.99999044536548e+01dB,1.79999990763417e+02°)
1.46892627764385e+00	(1.99999044536548e+01dB,1.79999990742125e+02°)
1.47231250243271e+00	(1.99999044536548e+01dB,1.79999990720783e+02°)
1.47570653327588e+00	(1.99999044536548e+01dB,1.79999990699392e+02°)
1.47910838816819e+00	(1.99999044536548e+01dB,1.79999990677952e+02°)
1.48251808514594e+00	(1.99999044536548e+01dB,1.79999990656463e+02°)
1.48593564228699e+00	(1.99999044536548e+01dB,1.79999990634924e+02°)
1.48936107771090e+00	(1.99999044536548e+01dB,1.79999990613335e+02°)
1.49279440957898e+00	(1.99999044536548e+01dB,1.79999990591696e+02°)
1.49623565609442e+00	(1.99999044536548e+01dB,1.79999990570008e+02°)
1.49968483550236e+00	(1.99999044536548e+01dB,1.79999990548269e+02°)
1.50314196609001e+00	(1.99999044536548e+01dB,1.79999990526481e+02°)
1.50660706618673e+00	(1.99999044536548e+01dB,1.79999990504642e+02°)
1.51008015416413e+00	(1.99999044536548e+01dB,1.79999990482753e+02°)
1.51356124843619e+00	(1.99999044536548e+01dB,1.79999990460814e+02°)
1.51705036745932e+00	(1.99999044536548e+01dB,1.79999990438824e+02°)
1.52054752973248e+00	(1.99999044536548e+01dB,1.79999990416783e+02°)
1.52405275379728e+00	(1.99999044536548e+01dB,1.79999990394691e+02°)
1.52756605823806e+00	(1.99999044536548e+01dB,1.79999990372549e+02°)
1.53108746168202e+00	(1.99999044536548e+01dB,1.79999990350355e+02°)
1.53461698279928e+00	(1.99999044536548e+01dB,1.79999990328110e+02°)
1.53815464030302e+00	(1.99999044536548e+01dB,1.79999990305814e+02°)
1.54170045294954e+00	(1.99999044536548e+01dB,1.79999990283467e+02°)
1.54525443953840e+00	(1.99999044536548e+01dB,1.79999990261068e+02°)
1.54881661891247e+00	(1.99999044536548e+01dB,1.79999990238618e+02°)
1.55238700995807e+00	(1.99999044536548e+01dB,1.79999990216115e+02°)
1.55596563160506e+00	(1.99999044536548e+01dB,1.79999990193561e+02°)
1.55955250282694e+00	(1.99999044536548e+01dB,1.79999990170955e+02°)
1.56314764264094e+00	(1.99999044536548e+01dB,1.79999990148297e+02°)
1.56675107010813e+00	(1.99999044536548e+01dB,1.79999990125586e+02°)
1.57036280433354e+00	(1.99999044536548e+01dB,1.79999990102823e+02°)
1.57398286446620e+00	(1.99999044536548e+01dB,1.79999990080008e+02°)
1.57761126969933e+00	(1.99999044536547e+01dB,1.79999990057140e+02°)
1.58124803927037e+00	(1.99999044536547e+01dB,1.79999990034219e+02°)
1.58489319246110e+00	(1.99999044536547e+01dB,1.79999990011246e+02°)
1.58854674859776e+00	(1.99999044536547e+01dB,1.79999989988219e+02°)
1.59220872705115e+00	(1.99999044536547e+01dB,1.79999989965140e+02°)
1.59587914723672e+00	(1.99999044536547e+01dB,1.79999989942007e+02°)
1.59955802861465e+00	(1.99999044536547e+01dB,1.79999989918821e+02°)
1.60324539069002e+00	(1.99999044536547e+01dB,1.79999989895581e+02°)
1.60694125301286e+00	(1.99999044536547e+01dB,1.79999989872288e+02°)
1.61064563517825e+00	(1.99999044536547e+01dB,1.79999989848942e+02°)
1.61435855682647e+00	(1.99999044536547e+01dB,1.79999989825541e+02°)
1.61808003764305e+00	(1.99999044536547e+01dB,1.79999989802086e+02°)
1.62181009735891e+00	(1.99999044536547e+01dB,1.79999989778578e+02°)
1.62554875575047e+00	(1.99999044536547e+01dB,1.79999989755015e+02°)
