Frequency [Hz], Amplitude [dB], Phase [deg]
126259.97995991984, 5.160382, 110.411804
127261.96392785572, 5.07021, 109.94693
128263.94789579159, 5.481496, 109.458908
129265.93186372746, 5.526334, 108.614876
130267.91583166333, 5.849087, 109.266228
131269.8997995992, 5.538613, 107.41272
132271.88376753507, 5.413565, 105.579071
133273.86773547094, 5.581159, 112.348877
134275.8517034068, 5.765319, 104.520798
135277.83567134268, 6.10083, 107.016541
136279.81963927855, 5.9882, 103.962189
137281.80360721442, 6.310236, 109.718658
138283.78757515032, 6.052619, 106.030014
139285.7715430862, 6.849631, 117.102608
140287.75551102206, 6.73777, 112.816864
141289.73947895793, 6.614498, 109.157661
142291.7234468938, 6.534546, 109.388824
143293.70741482967, 6.63542, 99.513565
144295.69138276554, 6.9156, 107.823914
145297.6753507014, 7.230676, 111.061752
146299.65931863728, 6.818734, 108.931625
147301.64328657315, 7.153597, 110.290092
148303.62725450902, 7.108875, 109.584381
149305.6112224449, 7.338934, 109.119682
150307.59519038076, 7.663375, 113.154572
151309.57915831663, 7.625324, 110.208641
152311.5631262525, 7.413327, 108.206161
153313.54709418837, 7.509321, 109.379173
154315.53106212424, 7.800275, 109.053528
155317.5150300601, 7.781881, 108.910728
156319.498997996, 7.882998, 109.845215
157321.48296593188, 7.912833, 108.845863
158323.46693386775, 7.816158, 108.961113
159325.45090180362, 8.084921, 108.795372
160327.4348697395, 8.036087, 107.991066
161329.41883767536, 8.361148, 107.69725
162331.40280561123, 8.313582, 108.530098
163333.3867735471, 8.280002, 107.94754
164335.37074148297, 8.40595, 107.813766
165337.35470941884, 8.524475, 108.170341
166339.3386773547, 8.718626, 109.921661
167341.32264529058, 8.755381, 108.164963
168343.30661322645, 8.694805, 114.804283
169345.29058116232, 8.34564, 103.790421
170347.2745490982, 8.936216, 110.057159
171349.25851703406, 9.156137, 110.197006
172351.24248496993, 9.277926, 112.09108
173353.2264529058, 9.170303, 109.399002
174355.2104208417, 9.286864, 108.936935
175357.19438877757, 10.051537, 107.681137
176359.17835671344, 9.472142, 108.43824
177361.1623246493, 10.302095, 105.634956
178363.14629258518, 9.362631, 109.13253
179365.13026052105, 9.699305, 114.391266
180367.11422845692, 9.874131, 107.723457
181369.0981963928, 9.73395, 110.733162
182371.08216432866, 9.646772, 108.795433
183373.06613226453, 9.905978, 106.489326
184375.0501002004, 9.88068, 109.421249
185377.03406813627, 9.929079, 107.186882
186379.01803607214, 9.974282, 114.020554
187381.002004008, 9.939227, 107.503242
188382.98597194388, 10.122348, 105.380005
189384.96993987975, 10.104961, 106.466316
190386.95390781562, 10.1373, 104.321083
191388.9378757515, 10.317574, 107.480331
192390.92184368736, 10.403111, 113.062271
193392.90581162326, 10.505768, 106.475014
194394.88977955913, 10.562533, 106.757446
195396.873747495, 10.759609, 107.999481
196398.85771543087, 10.562194, 105.734337
197400.84168336674, 10.732788, 108.573578
198402.8256513026, 10.778032, 108.12912
199404.80961923848, 10.757076, 108.684921
200406.79358717435, 10.929173, 107.698967
201408.77755511022, 10.86103, 107.211472
202410.7615230461, 11.121876, 113.064468
203412.74549098196, 11.13029, 101.356758
204414.72945891783, 10.819747, 107.665268
205416.7134268537, 11.064561, 108.7211
206418.69739478957, 11.361196, 106.722786
207420.68136272545, 11.459615, 114.833481
208422.66533066132, 11.596798, 102.427002
209424.64929859719, 11.380795, 108.309196
210426.63326653306, 11.58449, 106.432472
211428.61723446895, 11.541655, 100.149223
212430.60120240483, 11.553838, 110.762299
213432.5851703407, 11.693626, 108.484444
214434.56913827657, 11.548122, 108.114723
215436.55310621244, 11.740952, 112.589966
216438.5370741483, 11.770249, 108.753349
217440.52104208418, 11.64408, 106.31646
218442.50501002005, 11.701398, 107.265182
219444.48897795592, 12.011807, 106.504135
220446.4729458918, 12.033699, 106.710068
221448.45691382766, 11.836736, 109.145622
222450.44088176353, 12.053565, 105.118011
223452.4248496994, 12.166654, 111.876106
224454.40881763527, 12.287865, 107.589554
225456.39278557114, 12.281261, 107.371117
226458.376753507, 12.292228, 108.041641
227460.36072144288, 12.369047, 107.210838
228462.34468937875, 12.451491, 107.863602
229464.32865731465, 12.647836, 108.474075
230466.31262525052, 12.572423, 106.368851
231468.2965931864, 12.767159, 107.321404
232470.28056112226, 12.596622, 103.327072
233472.26452905813, 12.802234, 109.455414
234474.248496994, 12.866964, 107.712212
235476.23246492987, 12.773378, 107.515556
236478.21643286574, 12.932636, 107.294647
237480.2004008016, 12.811638, 102.671234
238482.18436873748, 13.221375, 106.250786
239484.16833667335, 13.268686, 106.153412
240486.15230460922, 13.193887, 107.895996
241488.1362725451, 13.272728, 107.471848
242490.12024048096, 13.321331, 106.490364
243492.10420841683, 13.377393, 105.931183
244494.0881763527, 13.583568, 106.437645
245496.07214428857, 13.264314, 105.707596
246498.05611222444, 13.480779, 108.079033
247500.04008016034, 13.502572, 103.13903
248502.0240480962, 13.646049, 111.674637
249504.00801603208, 13.773888, 108.826096
250505.99198396795, 13.959242, 106.265747
251507.97595190382, 13.870308, 105.473969
252509.9599198397, 14.13946, 105.083046
253511.94388777556, 14.057229, 106.049919
254513.92785571143, 14.24024, 102.698616
255515.9118236473, 14.218468, 103.274155
256517.89579158317, 14.265052, 106.745018
257519.87975951904, 14.120689, 103.712357
258521.8637274549, 14.235415, 106.219353
259523.84769539078, 14.254307, 106.740616
260525.83166332665, 14.24987, 102.607094
261527.81563126252, 14.276841, 105.920151
262529.7995991984, 14.41383, 106.397072
263531.7835671343, 14.423988, 105.7808
264533.76753507013, 14.446768, 105.93837
265535.75150300603, 14.339301, 108.537987
266537.7354709419, 14.39738, 106.561905
267539.7194388778, 14.556235, 106.209663
268541.7034068136, 14.507054, 104.090393
269543.6873747495, 14.629908, 106.764824
270545.67134268535, 14.610219, 106.041634
271547.65531062125, 14.608697, 104.973755
272549.6392785571, 14.676771, 106.796349
273551.623246493, 14.695791, 105.030365
274553.60721442883, 14.736642, 105.981949
275555.59118236473, 14.813125, 105.147423
276557.57515030063, 14.934904, 103.642105
277559.5591182365, 14.836113, 104.851707
278561.5430861724, 14.885864, 106.689079
279563.5270541082, 15.108308, 105.848251
280565.5110220441, 15.05505, 104.576485
281567.49498997995, 15.161757, 105.523788
282569.47895791585, 15.140464, 105.726349
283571.4629258517, 15.123738, 106.802124
284573.4468937876, 15.259245, 104.591461
285575.43086172343, 15.165274, 104.265289
286577.41482965933, 15.217393, 100.645004
287579.3987975952, 15.362493, 104.408417
288581.3827655311, 15.338339, 105.028473
289583.3667334669, 15.557162, 103.149315
290585.3507014028, 15.376409, 102.165886
291587.33466933866, 15.460439, 104.523132
292589.31863727455, 15.474478, 104.560287
293591.30260521045, 15.378254, 105.602562
294593.2865731463, 15.510077, 102.760712
295595.2705410822, 15.759849, 102.558502
296597.25450901804, 15.608573, 102.120468
297599.23847695393, 15.713167, 104.052963
298601.2224448898, 15.653335, 104.352982
299603.2064128257, 15.746019, 103.516708
300605.1903807615, 15.904548, 102.457397
301607.1743486974, 15.610783, 106.122978
302609.15831663326, 15.844535, 104.946945
303611.14228456916, 15.892851, 104.252052
304613.126252505, 15.869393, 106.082169
305615.1102204409, 15.945177, 104.066132
306617.09418837674, 15.960072, 103.877602
307619.07815631264, 15.997423, 105.548988
308621.0621242485, 16.044083, 103.314163
309623.0460921844, 16.015131, 101.46376
310625.0300601202, 15.990213, 104.608307
311627.0140280561, 16.133636, 108.022377
312628.997995992, 16.141727, 108.733223
313630.98196392786, 16.29759, 106.580627
314632.96593186376, 16.324127, 105.918137
315634.9498997996, 16.295576, 106.588608
316636.9338677355, 16.260683, 104.864815
317638.91783567134, 16.394016, 104.520538
318640.90180360724, 16.411318, 104.790085
319642.8857715431, 16.661289, 107.081284
320644.869739479, 16.598698, 106.553482
321646.8537074148, 16.609283, 104.632248
322648.8376753507, 16.387522, 104.65229
323650.82164328656, 16.693499, 104.249329
324652.80561122246, 16.534981, 103.644432
325654.7895791583, 16.603106, 105.828354
326656.7735470942, 16.71624, 107.180008
327658.75751503004, 16.743832, 104.242958
328660.74148296594, 16.763124, 103.463921
329662.7254509018, 16.780836, 103.26503
330664.7094188377, 16.889746, 104.343155
331666.6933867736, 16.862846, 104.187561
332668.6773547094, 16.866823, 106.081909
333670.6613226453, 16.834923, 105.456024
334672.64529058116, 17.009235, 107.687225
335674.62925851706, 17.136436, 103.722267
336676.6132264529, 17.020224, 104.242714
337678.5971943888, 16.973246, 103.660294
338680.58116232464, 17.033768, 104.994308
339682.56513026054, 17.233843, 101.3377
340684.5490981964, 17.136086, 104.109665
341686.5330661323, 17.237602, 103.778351
342688.5170340681, 17.141258, 104.392975
343690.501002004, 17.224373, 104.234169
344692.48496993986, 17.356943, 102.526924
345694.46893787576, 17.347248, 105.016472
346696.4529058116, 17.218155, 104.17041
347698.4368737475, 17.418425, 105.382812
348700.4208416834, 17.355881, 104.035187
349702.40480961924, 17.481308, 101.435532
350704.38877755514, 17.474541, 103.341354
351706.372745491, 17.453991, 105.092186
352708.3567134269, 17.443008, 102.620193
353710.3406813627, 17.520071, 103.941803
354712.3246492986, 17.574862, 103.851456
355714.30861723446, 17.734989, 104.20433
356716.29258517036, 17.58621, 102.922714
357718.2765531062, 17.575127, 101.024879
358720.2605210421, 17.62993, 103.880646
359722.24448897794, 17.67238, 104.063919
360724.22845691384, 17.6943, 102.401604
361726.2124248497, 17.719624, 103.352303
362728.1963927856, 17.926142, 103.366737
363730.1803607214, 17.791872, 102.907257
364732.1643286573, 17.735838, 104.500076
365734.14829659316, 17.837215, 104.046875
366736.13226452906, 17.890392, 101.183655
367738.11623246496, 17.983431, 103.923431
368740.1002004008, 17.857662, 104.351334
369742.0841683367, 18.005081, 103.992294
370744.06813627254, 18.141062, 103.323723
371746.05210420844, 18.124651, 103.072105
372748.0360721443, 18.24032, 104.346336
373750.0200400802, 18.456108, 103.086372
374752.004008016, 18.213388, 103.449593
375753.9879759519, 18.588057, 104.19014
376755.97194388777, 18.519855, 104.83979
377757.95591182366, 18.498377, 103.920349
378759.9398797595, 18.463814, 103.207565
379761.9238476954, 18.425505, 103.228951
380763.90781563125, 18.518574, 102.862862
381765.89178356715, 18.482838, 103.002472
382767.875751503, 18.497522, 104.303207
383769.8597194389, 18.492147, 101.356735
384771.8436873747, 18.457048, 103.396057
385773.8276553106, 18.411251, 103.126251
386775.8116232465, 18.623011, 104.358688
387777.79559118237, 18.592978, 105.663261
388779.77955911827, 18.638432, 102.743874
389781.7635270541, 18.650934, 103.263313
390783.74749499, 18.68914, 103.881149
391785.73146292585, 18.702604, 103.713173
392787.71543086175, 18.800245, 103.077744
393789.6993987976, 18.662443, 102.325081
394791.6833667335, 18.809734, 102.5662
395793.6673346693, 18.839428, 102.871971
396795.6513026052, 18.899599, 104.423302
397797.63527054107, 18.911737, 104.74205
398799.61923847697, 18.982792, 102.527695
399801.6032064128, 18.963707, 104.929932
400803.5871743487, 19.123962, 104.384781
401805.57114228455, 19.124788, 103.032585
402807.55511022045, 19.056149, 104.012817
403809.53907815635, 19.059944, 103.122704
404811.5230460922, 19.136312, 103.917358
405813.5070140281, 19.231462, 105.103256
406815.4909819639, 19.22068, 103.273338
407817.4749498998, 19.242245, 102.974068
408819.45891783567, 19.383923, 102.751587
409821.44288577157, 19.375376, 103.283257
410823.4268537074, 19.449669, 103.100166
411825.4108216433, 19.368423, 102.832108
412827.39478957915, 19.454695, 101.01712
413829.37875751505, 19.465611, 102.701912
414831.3627254509, 19.431076, 103.75589
415833.3466933868, 19.449032, 106.287636
416835.33066132263, 19.379181, 103.569183
417837.31462925853, 19.541584, 103.34893
418839.29859719437, 19.552067, 102.381058
419841.28256513027, 19.643448, 103.047028
420843.2665330661, 19.519272, 103.295906
421845.250501002, 19.511854, 103.106285
422847.2344689379, 19.605854, 105.160889
423849.21843687375, 19.775076, 100.696716
424851.20240480965, 19.785685, 102.934227
425853.1863727455, 19.653353, 103.755287
426855.1703406814, 19.739737, 104.194687
427857.15430861723, 19.771801, 103.140152
428859.13827655313, 19.752117, 103.541306
429861.122244489, 19.81115, 100.45533
430863.1062124249, 19.921415, 104.272911
431865.0901803607, 19.882826, 101.943626
432867.0741482966, 19.903152, 103.486038
433869.05811623245, 19.945871, 108.105621
434871.04208416835, 19.976788, 103.813164
435873.0260521042, 20.233589, 103.59288
436875.0100200401, 20.134827, 103.291786
437876.99398797593, 20.26099, 102.378792
438878.97795591183, 20.245373, 103.380348
439880.96192384773, 20.234894, 103.452591
440882.9458917836, 20.29578, 102.806
441884.9298597195, 20.418127, 103.976471
442886.9138276553, 20.510256, 103.269165
443888.8977955912, 20.298824, 102.941818
444890.88176352705, 20.447626, 102.064445
445892.86573146295, 20.405087, 102.799767
446894.8496993988, 20.40015, 101.96637
447896.8336673347, 20.568125, 102.743629
448898.81763527053, 20.438763, 104.447395
449900.80160320643, 20.522188, 103.717102
450902.7855711423, 20.678612, 102.925591
451904.7695390782, 20.338228, 98.572548
452906.753507014, 20.575102, 102.368858
453908.7374749499, 20.590553, 102.971664
454910.72144288576, 20.474361, 103.673286
455912.70541082165, 20.456339, 100.853577
456914.6893787575, 20.52313, 102.985855
457916.6733466934, 20.485373, 103.566483
458918.6573146293, 20.406563, 102.109818
459920.64128256514, 20.518353, 103.308044
460922.62525050103, 20.488089, 103.559906
461924.6092184369, 20.575089, 102.75444
462926.5931863728, 20.348488, 102.506126
463928.5771543086, 20.344995, 103.056335
464930.5611222445, 20.514103, 101.927185
465932.54509018036, 20.622934, 103.736534
466934.52905811626, 20.384232, 102.304459
467936.5130260521, 20.429184, 102.678268
468938.496993988, 20.443878, 103.027168
469940.48096192384, 20.600086, 103.06337
470942.46492985974, 20.711283, 104.386421
471944.4488977956, 20.689362, 100.750839
472946.4328657315, 20.808525, 102.90715
473948.4168336673, 20.87323, 102.297913
474950.4008016032, 20.867596, 106.146286
475952.38476953906, 21.029299, 101.960175
476954.36873747496, 21.048204, 104.03643
477956.35270541086, 21.040632, 102.938988
478958.3366733467, 21.115877, 102.894295
479960.3206412826, 21.170391, 103.926651
480962.30460921844, 21.279221, 106.695496
481964.28857715434, 21.283081, 97.494965
482966.2725450902, 21.332037, 102.361511
483968.2565130261, 21.262953, 101.402596
484970.2404809619, 21.344646, 96.948349
485972.2244488978, 21.397293, 101.777893
486974.20841683366, 21.356131, 101.431915
487976.19238476956, 21.390974, 101.237
488978.1763527054, 21.41563, 100.101448
489980.1603206413, 21.465084, 100.552048
490982.14428857714, 21.473257, 101.413506
491984.12825651304, 21.46862, 100.447571
492986.1122244489, 21.455151, 101.190086
493988.0961923848, 21.486656, 100.191872
494990.0801603207, 21.729549, 105.218918
495992.0641282565, 21.64509, 101.309753
496994.0480961924, 21.738661, 101.389038
497996.03206412826, 21.674303, 102.763054
498998.01603206416, 21.760996, 101.036354
500000, 21.736343, 103.154274
