Frequency [Hz], Amplitude [dB], Phase [deg]
79166.73346693387, 29.55529, -150.940018
80168.71743486974, 29.554306, -153.701279
81170.70140280561, 29.608028, -153.873169
82172.68537074148, 29.64472, -152.378387
83174.66933867735, 29.707441, -153.69783
84176.65330661323, 29.663082, -153.880066
85178.6372745491, 29.735092, -154.016251
86180.62124248497, 29.833614, -154.647232
87182.60521042085, 29.760048, -152.523621
88184.58917835672, 29.950035, -153.890579
89186.57314629259, 29.93198, -154.997467
90188.55711422846, 30.01255, -154.354263
91190.54108216433, 29.924393, -154.661987
92192.5250501002, 29.971935, -155.265305
93194.50901803607, 30.127472, -154.8311
94196.49298597194, 29.897648, -156.534546
95198.47695390781, 29.903801, -155.421768
96200.46092184368, 30.030289, -157.442215
97202.44488977957, 30.078762, -156.302658
98204.42885771544, 30.197294, -155.477417
99206.4128256513, 30.407364, -155.649139
100208.39679358718, 30.308666, -155.939148
101210.38076152305, 30.258728, -158.109085
102212.36472945892, 30.347794, -157.645752
103214.34869739479, 30.210709, -155.163193
104216.33266533066, 30.174294, -153.890045
105218.31663326653, 30.051083, -159.364349
106220.30060120241, 30.533226, -156.815918
107222.28456913828, 30.246325, -156.488831
108224.26853707415, 30.278431, -157.001526
109226.25250501002, 30.222263, -157.387177
110228.2364729459, 30.495619, -161.000793
111230.22044088176, 30.516438, -156.798569
112232.20440881763, 30.43042, -157.718597
113234.1883767535, 30.636154, -157.174255
114236.17234468937, 30.645428, -156.420898
115238.15631262526, 30.580019, -159.384918
116240.14028056113, 30.586784, -156.841827
117242.124248497, 30.62829, -156.825455
118244.10821643287, 30.614902, -156.776337
119246.09218436874, 30.732494, -158.315979
120248.07615230461, 30.624807, -156.306381
121250.06012024048, 30.611046, -157.479263
122252.04408817635, 30.696108, -158.434937
123254.02805611222, 30.832232, -158.482788
124256.0120240481, 30.843056, -157.85318
125257.99599198397, 30.823822, -157.051163
126259.97995991984, 31.018383, -157.369125
127261.96392785572, 30.862244, -154.79303
128263.94789579159, 30.788111, -161.993866
129265.93186372746, 30.911985, -155.700562
130267.91583166333, 30.89175, -155.877365
131269.8997995992, 30.928856, -156.074295
132271.88376753507, 30.936659, -158.244019
133273.86773547094, 31.050842, -158.223846
134275.8517034068, 30.808613, -156.875381
135277.83567134268, 30.944271, -157.790115
136279.81963927855, 31.146267, -158.011261
137281.80360721442, 30.995258, -156.944214
138283.78757515032, 30.949371, -153.024994
139285.7715430862, 31.078255, -156.297699
140287.75551102206, 31.202827, -157.930496
141289.73947895793, 31.041252, -157.531448
142291.7234468938, 30.915642, -159.398071
143293.70741482967, 31.257317, -159.27037
144295.69138276554, 31.133104, -158.058548
145297.6753507014, 31.040928, -159.788757
146299.65931863728, 31.24642, -159.362778
147301.64328657315, 31.204865, -158.51535
148303.62725450902, 31.146751, -158.334396
149305.6112224449, 31.232399, -159.538284
150307.59519038076, 31.272543, -159.171906
151309.57915831663, 31.256954, -158.607208
152311.5631262525, 31.245159, -159.317169
153313.54709418837, 31.3279, -160.208252
154315.53106212424, 31.245321, -158.814072
155317.5150300601, 31.316708, -162.656387
156319.498997996, 31.292908, -159.301773
157321.48296593188, 31.436577, -162.366943
158323.46693386775, 31.226128, -159.199005
159325.45090180362, 31.244854, -160.678604
160327.4348697395, 31.345236, -159.681122
161329.41883767536, 31.208015, -159.411728
162331.40280561123, 31.362926, -159.342804
163333.3867735471, 31.352045, -160.680435
164335.37074148297, 31.533709, -158.72403
165337.35470941884, 31.38632, -160.13945
166339.3386773547, 31.348812, -161.797668
167341.32264529058, 31.47234, -161.279999
168343.30661322645, 31.506756, -160.579758
169345.29058116232, 31.547318, -164.236771
170347.2745490982, 31.305023, -162.204041
171349.25851703406, 31.377579, -159.180878
172351.24248496993, 31.49304, -160.76268
173353.2264529058, 31.554539, -159.847855
174355.2104208417, 31.574455, -164.649002
175357.19438877757, 31.606405, -161.209473
176359.17835671344, 31.616568, -162.948395
177361.1623246493, 31.566065, -158.254517
178363.14629258518, 31.714436, -159.886948
179365.13026052105, 31.724836, -161.368744
180367.11422845692, 31.769978, -161.794693
181369.0981963928, 31.651764, -160.645752
182371.08216432866, 31.489019, -160.628052
183373.06613226453, 31.510757, -160.728348
184375.0501002004, 31.597, -161.175888
185377.03406813627, 31.561199, -161.613785
186379.01803607214, 31.548578, -160.139175
187381.002004008, 31.616968, -162.560135
188382.98597194388, 31.627331, -161.616791
189384.96993987975, 31.698215, -161.320618
190386.95390781562, 31.700521, -161.436203
191388.9378757515, 31.651011, -160.878113
192390.92184368736, 31.63789, -161.583145
193392.90581162326, 31.781685, -161.74826
194394.88977955913, 31.703838, -161.508301
195396.873747495, 31.626377, -162.618652
196398.85771543087, 31.883842, -161.122711
197400.84168336674, 31.676811, -158.711288
198402.8256513026, 31.705473, -162.632141
199404.80961923848, 31.699158, -160.800186
200406.79358717435, 31.421124, -160.741425
201408.77755511022, 31.722965, -161.704453
202410.7615230461, 31.898016, -156.283844
203412.74549098196, 31.813332, -160.69545
204414.72945891783, 31.962242, -161.210678
205416.7134268537, 31.907566, -160.900482
206418.69739478957, 31.734646, -160.042542
207420.68136272545, 31.833006, -155.219513
208422.66533066132, 31.895737, -161.158035
209424.64929859719, 31.777866, -161.362839
210426.63326653306, 32.243317, -161.96196
211428.61723446895, 31.71426, -166.703949
212430.60120240483, 31.798828, -159.90004
213432.5851703407, 31.771389, -163.250519
214434.56913827657, 31.489742, -161.606262
215436.55310621244, 31.747574, -162.001389
216438.5370741483, 31.865192, -160.670929
217440.52104208418, 31.680176, -161.735916
218442.50501002005, 31.574348, -158.169647
219444.48897795592, 31.569141, -160.943817
220446.4729458918, 31.728466, -164.513321
221448.45691382766, 31.719456, -160.313416
222450.44088176353, 31.673475, -161.607758
223452.4248496994, 31.714815, -160.967407
224454.40881763527, 31.765087, -164.283035
225456.39278557114, 31.881197, -162.310043
226458.376753507, 31.922009, -162.17804
227460.36072144288, 31.872791, -163.665771
228462.34468937875, 31.864941, -160.407104
229464.32865731465, 32.038544, -163.505981
230466.31262525052, 32.023033, -159.664886
231468.2965931864, 32.031311, -160.871078
232470.28056112226, 31.999493, -161.157867
233472.26452905813, 31.877184, -162.460342
234474.248496994, 31.996708, -160.472488
235476.23246492987, 32.081398, -160.680298
236478.21643286574, 32.001534, -159.998199
237480.2004008016, 32.151333, -161.049133
238482.18436873748, 32.019627, -161.219009
239484.16833667335, 31.986217, -162.642456
240486.15230460922, 32.084709, -161.920944
241488.1362725451, 32.17799, -160.577637
242490.12024048096, 32.197601, -160.3965
243492.10420841683, 32.094482, -158.991791
244494.0881763527, 32.268456, -164.151215
245496.07214428857, 32.170799, -162.235352
246498.05611222444, 32.383923, -161.052277
247500.04008016034, 32.166058, -162.438461
248502.0240480962, 32.323257, -162.889267
249504.00801603208, 32.318497, -162.213745
250505.99198396795, 32.310043, -162.50209
251507.97595190382, 32.346249, -162.458878
252509.9599198397, 32.229485, -161.162201
253511.94388777556, 32.297379, -163.614655
254513.92785571143, 32.512394, -162.602005
255515.9118236473, 32.462685, -162.050446
256517.89579158317, 32.315308, -161.166702
257519.87975951904, 32.316444, -162.013687
258521.8637274549, 32.380203, -161.822418
259523.84769539078, 32.459202, -165.669601
260525.83166332665, 32.421059, -161.732559
261527.81563126252, 32.337097, -159.508362
262529.7995991984, 32.443905, -160.564697
263531.7835671343, 32.430149, -160.682526
264533.76753507013, 32.588295, -162.139847
265535.75150300603, 32.408638, -161.768112
266537.7354709419, 32.514835, -163.980743
267539.7194388778, 32.13855, -161.894653
268541.7034068136, 32.371002, -163.792099
269543.6873747495, 32.339775, -161.354721
270545.67134268535, 32.385445, -162.845139
271547.65531062125, 32.409126, -162.786438
272549.6392785571, 32.292179, -160.209473
273551.623246493, 32.367569, -162.422638
274553.60721442883, 32.260136, -163.03421
275555.59118236473, 32.395897, -166.172852
276557.57515030063, 32.329582, -161.620697
277559.5591182365, 32.499458, -162.852432
278561.5430861724, 32.255573, -163.66507
279563.5270541082, 32.352566, -163.329575
280565.5110220441, 32.42215, -162.690582
281567.49498997995, 32.381996, -163.074265
282569.47895791585, 32.405468, -163.273209
283571.4629258517, 32.395622, -163.677765
284573.4468937876, 32.329502, -161.862808
285575.43086172343, 32.362022, -162.875458
286577.41482965933, 32.399406, -162.828461
287579.3987975952, 32.557678, -161.4039
288581.3827655311, 32.240574, -164.085785
289583.3667334669, 32.352837, -160.22464
290585.3507014028, 32.343987, -163.234726
291587.33466933866, 32.334778, -164.85051
292589.31863727455, 32.387726, -166.619934
293591.30260521045, 32.510674, -163.827972
294593.2865731463, 32.42585, -162.681747
295595.2705410822, 32.520233, -165.66954
296597.25450901804, 32.488007, -163.953033
297599.23847695393, 32.398815, -163.289764
298601.2224448898, 32.495476, -163.823486
299603.2064128257, 32.537392, -162.657639
300605.1903807615, 32.425186, -163.827225
301607.1743486974, 32.425938, -163.595932
302609.15831663326, 32.517548, -163.331757
303611.14228456916, 32.444389, -163.586044
304613.126252505, 32.467529, -163.554886
305615.1102204409, 32.343525, -164.188828
306617.09418837674, 32.4594, -163.088272
307619.07815631264, 32.318546, -162.74942
308621.0621242485, 32.493237, -163.040985
309623.0460921844, 32.536079, -164.730774
310625.0300601202, 32.4538, -164.034683
311627.0140280561, 32.577568, -162.619949
312628.997995992, 32.679581, -165.091019
313630.98196392786, 32.534943, -163.531998
314632.96593186376, 32.515873, -164.02095
315634.9498997996, 32.581078, -163.228439
316636.9338677355, 32.5439, -163.862656
317638.91783567134, 32.618679, -163.010483
318640.90180360724, 32.539955, -159.973358
319642.8857715431, 32.389992, -166.324173
