time	V(out)
0.000000000000000e+00	9.999999e-08
8.052684228076026e-10	9.999999e-08
8.345067403420189e-10	9.999999e-08
8.637450578764352e-10	9.999999e-08
8.929833754108515e-10	9.999999e-08
9.222216929452677e-10	9.999999e-08
9.514600104796839e-10	9.999999e-08
9.806983280141002e-10	9.999999e-08
1.009936645548516e-09	9.999999e-08
1.029714666793689e-09	9.999999e-08
1.049492688038862e-09	9.999999e-08
1.069270709284035e-09	9.999999e-08
1.089048730529208e-09	9.999999e-08
1.108826751774381e-09	9.999999e-08
1.128604773019554e-09	9.999999e-08
1.148382794264726e-09	9.999999e-08
1.177821178492717e-09	9.999999e-08
1.207259562720707e-09	9.999999e-08
1.236697946948697e-09	9.999999e-08
1.266136331176687e-09	9.999999e-08
1.295574715404677e-09	9.999999e-08
1.325013099632667e-09	9.999999e-08
1.354451483860657e-09	9.999999e-08
1.383032442104517e-09	9.999999e-08
1.411613400348378e-09	9.999999e-08
1.440194358592238e-09	9.999999e-08
1.468775316836098e-09	9.999999e-08
1.497356275079958e-09	9.999999e-08
1.525937233323818e-09	9.999999e-08
1.554518191567678e-09	9.999999e-08
1.578582991660444e-09	9.999999e-08
1.602647791753209e-09	9.999999e-08
1.626712591845974e-09	9.999999e-08
1.650777391938739e-09	9.999999e-08
1.674842192031504e-09	9.999999e-08
1.698906992124269e-09	9.999999e-08
1.722971792217035e-09	9.999999e-08
1.756181321134408e-09	9.999999e-08
1.789390850051782e-09	9.999999e-08
1.822600378969156e-09	9.999999e-08
1.855809907886529e-09	9.999999e-08
1.889019436803903e-09	9.999999e-08
1.922228965721277e-09	9.999999e-08
1.955438494638650e-09	9.999999e-08
2.020776462274466e-09	9.999999e-08
2.086114429910283e-09	9.999999e-08
2.151452397546099e-09	9.999999e-08
2.216790365181915e-09	9.999999e-08
2.282128332817731e-09	9.999999e-08
2.347466300453548e-09	9.999999e-08
2.412804268089364e-09	9.999999e-08
2.450016672224120e-09	9.999999e-08
2.487229076358877e-09	9.999999e-08
2.524441480493634e-09	9.999999e-08
2.561653884628390e-09	9.999999e-08
2.598866288763147e-09	9.999999e-08
2.636078692897904e-09	9.999999e-08
2.673291097032660e-09	9.999999e-08
2.734111402525674e-09	9.999999e-08
2.794931708018687e-09	9.999999e-08
2.855752013511701e-09	9.999999e-08
2.916572319004714e-09	9.999999e-08
2.977392624497728e-09	9.999999e-08
3.038212929990741e-09	9.999999e-08
3.099033235483755e-09	9.999999e-08
3.131642701244788e-09	9.999999e-08
3.164252167005822e-09	9.999999e-08
3.196861632766855e-09	9.999999e-08
3.229471098527889e-09	9.999999e-08
3.262080564288922e-09	9.999999e-08
3.294690030049955e-09	9.999999e-08
3.327299495810989e-09	9.999999e-08
3.381433198095695e-09	9.999999e-08
3.435566900380402e-09	9.999999e-08
3.489700602665108e-09	9.999999e-08
3.543834304949815e-09	9.999999e-08
3.597968007234522e-09	9.999999e-08
3.652101709519228e-09	9.999999e-08
3.706235411803935e-09	9.999999e-08
3.757252417473127e-09	9.999999e-08
3.808269423142320e-09	9.999999e-08
3.859286428811513e-09	9.999999e-08
3.910303434480705e-09	9.999999e-08
3.961320440149897e-09	9.999999e-08
4.012337445819090e-09	9.999999e-08
4.063354451488283e-09	9.999999e-08
4.126404095745712e-09	9.999999e-08
4.189453740003141e-09	9.999999e-08
4.252503384260571e-09	9.999999e-08
4.315553028518001e-09	9.999999e-08
4.378602672775430e-09	9.999999e-08
4.441652317032859e-09	9.999999e-08
4.504701961290289e-09	9.999999e-08
4.607222643280417e-09	9.999999e-08
4.709743325270546e-09	9.999999e-08
4.812264007260675e-09	9.999999e-08
4.914784689250803e-09	9.999999e-08
5.017305371240931e-09	9.999999e-08
5.119826053231060e-09	9.999999e-08
5.222346735221188e-09	9.999999e-08
5.463396261237730e-09	9.999999e-08
5.706902300766923e-09	9.999999e-08
5.911570523507838e-09	9.999999e-08
5.995941504310963e-09	9.999999e-08
6.080312485114088e-09	9.999999e-08
6.164683465917212e-09	9.999999e-08
6.249054446720337e-09	9.999999e-08
6.333425427523462e-09	9.999999e-08
6.417796408326587e-09	9.999999e-08
6.502167389129711e-09	9.999999e-08
6.505368586811208e-09	9.999999e-08
6.511770982174204e-09	1.666501e-01
6.524575772900193e-09	6.666000e-01
6.550185354352173e-09	9.999000e-01
6.586197078369599e-09	9.999000e-01
6.622208802387026e-09	9.999000e-01
6.658220526404452e-09	9.999000e-01
6.694232250421879e-09	9.999000e-01
6.730243974439306e-09	9.999000e-01
6.766255698456732e-09	9.999000e-01
6.802267422474158e-09	9.999000e-01
6.906226877961700e-09	9.999000e-01
7.010186333449243e-09	9.999000e-01
7.114145788936785e-09	9.999000e-01
7.218105244424326e-09	9.999000e-01
7.322064699911869e-09	9.999000e-01
7.426024155399411e-09	9.999000e-01
7.529983610886953e-09	9.999000e-01
7.570300819049196e-09	9.999000e-01
7.610618027211438e-09	9.999000e-01
7.650935235373682e-09	9.999000e-01
7.691252443535924e-09	9.999000e-01
7.731569651698167e-09	9.999000e-01
7.771886859860409e-09	9.999000e-01
7.812204068022653e-09	9.999000e-01
7.846272567037253e-09	9.999000e-01
7.880341066051854e-09	9.999000e-01
7.914409565066454e-09	9.999000e-01
7.948478064081056e-09	9.999000e-01
7.982546563095657e-09	9.999000e-01
8.016615062110257e-09	9.999000e-01
8.050683561124858e-09	9.999000e-01
8.089896689486561e-09	9.999000e-01
8.129109817848263e-09	9.999000e-01
8.168322946209966e-09	9.999000e-01
8.207536074571668e-09	9.999000e-01
8.246749202933372e-09	9.999000e-01
8.285962331295073e-09	9.999000e-01
8.325175459656777e-09	9.999000e-01
8.343410051972754e-09	9.999000e-01
8.361644644288734e-09	9.999000e-01
8.379879236604712e-09	9.999000e-01
8.398113828920689e-09	9.999000e-01
8.416348421236667e-09	9.999000e-01
8.434583013552646e-09	9.999000e-01
8.452817605868624e-09	9.999000e-01
8.481115881188046e-09	9.999000e-01
8.520649376375432e-09	9.999000e-01
8.560182871562820e-09	9.999000e-01
8.599716366750206e-09	9.999000e-01
8.639249861937594e-09	9.999000e-01
8.678783357124981e-09	9.999000e-01
8.718316852312368e-09	9.999000e-01
8.757850347499755e-09	9.999000e-01
8.814879205111729e-09	9.999000e-01
8.871908062723703e-09	9.999000e-01
8.928936920335678e-09	9.999000e-01
8.985965777947650e-09	9.999000e-01
9.042994635559625e-09	9.999000e-01
9.100023493171599e-09	9.999000e-01
9.157052350783573e-09	9.999000e-01
9.213356833760160e-09	9.999000e-01
9.269661316736745e-09	9.999000e-01
9.325965799713332e-09	9.999000e-01
9.382270282689918e-09	9.999000e-01
9.438574765666505e-09	9.999000e-01
9.494879248643090e-09	9.999000e-01
9.551183731619677e-09	9.999000e-01
9.574277204241502e-09	9.999000e-01
9.597370676863325e-09	9.999000e-01
9.620464149485151e-09	9.999000e-01
9.643557622106974e-09	9.999000e-01
9.666651094728799e-09	9.999000e-01
9.689744567350623e-09	9.999000e-01
9.712838039972448e-09	9.999000e-01
9.753251083694563e-09	9.999000e-01
9.781230499694551e-09	9.999000e-01
9.805704445211974e-09	9.999000e-01
9.830178390729398e-09	9.999000e-01
9.854652336246821e-09	9.999000e-01
9.879126281764245e-09	9.999000e-01
9.903600227281668e-09	9.999000e-01
9.928074172799092e-09	9.999000e-01
9.952548118316515e-09	9.999000e-01
9.954857081139559e-09	9.999000e-01
9.979014473820342e-09	9.999000e-01
1.000317186650112e-08	9.999000e-01
1.002732925918191e-08	9.999000e-01
1.005148665186269e-08	9.999000e-01
1.007564404454347e-08	9.999000e-01
1.009980143722426e-08	9.999000e-01
1.012395882990504e-08	9.999000e-01
1.015441768836820e-08	9.999000e-01
1.018487654683136e-08	9.999000e-01
1.021533540529452e-08	9.999000e-01
1.024579426375768e-08	9.999000e-01
1.027625312222084e-08	9.999000e-01
1.030671198068400e-08	9.999000e-01
1.033717083914716e-08	9.999000e-01
1.039271433714162e-08	9.999000e-01
1.044825783513608e-08	9.999000e-01
1.050380133313054e-08	9.999000e-01
1.055934483112499e-08	9.999000e-01
1.061488832911945e-08	9.999000e-01
1.067043182711391e-08	9.999000e-01
1.072597532510837e-08	9.999000e-01
1.075158386128709e-08	9.999000e-01
1.075358452817606e-08	9.999000e-01
1.076558852950985e-08	9.999000e-01
1.079302624684453e-08	9.999000e-01
1.082046396417922e-08	9.999000e-01
1.084790168151390e-08	9.999000e-01
1.087533939884859e-08	9.999000e-01
1.090277711618327e-08	9.999000e-01
1.093021483351795e-08	9.999000e-01
1.095765255085264e-08	9.999000e-01
1.098537607764526e-08	9.999000e-01
1.101309960443788e-08	9.999000e-01
1.104082313123050e-08	9.999000e-01
1.106854665802313e-08	9.999000e-01
1.109627018481575e-08	9.999000e-01
1.112399371160837e-08	9.999000e-01
1.115171723840099e-08	9.999000e-01
1.115371790596866e-08	9.999000e-01
1.116572191137464e-08	9.999000e-01
