time	V(out_fs)
4.315553028518001e-09	2.905889e-02
4.378602672775430e-09	3.043279e-02
4.441652317032859e-09	3.183506e-02
4.504701961290289e-09	3.326571e-02
4.607222643280417e-09	3.565070e-02
4.709743325270546e-09	3.810566e-02
4.812264007260675e-09	4.063058e-02
4.914784689250803e-09	4.322548e-02
5.017305371240931e-09	4.589034e-02
5.119826053231060e-09	4.862517e-02
5.222346735221188e-09	5.142997e-02
5.463396261237730e-09	5.826155e-02
5.706902300766923e-09	6.548460e-02
5.911570523507838e-09	7.179537e-02
5.995941504310963e-09	7.445862e-02
6.080312485114088e-09	7.715848e-02
6.164683465917212e-09	7.989495e-02
6.249054446720337e-09	8.266804e-02
6.333425427523462e-09	8.547773e-02
6.417796408326587e-09	8.832404e-02
6.502167389129711e-09	9.120697e-02
6.552184061353785e-09	9.293274e-02
6.564176303363455e-09	9.334856e-02
6.591293159140012e-09	9.429097e-02
6.618410014916569e-09	9.523711e-02
6.645526870693125e-09	9.618697e-02
6.672643726469682e-09	9.714056e-02
6.699760582246238e-09	9.809788e-02
6.726877438022796e-09	9.905892e-02
6.753994293799352e-09	1.000237e-01
6.853778560597606e-09	1.036072e-01
6.953562827395860e-09	1.072477e-01
7.053347094194114e-09	1.109454e-01
7.153131360992368e-09	1.147001e-01
7.252915627790622e-09	1.185120e-01
7.352699894588876e-09	1.223809e-01
7.452484161387130e-09	1.263070e-01
7.503872719477919e-09	1.283507e-01
7.555261277568707e-09	1.304076e-01
7.606649835659497e-09	1.324777e-01
7.658038393750285e-09	1.345610e-01
7.709426951841075e-09	1.366575e-01
7.760815509931863e-09	1.387672e-01
7.812204068022653e-09	1.408902e-01
7.846272567037253e-09	1.423036e-01
7.880341066051854e-09	1.437223e-01
7.914409565066454e-09	1.451463e-01
7.948478064081056e-09	1.465757e-01
7.982546563095657e-09	1.480103e-01
8.016615062110257e-09	1.494503e-01
8.050683561124858e-09	1.508955e-01
8.089896689486561e-09	1.525657e-01
8.129109817848263e-09	1.542439e-01
8.168322946209966e-09	1.559304e-01
8.207536074571668e-09	1.576250e-01
8.246749202933372e-09	1.593277e-01
8.285962331295073e-09	1.610385e-01
8.325175459656777e-09	1.627575e-01
8.343410051972754e-09	1.635599e-01
8.361644644288734e-09	1.643643e-01
8.379879236604712e-09	1.651706e-01
8.398113828920689e-09	1.659788e-01
8.416348421236667e-09	1.667890e-01
8.434583013552646e-09	1.676012e-01
8.452817605868624e-09	1.684153e-01
8.481115881188046e-09	1.696833e-01
8.520649376375432e-09	1.714615e-01
8.560182871562820e-09	1.732493e-01
8.599716366750206e-09	1.750467e-01
8.639249861937594e-09	1.768537e-01
8.678783357124981e-09	1.786702e-01
8.718316852312368e-09	1.804964e-01
8.757850347499755e-09	1.823321e-01
8.814879205111729e-09	1.849983e-01
8.871908062723703e-09	1.876851e-01
8.928936920335678e-09	1.903924e-01
8.985965777947650e-09	1.931202e-01
9.042994635559625e-09	1.958685e-01
9.100023493171599e-09	1.986373e-01
9.157052350783573e-09	2.014266e-01
9.213356833760160e-09	2.042007e-01
9.269661316736745e-09	2.069923e-01
9.325965799713332e-09	2.098014e-01
9.382270282689918e-09	2.126281e-01
9.438574765666505e-09	2.154723e-01
9.494879248643090e-09	2.183340e-01
9.551183731619677e-09	2.212133e-01
9.574277204241502e-09	2.223984e-01
9.597370676863325e-09	2.235860e-01
9.620464149485151e-09	2.247760e-01
9.643557622106974e-09	2.259686e-01
9.666651094728799e-09	2.271637e-01
9.689744567350623e-09	2.283613e-01
9.712838039972448e-09	2.295614e-01
9.753251083694563e-09	2.316672e-01
9.781230499694551e-09	2.331300e-01
9.805704445211974e-09	2.344120e-01
9.830178390729398e-09	2.356967e-01
9.854652336246821e-09	2.369841e-01
9.879126281764245e-09	2.382742e-01
9.903600227281668e-09	2.395670e-01
9.928074172799092e-09	2.408624e-01
9.952548118316515e-09	2.421606e-01
9.954857081139559e-09	2.422832e-01
9.979014473820342e-09	2.435674e-01
1.000317186650112e-08	2.448541e-01
1.002732925918191e-08	2.461433e-01
1.005148665186269e-08	2.474349e-01
1.007564404454347e-08	2.487290e-01
1.009980143722426e-08	2.500256e-01
1.012395882990504e-08	2.513247e-01
1.015441768836820e-08	2.529658e-01
1.018487654683136e-08	2.546105e-01
1.021533540529452e-08	2.562589e-01
1.024579426375768e-08	2.579109e-01
1.027625312222084e-08	2.595665e-01
1.030671198068400e-08	2.612257e-01
1.033717083914716e-08	2.628886e-01
1.039271433714162e-08	2.659300e-01
1.044825783513608e-08	2.689831e-01
1.050380133313054e-08	2.720478e-01
1.055934483112499e-08	2.751242e-01
1.061488832911945e-08	2.782123e-01
1.067043182711391e-08	2.813120e-01
1.072597532510837e-08	2.844234e-01
1.075158386128709e-08	2.858612e-01
1.075358452817606e-08	2.859735e-01
1.076558852950985e-08	2.866486e-01
1.079302624684453e-08	2.881933e-01
1.082046396417922e-08	2.897404e-01
1.084790168151390e-08	2.912900e-01
1.087533939884859e-08	2.928420e-01
1.090277711618327e-08	2.943965e-01
1.093021483351795e-08	2.959534e-01
1.095765255085264e-08	2.975128e-01
1.098537607764526e-08	2.990909e-01
1.101309960443788e-08	3.006711e-01
1.104082313123050e-08	3.022534e-01
1.106854665802313e-08	3.038379e-01
1.109627018481575e-08	3.054245e-01
1.112399371160837e-08	3.070133e-01
1.115171723840099e-08	3.086042e-01
1.115371790596866e-08	3.087190e-01
1.116572191137464e-08	3.094086e-01
1.119315973982195e-08	3.109859e-01
1.122059756826927e-08	3.125651e-01
1.124803539671659e-08	3.141460e-01
1.127547322516390e-08	3.157287e-01
1.130291105361122e-08	3.173132e-01
1.133034888205854e-08	3.188995e-01
1.135778671050586e-08	3.204875e-01
1.137150545747832e-08	3.212823e-01
1.138522420445078e-08	3.220774e-01
1.139894295142325e-08	3.228730e-01
1.141266169839571e-08	3.236690e-01
1.142638044536817e-08	3.244654e-01
1.144009919234064e-08	3.252623e-01
1.145381793931310e-08	3.260596e-01
1.148169592277887e-08	3.276815e-01
1.155385128376125e-08	3.318869e-01
1.158501309171994e-08	3.337070e-01
1.161070528408326e-08	3.352091e-01
1.163639747644657e-08	3.367127e-01
1.166208966880989e-08	3.382179e-01
1.168778186117321e-08	3.397245e-01
1.171347405353653e-08	3.412326e-01
1.173916624589985e-08	3.427423e-01
1.176485843826316e-08	3.442535e-01
1.181331218682929e-08	3.471077e-01
1.186176593539542e-08	3.499677e-01
1.191021968396155e-08	3.528335e-01
1.195867343252768e-08	3.557051e-01
1.200712718109381e-08	3.585825e-01
1.205558092965994e-08	3.614656e-01
1.210403467822607e-08	3.643546e-01
1.210709385413617e-08	3.645371e-01
1.213595230845169e-08	3.662608e-01
1.216481076276720e-08	3.679863e-01
1.219366921708272e-08	3.697137e-01
1.222252767139823e-08	3.714430e-01
1.225138612571375e-08	3.731742e-01
1.228024458002927e-08	3.749073e-01
1.230910303434478e-08	3.766422e-01
1.245815271757253e-08	3.856296e-01
1.247187157623971e-08	3.864590e-01
1.248559043490688e-08	3.872888e-01
1.249930929357405e-08	3.881188e-01
1.251302815224123e-08	3.889491e-01
1.252674701090840e-08	3.897798e-01
1.254046586957557e-08	3.906108e-01
1.255418472824275e-08	3.914421e-01
1.256618872957598e-08	3.921698e-01
1.260705949584325e-08	3.946489e-01
1.264793026211051e-08	3.971309e-01
1.268880102837777e-08	3.996155e-01
1.272967179464504e-08	4.021029e-01
1.277054256091230e-08	4.045930e-01
1.281141332717957e-08	4.070858e-01
1.285228409344683e-08	4.095814e-01
1.285428476158720e-08	4.097036e-01
1.286628877042938e-08	4.104373e-01
1.289315486757997e-08	4.120799e-01
1.292002096473055e-08	4.137236e-01
1.294688706188114e-08	4.153685e-01
1.297375315903173e-08	4.170145e-01
1.300061925618232e-08	4.186616e-01
1.302748535333291e-08	4.203099e-01
1.305435145048349e-08	4.219593e-01
1.308237087822384e-08	4.236806e-01
1.315438479493164e-08	4.281094e-01
1.318215194030034e-08	4.298190e-01
1.325649702347279e-08	4.344031e-01
1.333084210664524e-08	4.389911e-01
1.340518718981769e-08	4.435832e-01
1.347953227299015e-08	4.481792e-01
1.355387735616260e-08	4.527793e-01
1.362822243933505e-08	4.573834e-01
1.370256752250750e-08	4.619915e-01
1.370856952317439e-08	4.623634e-01
1.372228838184157e-08	4.632134e-01
1.373600724050874e-08	4.640634e-01
