time	V(out_preamp)
7.992492735674020e-09	-1.814233e-02
8.012556566474689e-09	-1.820389e-02
8.032620397275358e-09	-1.826588e-02
8.052684228076027e-09	-1.832831e-02
8.056685561978365e-09	-1.834081e-02
8.070118611285478e-09	-1.838284e-02
8.083551660592592e-09	-1.842513e-02
8.096984709899706e-09	-1.846769e-02
8.110417759206817e-09	-1.851050e-02
8.123850808513931e-09	-1.855357e-02
8.137283857821045e-09	-1.859691e-02
8.150716907128158e-09	-1.864050e-02
8.152717572524175e-09	-1.864701e-02
8.156718903316208e-09	-1.866010e-02
8.180784125650574e-09	-1.873934e-02
8.204849347984942e-09	-1.881922e-02
8.228914570319308e-09	-1.889973e-02
8.252979792653676e-09	-1.898088e-02
8.277045014988043e-09	-1.906265e-02
8.301110237322410e-09	-1.914507e-02
8.325175459656777e-09	-1.922811e-02
8.350784454468635e-09	-1.931673e-02
8.352784261420473e-09	-1.932366e-02
8.356783875324149e-09	-1.933757e-02
8.370214221776223e-09	-1.938432e-02
8.383644568228297e-09	-1.943116e-02
8.397074914680371e-09	-1.947808e-02
8.410505261132443e-09	-1.952509e-02
8.423935607584517e-09	-1.957218e-02
8.437365954036591e-09	-1.961935e-02
8.450796300488666e-09	-1.966660e-02
8.452817605868624e-09	-1.967372e-02
8.464945438148376e-09	-1.971645e-02
8.477288319443138e-09	-1.975992e-02
8.489631200737898e-09	-1.980348e-02
8.501974082032660e-09	-1.984712e-02
8.514316963327420e-09	-1.989084e-02
8.526659844622182e-09	-1.993465e-02
8.539002725916942e-09	-1.997854e-02
8.551345607211704e-09	-2.002251e-02
8.552850950316771e-09	-2.002788e-02
8.555861636526904e-09	-2.003865e-02
8.561883008947171e-09	-2.006022e-02
8.588634737265667e-09	-2.015665e-02
8.615386465584163e-09	-2.025364e-02
8.642138193902660e-09	-2.035117e-02
8.668889922221158e-09	-2.044927e-02
8.695641650539654e-09	-2.054791e-02
8.722393378858150e-09	-2.064711e-02
8.749145107176647e-09	-2.074686e-02
8.788611301792815e-09	-2.089470e-02
8.828077496408985e-09	-2.104260e-02
8.867543691025154e-09	-2.119058e-02
8.907009885641322e-09	-2.133863e-02
8.946476080257491e-09	-2.148675e-02
8.985942274873661e-09	-2.163494e-02
9.025408469489830e-09	-2.178320e-02
9.051017005668556e-09	-2.187899e-02
9.053017672557520e-09	-2.188647e-02
9.065021673891300e-09	-2.193127e-02
9.078168913447339e-09	-2.198031e-02
9.091316153003378e-09	-2.202929e-02
9.104463392559417e-09	-2.207819e-02
9.117610632115457e-09	-2.212703e-02
9.130757871671496e-09	-2.217580e-02
9.143905111227534e-09	-2.222451e-02
9.157052350783573e-09	-2.227315e-02
9.166827037583920e-09	-2.230925e-02
9.176601724384267e-09	-2.234531e-02
9.186376411184615e-09	-2.238131e-02
9.196151097984962e-09	-2.241727e-02
9.205925784785309e-09	-2.245317e-02
9.215700471585656e-09	-2.248902e-02
9.225475158386003e-09	-2.252482e-02
9.251083694564588e-09	-2.261844e-02
9.253084361453819e-09	-2.262574e-02
9.265088362789208e-09	-2.266944e-02
9.306302100700661e-09	-2.281892e-02
9.351117039019446e-09	-2.298024e-02
9.353117705901967e-09	-2.298742e-02
9.357119039667010e-09	-2.300174e-02
9.403134378126041e-09	-2.316582e-02
9.420625923174048e-09	-2.322780e-02
9.438117468222053e-09	-2.328956e-02
