Frequency [Hz], Amplitude [dB], Phase [deg]
200.00000000000003, -23.266453, -1.841331
205.70658496878707, -13.74231, 3.092262
211.57599549760403, -19.655079, -25.049271
217.61287747591794, -16.524189, 38.804138
223.8220093540108, -19.580105, 12.34285
230.20830592532735, -14.783195, 27.882027
236.7768222167441, -15.227333, -24.593857
243.5327574898403, -13.341492, -0.145363
250.4814593563342, -14.289143, 62.412315
257.6284280109477, -11.245079, -19.815414
264.97932058504523, -14.483379, 15.859215
272.53995562449535, -10.700111, -18.961678
280.3163176952985, -13.863865, 29.676727
288.3145621206271, -11.340012, -14.202553
296.541019853027, -8.044205, -3.976273
305.0022024856374, -10.668194, 24.65564
313.7048074063945, -7.601353, -23.242165
322.6557230993023, -7.904766, 20.094536
331.86203459696026, -7.829197, 10.412285
341.33102908867073, -4.948288, -10.081955
351.0702016885608, -4.14357, -20.980156
361.0872613682857, -5.748734, -29.907204
371.39013705900936, -5.162514, -17.067741
381.98698392749293, -3.527596, -29.437424
392.8861898312575, -3.458313, -18.857471
404.09638195793286, -2.194817, -22.596111
415.6264336540447, -0.799046, -13.686905
427.48547144864835, -0.426464, -26.117004
439.6828822773664, 0.171471, -29.284851
452.22832091255134, 1.943087, -19.871399
465.13171760544816, 2.152035, -38.355301
478.40328594641494, 4.146872, -26.818996
492.05353094941563, 4.256357, -54.628242
506.09325736718824, 5.445627, -48.762573
520.5335782436686, 5.932507, -47.325386
535.3859237104398, 5.817038, -53.10743
550.6620500341706, 6.275339, -49.687729
566.3740489222023, 6.765974, -40.943428
582.5343570936548, 8.305267, -45.924065
599.1557661236182, 9.368149, -54.935143
616.2514325682338, 10.015991, -60.214432
633.8348883786706, 10.714319, -58.081169
651.9200516122432, 10.922291, -61.343369
670.5212374491498, 11.784744, -57.753242
689.6531695235487, 12.934467, -56.083271
709.330991577946, 13.305202, -67.36158
729.5702794501135, 13.826124, -67.83197
750.3870534020324, 15.100849, -73.142586
771.7977908006146, 15.261433, -66.38356
793.8194391602437, 16.265886, -72.370651
