Frequency [Hz], Amplitude [dB], Phase [deg]
200.00000000000003, -17.604626, -122.131866
205.70658496878707, -11.12085, 35.842789
211.57599549760403, -11.938404, -162.986084
217.61287747591794, -9.046467, 34.649948
223.8220093540108, -8.569942, -12.426689
230.20830592532735, -13.05928, 19.524559
236.7768222167441, -4.435127, -35.130638
243.5327574898403, -1.647701, -41.447727
250.4814593563342, -2.127808, 3.152267
257.6284280109477, -3.697495, -255.709351
264.97932058504523, -4.65023, 12.748848
272.53995562449535, -5.556839, -19.692932
280.3163176952985, -11.022221, 14.873962
288.3145621206271, -9.525784, 22.402161
296.541019853027, -6.362286, 45.054848
305.0022024856374, -9.337639, -174.707916
313.7048074063945, -6.884708, -31.605572
322.6557230993023, -4.696217, 10.893394
331.86203459696026, -5.610786, 78.545288
341.33102908867073, -9.364738, -239.351532
351.0702016885608, -8.250282, 7.648468
361.0872613682857, -2.535065, 14.958572
371.39013705900936, -5.339153, 76.027939
381.98698392749293, -4.827919, 4.13192
392.8861898312575, -3.427963, -44.463703
404.09638195793286, -1.761864, -0.060371
415.6264336540447, -1.365868, 9.41613
427.48547144864835, 0.40918, 46.164948
439.6828822773664, 1.855785, 39.28878
452.22832091255134, 3.330462, 9.358673
465.13171760544816, -3.712521, 59.673798
478.40328594641494, 4.609915, -19.421894
492.05353094941563, 2.065113, -13.910431
506.09325736718824, 3.224466, 48.343094
520.5335782436686, 3.213076, -0.834885
535.3859237104398, 3.645193, 29.726227
550.6620500341706, 0.095497, -74.239777
566.3740489222023, 5.057081, 7.442352
582.5343570936548, 10.340027, -1.748444
599.1557661236182, 4.863281, 31.299126
616.2514325682338, 4.741879, -22.199356
633.8348883786706, 7.538195, 16.82766
651.9200516122432, 3.948036, -22.278423
670.5212374491498, 10.387331, 13.553841
689.6531695235487, 12.709534, -29.641232
709.330991577946, 10.320402, -7.808571
729.5702794501135, 12.447748, -17.738159
750.3870534020324, 13.615698, -23.988163
771.7977908006146, 15.189259, 9.649292
793.8194391602437, 14.565493, -30.907524
816.4694295574569, 16.25481, -7.391396
839.7656904283905, 15.608929, 62.04937
863.7266617598991, 14.833456, -22.568356
888.3713096855973, 14.995708, -9.021446
913.7191414983648, 17.82522, -35.97654
939.7902210912026, 17.547289, -49.550987
966.6051848386631, 19.022942, -42.239849
994.1852579314228, 20.826073, -37.886459
1022.5522711769274, 23.440897, -37.888607
1051.728678279414, 22.416225, -43.695133
1081.7375736129718, 21.882784, -33.148743
1112.6027105017315, 23.730284, -66.314758
1144.348520021636, 21.88941, -50.203133
1177.0001303386819, 25.369276, -61.61977
1210.5833865989373, 25.913332, -60.409111
1245.1248713860814, 25.459085, -53.272865
1280.651925762655, 24.993368, -54.427048
1317.1926709116817, 28.291618, -56.232918
1354.776030395787, 27.755331, -39.891792
1393.4317530514347, 28.489723, -63.262047
