Frequency [Hz], Amplitude [dB], Phase [deg]
200.00000000000003, -19.443577, 38.750336
205.70658496878707, -18.721447, 27.917847
211.57599549760403, -17.009472, -49.972919
217.61287747591794, -15.651577, 9.447296
223.8220093540108, -22.8563, -29.367775
230.20830592532735, -16.305565, 10.98764
236.7768222167441, -15.232441, 18.586609
243.5327574898403, -13.418198, -123.172127
250.4814593563342, -15.634621, -39.749668
257.6284280109477, -11.574535, -79.240128
264.97932058504523, -11.853767, 93.330276
272.53995562449535, -8.966537, -3.214302
280.3163176952985, -11.702667, 15.481888
288.3145621206271, -10.853798, -6.029968
296.541019853027, -10.009979, -2.499443
305.0022024856374, -10.303627, -19.095444
313.7048074063945, -9.223793, -19.538277
322.6557230993023, -6.495781, 8.176834
331.86203459696026, -8.330902, -3.948685
341.33102908867073, -5.134045, -27.383343
351.0702016885608, -5.108822, -4.574364
361.0872613682857, -4.295902, -9.407097
371.39013705900936, -3.963116, 2.082359
381.98698392749293, -3.409275, -28.174877
392.8861898312575, -1.785049, -32.255657
404.09638195793286, -1.069016, -15.563461
415.6264336540447, -1.237904, -26.283318
427.48547144864835, -0.090305, -33.846237
439.6828822773664, 1.848894, -26.206028
452.22832091255134, 1.784348, -33.107082
465.13171760544816, 2.34247, -39.755997
478.40328594641494, 3.062134, -47.614754
492.05353094941563, 4.365622, -47.752033
506.09325736718824, 5.51358, -41.795193
520.5335782436686, 6.107561, -40.785957
535.3859237104398, 6.152353, -57.062038
550.6620500341706, 6.563328, -48.512596
566.3740489222023, 7.558304, -54.363762
582.5343570936548, 8.32682, -44.635086
599.1557661236182, 9.207384, -58.587517
616.2514325682338, 9.334471, -61.960747
633.8348883786706, 11.002148, -61.896049
651.9200516122432, 11.595118, -59.70961
670.5212374491498, 11.870005, -66.712181
689.6531695235487, 13.089476, -67.899216
709.330991577946, 13.5107, -63.884529
729.5702794501135, 13.666462, -67.616837
750.3870534020324, 14.897518, -69.863007
771.7977908006146, 15.079073, -72.728691
793.8194391602437, 16.204462, -77.724113
816.4694295574569, 16.595158, -71.429779
839.7656904283905, 17.535439, -79.938553
863.7266617598991, 18.275087, -83.754944
888.3713096855973, 19.288898, -86.384773
913.7191414983648, 19.467224, -85.487274
939.7902210912026, 19.57243, -90.793617
966.6051848386631, 20.898893, -94.662537
994.1852579314228, 21.099873, -95.577438
1022.5522711769274, 21.79615, -90.753571
1051.728678279414, 22.411827, -93.570747
1081.7375736129718, 23.47678, -96.05278
1112.6027105017315, 23.944153, -100.47702
