Frequency [Hz], Amplitude [dB], Phase [deg]
200.00000000000003, -0.578667, -150.169922
205.70658496878707, 2.537079, -132.884827
211.57599549760403, 6.079758, -48.539879
217.61287747591794, -2.357483, 69.510239
223.8220093540108, 5.41457, -86.78936
230.20830592532735, 3.994101, -30.792015
236.7768222167441, 8.963135, -56.216457
243.5327574898403, 8.253611, -118.670837
250.4814593563342, 10.197113, -23.899635
257.6284280109477, 13.744446, -107.080307
264.97932058504523, 8.750696, -95.069756
272.53995562449535, 7.712717, -27.837811
280.3163176952985, 5.467621, 32.535309
288.3145621206271, 4.621296, -179.956085
296.541019853027, 8.184509, -52.492699
305.0022024856374, 3.626617, 22.542122
313.7048074063945, 7.388491, -135.68866
322.6557230993023, 2.774948, 17.668114
331.86203459696026, 0.068188, -15.430168
341.33102908867073, 6.970552, -225.304565
351.0702016885608, 5.354393, 68.783134
361.0872613682857, 9.689978, -44.310207
371.39013705900936, 7.396465, -220.565811
381.98698392749293, 6.404453, -42.668552
392.8861898312575, 7.531784, -74.761444
404.09638195793286, 7.422014, -16.551826
415.6264336540447, 4.980949, -260.297516
427.48547144864835, 8.605644, -52.677761
439.6828822773664, 15.874535, -95.055916
452.22832091255134, 10.934752, -22.484642
465.13171760544816, 8.744675, 3.514069
478.40328594641494, 16.363735, -182.742798
492.05353094941563, 16.210232, -83.187813
506.09325736718824, 12.061956, -173.55658
520.5335782436686, 11.966461, -58.096657
535.3859237104398, 13.480421, -35.698765
550.6620500341706, 12.892176, -196.676086
566.3740489222023, 14.111732, 70.03334
582.5343570936548, 15.746531, 78.962616
599.1557661236182, 17.2173, 28.65081
616.2514325682338, 14.353687, -125.382004
633.8348883786706, 16.187046, -83.322548
651.9200516122432, 14.838318, -157.219238
670.5212374491498, 18.154188, -39.330246
689.6531695235487, 11.889433, -65.014771
709.330991577946, 19.684677, -22.94746
729.5702794501135, 14.751858, 63.713676
750.3870534020324, 23.588608, 30.400497
771.7977908006146, 20.8297, -248.742676
793.8194391602437, 17.121946, -10.326454
816.4694295574569, 25.511162, -71.516502
839.7656904283905, 23.121271, -48.909603
863.7266617598991, 22.021023, -10.579895
888.3713096855973, 26.614288, -112.25843
913.7191414983648, 25.305954, -23.044449
939.7902210912026, 21.624334, -20.659805
966.6051848386631, 27.613718, -223.087097
994.1852579314228, 28.020542, -83.405266
1022.5522711769274, 32.598068, -54.240845
1051.728678279414, 25.032835, 87.01474
1081.7375736129718, 28.711853, 15.318367
1112.6027105017315, 27.862444, -47.445751
1144.348520021636, 25.373041, -30.852741
1177.0001303386819, 31.548611, 24.606377
1210.5833865989373, 30.711681, 29.039871
1245.1248713860814, 28.808516, 24.207108
1280.651925762655, 30.236794, -70.191925
1317.1926709116817, 35.963196, 24.090065
1354.776030395787, 28.403704, 26.678253
1393.4317530514347, 33.934631, -4.532806
1433.1904365364044, 35.770737, 24.044418
1474.0835515491426, 36.545208, -97.442558
1516.1434667391754, 29.741598, -74.382179
1559.4034743282677, 31.435524, -94.079185
1603.8978164626476, 37.022545, -17.89286
1649.6617123171281, 30.922232, -2.818161
1696.7313859725903, 34.732841, -15.390602
1745.144095088892, 36.284603, -72.500061
1794.938160395901, 41.517979, -68.64389
1846.1529960259866, 39.543041, -136.2453
1898.8291407120018, 40.194756, -87.594864
1953.0082898754113, 38.62545, -126.545044
2008.7333286300088, 30.810352, -82.640221
2066.0483657273167, 37.608582, -49.495842
2124.9987684705493, 36.993557, -167.534271
2185.6311986247747, 41.896378, -109.082596
2247.9936493516952, 46.982372, -65.490677
2312.135483198291, 42.94622, -62.049179
2378.107471169383, 41.741779, -115.237564
2445.9618329150603, 39.21785, -142.176208
2515.7522780647596, 35.79372, -136.446869
2587.53404874074, 41.314659, -107.756874
2661.3639632845834, 42.199081, -119.634003
2737.30046123134, 43.196342, -141.16478
2815.4036495669197, 42.269669, -94.563728
2895.7353503053537, 43.440285, -50.19302
2978.3591494235425, 42.425903, -103.351479
3063.3404471922913, 42.678917, -123.895325
3150.7465099434157, 44.687492, -124.165878
3240.6465233139193, 44.757072, -134.060898
3333.111647009395, 44.379185, -95.912857
3428.215071129959, 42.735039, -95.550926
3526.0320741033565, 46.375729, -164.376053
3626.6400822710525, 44.312347, -118.414688
3730.118731174495, 44.428383, -112.178253
