Frequency [Hz], Amplitude [dB], Phase [deg]
939.7902210912026, 20.029781, -90.049042
966.6051848386631, 20.492853, -88.934982
994.1852579314228, 20.915112, -94.904266
1022.5522711769274, 21.708004, -95.708244
1051.728678279414, 21.999731, -99.777344
1081.7375736129718, 23.192293, -96.685059
1112.6027105017315, 23.590492, -101.541298
1144.348520021636, 24.374519, -102.737762
1177.0001303386819, 24.378948, -104.747787
1210.5833865989373, 25.131029, -106.323776
1245.1248713860814, 26.098595, -108.515732
1280.651925762655, 26.334145, -110.137062
1317.1926709116817, 27.073147, -112.435654
1354.776030395787, 27.854267, -115.072556
1393.4317530514347, 28.42293, -117.058502
1433.1904365364044, 29.023546, -115.754128
1474.0835515491426, 29.136845, -123.543007
1516.1434667391754, 29.68257, -122.025177
1559.4034743282677, 29.905209, -123.649887
1603.8978164626476, 30.625696, -126.397018
1649.6617123171281, 31.266426, -125.760933
1696.7313859725903, 31.521236, -130.993927
1745.144095088892, 31.959045, -132.522278
1794.938160395901, 32.623615, -132.303604
1846.1529960259866, 33.108391, -135.515106
1898.8291407120018, 33.43055, -135.253632
1953.0082898754113, 33.723885, -135.907257
2008.7333286300088, 33.485813, -142.131866
2066.0483657273167, 34.504292, -141.761337
2124.9987684705493, 34.622986, -144.364807
2185.6311986247747, 35.097687, -148.7659
2247.9936493516952, 35.893848, -147.62114
2312.135483198291, 36.028194, -146.824921
2378.107471169383, 36.194805, -150.627365
2445.9618329150603, 36.283718, -154.858002
2515.7522780647596, 36.410938, -152.986328
2587.53404874074, 36.821728, -157.281174
2661.3639632845834, 37.310001, -157.860336
2737.30046123134, 37.509987, -162.044159
2815.4036495669197, 37.715576, -162.280685
2895.7353503053537, 37.896267, -164.090485
2978.3591494235425, 38.377419, -164.993988
3063.3404471922913, 38.599148, -169.040283
3150.7465099434157, 38.836391, -167.894226
3240.6465233139193, 39.048058, -172.465454
3333.111647009395, 39.127514, -173.581238
3428.215071129959, 39.261578, -174.596283
3526.0320741033565, 39.715561, -176.974503
3626.6400822710525, 39.81686, -174.45575
3730.118731174495, 39.987015, -177.410797
3836.5499285900523, 40.135941, -181.384918
3946.017919362517, 40.337303, -181.338272
4058.6093520885092, 40.463997, -183.527359
4174.413347702543, 40.796803, -184.040741
4293.52157002006, 40.892807, -185.712845
4416.028298293257, 41.057449, -186.752151
4542.030501837149, 41.148335, -186.253128
4671.62791678493, 41.220894, -189.169067
4804.923125033384, 41.472282, -191.935394
4942.021635440848, 41.575485, -193.62149
5083.031967341978, 41.686562, -193.053589
5228.065736445467, 41.680126, -196.938324
5377.237743182618, 41.823166, -194.853943
5530.66606357682, 42.00058, -198.169662
5688.47214270576, 42.108177, -198.069336
5850.780890830402, 42.191013, -200.49469
6017.720782266792, 42.19062, -201.57077
6189.423957078998, 42.540241, -202.201019
6366.026325673585, 42.243439, -203.06987
6547.667676378543, 42.514282, -204.68103
6734.491786091716, 42.56609, -205.191818
6926.646534086369, 42.594116, -205.486115
7124.28401906396, 42.489624, -205.514481
7327.56067954676, 42.515865, -208.681458
7536.637417705642, 42.489178, -209.126205
7751.679726721028, 42.642891, -210.086288
7972.857821777815, 42.849121, -207.846863
8200.346774797983, 42.956242, -211.772705
8434.326653017499, 42.809021, -213.683044
8674.982661517248, 42.966457, -212.090149
8922.50528982076, 42.871346, -213.713318
9177.090462674822, 43.026314, -213.785767
9438.939695132316, 42.97942, -212.431961
9708.260252059963, 42.826336, -213.373795
9985.265312197353, 43.084263, -216.819336
10270.174136897043, 42.867668, -213.83194
10563.212243679232, 43.099152, -213.980316
10864.611584738668, 43.12114, -217.545258
11174.610730544566, 43.048641, -217.43512
11493.455058679425, 42.944954, -217.885681
11821.396948065872, 42.844406, -215.746353
12158.695978735359, 42.938099, -217.527954
12505.619137296873, 42.661552, -217.114777
12862.441028268244, 42.691273, -216.748016
13229.44409143737, 42.615005, -220.244995
13606.918825425395, 42.274261, -217.765961
13995.164017628784, 42.728672, -220.498352
14394.486980722333, 42.495598, -218.583038
14805.203795910287, 42.526634, -217.5289
15227.639563118139, 42.278683, -215.754211
15662.128658323123, 42.40081, -216.981354
16109.014998227101, 41.981728, -220.233749
16568.65231248134, 42.35424, -218.355377
17041.40442367863, 42.124317, -215.617661
17527.645535334592, 41.979534, -213.9328
18027.760528085393, 42.014679, -218.691162
18542.145264337752, 42.026077, -214.024628
19071.206901610392, 42.085365, -213.380264
19615.36421481718, 41.95488, -213.531555
20175.047927744974, 41.895397, -214.633331
20750.701053990153, 42.033867, -213.244598
21342.77924762258, 41.896748, -211.851074
21951.751163855693, 42.102547, -210.239868
22578.098830006755, 42.019917, -209.749451
23222.31802704228, 41.992233, -209.262558
23884.91868200984, 42.108532, -209.998215
24566.42527166713, 42.285488, -208.826477
25267.37723762776, 42.250526, -208.92395
25988.329413352352, 42.420181, -207.534348
26729.852463322964, 42.233063, -207.921478
27492.533334748434, 42.355782, -208.568405
28276.975722158193, 42.194618, -206.221466
29083.800545252256, 42.18615, -208.297729
29913.646440386, 42.321312, -207.570999
30767.170266077523, 42.245834, -207.510651
31645.047622940132, 42.089111, -205.665161
32547.97338844817, 42.235741, -204.163269
33476.662266963234, 42.278374, -204.386398
34431.84935545222, 41.891113, -203.411774
35414.290725349114, 42.194725, -199.346039
36424.764021016694, 41.577347, -205.542419
37464.06907528652, 42.078827, -214.947128
38533.02854255959, 42.130047, -206.123764
39632.48854997365, 42.077728, -208.557175
40763.31936714817, 42.003063, -200.854523
41926.41609504034, 41.924744, -201.43013
43122.699374455675, 41.790817, -199.938782
44353.11611477463, 41.824623, -200.3573
45618.64024347183, 41.508781, -196.602951
46920.27347702133, 41.446136, -197.132401
48259.04611379807, 41.392738, -194.797913
49636.01784960307, 41.103275, -197.891663
51052.27861645802, 41.096428, -195.352295
52508.949445332946, 41.100628, -195.528687
54007.183353490735, 40.885742, -193.693069
55548.166257148405, 40.755398, -191.429123
57133.117910182154, 40.544617, -190.97049
58763.292869612946, 40.535027, -189.803802
60439.98148864389, 40.312897, -190.060516
62164.51093802808, 40.048309, -190.309174
63938.24625658295, 39.886707, -188.64386
65762.59143167491, 39.789848, -187.05513
67638.99051053745, 39.460361, -185.784668
69568.92874329412, 39.148689, -184.137878
71553.93375859963, 39.335472, -182.56192
73595.57677282166, 38.640499, -187.157471
75695.47383372665, 38.139305, -187.098618
77855.28709965042, 38.167358, -183.867432
80076.72615516775, 38.000801, -178.46344
82361.54936430154, 37.724411, -179.809753
84711.56526234321, 37.532402, -178.864059
87128.63398738575, 37.130402, -176.648712
89614.66875270258, 36.772942, -173.235107
92171.63736113759, 36.403511, -173.857208
94801.56376270518, 35.907021, -174.685028
97506.52965663417, 35.825592, -170.139328
100288.67613911966, 35.227432, -167.967896
103150.20539809513, 34.899166, -169.05452
106093.38245635523, 34.448112, -164.694885
109120.53696442151, 34.13044, -166.731415
112234.06504455698, 33.827324, -159.002197
115436.4311874029, 33.192604, -162.221405
118730.17020272493, 32.28437, -155.781799
122117.88922582715, 32.328648, -161.065094
125602.26978120743, 32.363503, -158.922226
129186.0699051023, 32.357796, -158.848099
132872.12632858794, 32.271389, -155.137802
136663.3567229754, 32.696617, -157.123978
140562.76200927197, 32.652885, -157.936783
144573.4287335385, 32.697338, -161.603287
148698.53151002256, 32.915085, -158.587357
152941.33553400156, 32.781075, -161.43425
157305.19916632428, 32.839905, -159.04599
161793.5765916973, 32.911003, -159.164261
166410.02055281965, 33.1436, -160.118286
171158.18516253098, 33.147381, -160.099701
176041.8287961978, 33.326202, -156.489853
181064.81706662825, 33.073143, -159.931061
186231.12588387163, 33.061474, -160.117813
191544.84460231717, 33.301296, -160.897034
197010.17925759876, 33.153236, -161.02977
202631.4558958456, 33.434372, -164.178299
208413.12399793934, 33.360207, -162.026794
214359.76000146187, 33.062569, -162.341782
220476.070923148, 32.488224, -163.547119
226766.89808468387, 33.306751, -164.531647
233237.22094482646, 33.498833, -155.920776
239892.1610408535, 33.828472, -161.804565
246736.98604248138, 33.930031, -159.577499
253777.1139214506, 33.844406, -159.102951
261018.11724008212, 33.672577, -156.583115
268465.7275621989, 33.916157, -162.627823
276125.83998990344, 34.077988, -161.029922
284004.51782980387, 34.087387, -162.703247
292107.9973923797, 33.779026, -159.740097
300442.6929282889, 34.13789, -161.950745
309015.20170552126, 34.002472, -163.266891
317832.30923141836, 34.063793, -163.893921
326900.9946236921, 33.850468, 191.052094
336228.43613469834, 33.973019, -162.988922
345822.0168333228, 34.044701, -165.915573
355689.3304490068, 34.222469, 192.96933
365838.18738249724, 34.137684, -163.742416
376276.6208881243, 34.230675, -163.786591
387012.8934324542, 34.280575, -163.556412
398055.50323439715, 34.250702, -163.768417
409413.1909918982, 34.363091, -165.875702
421094.9468005857, 34.327068, -163.512527
433110.01726980775, 34.693298, -163.974426
445467.9128417226, 34.19791, -164.702911
458178.41531922016, 34.400558, 187.853073
471251.58560863684, 34.659332, -162.794601
484697.77168339334, 34.824554, 194.565704
498527.6167748585, 34.507004, -160.891907
512752.06779692165, 34.81181, 194.847488
527382.3840109436, 34.622864, -163.023224
542430.1459379432, 34.818714, 195.917206
557907.2645250753, 34.8218, -162.495453
573825.9905736548, 34.882397, 194.147446
590198.9244361883, 34.953995, 195.526901
607039.0259900987, 35.153538, 195.504517
624359.6248960086, 35.095909, 191.789795
642174.4311487552, 35.117233, 196.867599
660497.5459294182, 34.924637, 194.527084
679343.4727670273, 35.078979, 196.661041
698727.1290187055, 35.32793, 194.455505
718663.8576774162, 35.242512, 195.504395
739169.4395165769, 35.340561, 197.644287
760260.1055812387, 35.351028, 194.729782
781952.5500356288, 35.366272, 196.563614
804263.943377319, 35.543179, 190.432556
827211.9460283909, 35.492367, 197.386597
850814.7223144245, 35.370125, 196.082779
875090.9548423355, 35.692902, 196.327469
900059.8592884594, 35.522896, 194.819717
925741.1996085799, 35.340393, 196.355057
952155.3036819459, 35.511147, 193.445465
979323.0794016571, 35.489929, 195.553925
1007266.0312241558, 35.5979, 195.462082
1036006.2771909236, 35.610382, 199.002991
