Frequency [Hz], Amplitude [dB], Phase [deg]
200.00000000000003, -21.285789, -130.089417
205.70658496878707, -6.142643, 30.617027
211.57599549760403, -9.419296, -16.947762
217.61287747591794, -12.915195, -70.952652
223.8220093540108, -8.906563, -41.843159
230.20830592532735, -11.50658, 2.57814
236.7768222167441, -3.556091, 26.609741
243.5327574898403, -4.348476, -252.51825
250.4814593563342, -1.750763, -61.243057
257.6284280109477, -2.373882, -15.084343
264.97932058504523, -7.887161, -70.050591
272.53995562449535, -6.032684, -88.713837
280.3163176952985, -8.279079, -260.2854
288.3145621206271, -9.052979, -69.188919
296.541019853027, -2.93898, 25.791115
305.0022024856374, -10.623188, 68.390678
313.7048074063945, -4.912918, 5.19577
322.6557230993023, -4.740448, 40.605827
331.86203459696026, -6.621876, -16.346031
341.33102908867073, -6.642204, 34.308121
351.0702016885608, -2.891647, -223.387268
361.0872613682857, -1.595238, 10.359047
371.39013705900936, -4.568783, -212.664429
381.98698392749293, -5.93232, -104.858765
392.8861898312575, -3.382484, 5.798431
404.09638195793286, -1.913422, -58.253441
415.6264336540447, -1.313084, 22.494904
427.48547144864835, 1.571939, 0.532829
439.6828822773664, -0.556034, 34.334343
452.22832091255134, -0.66185, -22.356556
465.13171760544816, 3.946356, 4.438744
478.40328594641494, 4.448965, 9.086937
492.05353094941563, 3.758465, 6.599297
506.09325736718824, 3.442123, -16.507095
520.5335782436686, 3.533709, -202.216934
535.3859237104398, 4.694483, -13.176117
550.6620500341706, -0.338306, 30.317017
566.3740489222023, 6.303211, -51.32618
582.5343570936548, 4.568493, -27.368931
599.1557661236182, 7.612244, 31.250839
616.2514325682338, 6.190819, 16.300934
633.8348883786706, 7.381882, -17.909569
651.9200516122432, 6.582106, -33.350353
670.5212374491498, 7.839849, -4.85701
689.6531695235487, 10.255383, -0.351799
709.330991577946, 9.995852, -9.120476
729.5702794501135, 11.473429, 5.111023
750.3870534020324, 13.097319, -6.895737
771.7977908006146, 7.824993, -46.446522
793.8194391602437, 13.594955, -30.884575
816.4694295574569, 15.662439, -27.84116
839.7656904283905, 15.631718, -49.342079
863.7266617598991, 16.875589, -12.664497
888.3713096855973, 16.188713, -49.479656
913.7191414983648, 17.926321, -75.324638
939.7902210912026, 18.501532, -56.649487
966.6051848386631, 19.302071, -29.539974
994.1852579314228, 20.048347, -30.396431
1022.5522711769274, 20.875122, -41.999023
1051.728678279414, 22.208193, -61.377525
1081.7375736129718, 21.988174, -30.869884
1112.6027105017315, 23.522436, -30.711525
1144.348520021636, 21.101025, -72.608475
1177.0001303386819, 24.610245, -43.017735
1210.5833865989373, 23.816305, -49.311718
1245.1248713860814, 25.310234, -82.374283
1280.651925762655, 25.08637, -59.40921
1317.1926709116817, 24.551287, -70.107674
1354.776030395787, 27.64427, -77.61586
1393.4317530514347, 28.876869, -54.391418
1433.1904365364044, 28.801556, -52.849155
1474.0835515491426, 29.531723, -99.565475
1516.1434667391754, 29.364395, -70.524956
1559.4034743282677, 31.551544, -75.513336
1603.8978164626476, 31.136597, -88.860336
1649.6617123171281, 31.319326, -84.657501
1696.7313859725903, 33.192894, -92.31308
1745.144095088892, 33.435917, -90.768776
1794.938160395901, 34.117016, -91.957687
1846.1529960259866, 34.632568, -89.294983
1898.8291407120018, 35.329399, -87.579048
1953.0082898754113, 35.18174, -104.878792
2008.7333286300088, 34.187416, -90.745926
2066.0483657273167, 36.058781, -93.74498
2124.9987684705493, 36.183247, -99.549896
2185.6311986247747, 35.701202, -94.918495
2247.9936493516952, 36.967148, -99.082176
2312.135483198291, 38.57933, -102.493118
2378.107471169383, 38.953632, -107.600739
2445.9618329150603, 37.537281, -124.986877
2515.7522780647596, 38.773048, -126.791275
2587.53404874074, 39.638844, -107.334908
2661.3639632845834, 39.24995, -130.586548
2737.30046123134, 39.85358, -122.536217
2815.4036495669197, 39.646973, -130.413284
2895.7353503053537, 40.723381, -123.522156
2978.3591494235425, 40.313255, -110.862274
3063.3404471922913, 41.841648, -134.024887
3150.7465099434157, 41.335884, -129.871384
3240.6465233139193, 42.455753, -126.445961
3333.111647009395, 42.22448, -148.260925
3428.215071129959, 43.19413, -135.714798
3526.0320741033565, 43.363007, -141.063904
3626.6400822710525, 43.495106, -142.625076
3730.118731174495, 43.63419, -136.725021
3836.5499285900523, 43.878407, -144.446518
3946.017919362517, 44.458412, -139.91803
4058.6093520885092, 44.362541, -152.642975
4174.413347702543, 44.500847, -149.591553
4293.52157002006, 45.695236, -141.774307
4416.028298293257, 45.265343, -141.297119
4542.030501837149, 45.521465, -149.054108
4671.62791678493, 45.847031, -148.065521
4804.923125033384, 46.213852, -158.155807
4942.021635440848, 46.868187, -161.599457
5083.031967341978, 46.832458, -159.158569
5228.065736445467, 46.91201, -159.222168
5377.237743182618, 46.620438, -165.921906
5530.66606357682, 47.020252, -161.631439
5688.47214270576, 47.73069, -151.349243
5850.780890830402, 48.294815, -168.495972
6017.720782266792, 48.146622, -166.912506
6189.423957078998, 48.265282, -170.100006
6366.026325673585, 47.805489, -163.558014
6547.667676378543, 48.352577, -176.298645
6734.491786091716, 49.352486, -169.668793
6926.646534086369, 49.076424, -163.476761
7124.28401906396, 49.593063, -173.557892
7327.56067954676, 49.800365, -177.431137
7536.637417705642, 49.632004, -178.371277
7751.679726721028, 49.909393, -173.621552
7972.857821777815, 50.314419, -181.336243
8200.346774797983, 50.823547, -175.715942
8434.326653017499, 50.207813, -182.852661
8674.982661517248, 50.405762, -178.943253
8922.50528982076, 50.32132, -184.155365
9177.090462674822, 51.082535, -175.987732
9438.939695132316, 50.902767, -188.21225
9708.260252059963, 50.793789, -176.639801
9985.265312197353, 51.325195, -185.390717
10270.174136897043, 50.77343, -190.458481
10563.212243679232, 51.487694, -186.59639
10864.611584738668, 51.407173, -197.560547
11174.610730544566, 51.073158, -186.865921
11493.455058679425, 51.580696, -201.21817
11821.396948065872, 52.121975, -199.797684
12158.695978735359, 51.71439, -204.287811
12505.619137296873, 51.762054, -190.844421
12862.441028268244, 51.868073, -195.347839
13229.44409143737, 51.752594, -204.449295
13606.918825425395, 51.025826, -199.183838
13995.164017628784, 51.591339, -194.339218
14394.486980722333, 52.013519, -199.246063
14805.203795910287, 51.354767, -203.431824
15227.639563118139, 51.338959, -197.468079
15662.128658323123, 51.087662, -196.681686
16109.014998227101, 50.364685, -201.905258
16568.65231248134, 50.941319, -207.843201
17041.40442367863, 50.268307, -197.052795
17527.645535334592, 50.514801, -197.083466
18027.760528085393, 50.201584, -190.480133
18542.145264337752, 49.91954, -183.981262
19071.206901610392, 50.407917, -189.903809
19615.36421481718, 49.981346, -198.939041
20175.047927744974, 50.413666, -194.877991
20750.701053990153, 50.31134, -197.530487
21342.77924762258, 50.540577, -190.573364
21951.751163855693, 51.127258, -192.411041
22578.098830006755, 50.909328, -192.744415
23222.31802704228, 51.436909, -186.003326
23884.91868200984, 51.562733, -191.27124
24566.42527166713, 51.798241, -184.421722
25267.37723762776, 51.232178, -186.583313
25988.329413352352, 51.988968, -179.82692
26729.852463322964, 51.997562, -187.407318
27492.533334748434, 52.523045, -182.082336
28276.975722158193, 52.33313, -187.533066
29083.800545252256, 52.349594, -182.475311
29913.646440386, 52.503723, -182.518295
30767.170266077523, 52.309845, -186.629898
31645.047622940132, 52.947105, -191.322754
32547.97338844817, 52.726746, -182.982971
33476.662266963234, 52.642933, -187.564209
34431.84935545222, 52.684341, -180.173035
35414.290725349114, 52.761913, -179.180481
36424.764021016694, 51.009628, -151.751404
37464.06907528652, 52.799469, -167.032562
38533.02854255959, 51.919754, -178.092575
39632.48854997365, 52.767738, -186.146881
40763.31936714817, 52.82634, -160.707245
41926.41609504034, 52.278576, -186.73674
43122.699374455675, 52.867874, -177.624481
44353.11611477463, 53.033012, -185.73761
45618.64024347183, 52.297401, -186.912216
46920.27347702133, 52.107445, -183.09697
48259.04611379807, 52.495354, -176.253235
49636.01784960307, 51.989746, -182.37381
51052.27861645802, 51.990501, -179.726288
52508.949445332946, 52.194378, -182.347473
54007.183353490735, 51.748756, -173.180878
55548.166257148405, 52.334583, -172.424026
57133.117910182154, 51.764816, -186.488953
58763.292869612946, 51.889786, -166.843872
60439.98148864389, 51.685944, -174.760559
62164.51093802808, 51.755802, -174.02533
63938.24625658295, 51.564201, -177.748779
65762.59143167491, 51.325249, -170.632828
67638.99051053745, 51.588402, -180.617371
69568.92874329412, 52.758926, -178.219666
71553.93375859963, 50.391895, -160.51799
73595.57677282166, 49.295082, -160.190216
75695.47383372665, 50.174026, -160.199387
77855.28709965042, 49.284698, -178.874664
80076.72615516775, 49.78376, -177.596939
82361.54936430154, 49.784042, -154.019989
84711.56526234321, 49.339481, -173.739151
87128.63398738575, 48.884705, -165.377853
89614.66875270258, 48.984703, -166.776749
