Freq.	V(out)
1.06414301822431e+05	(1.99993094331188e+01dB,1.79329356845906e+02°)
1.06659612123026e+05	(1.99993066868178e+01dB,1.79327810995461e+02°)
1.06905487922266e+05	(1.99993039278422e+01dB,1.79326261582445e+02°)
1.07151930523760e+05	(1.99993011561335e+01dB,1.79324708598652e+02°)
1.07398941234124e+05	(1.99992983716330e+01dB,1.79323152035858e+02°)
1.07646521362983e+05	(1.99992955742816e+01dB,1.79321591885818e+02°)
1.07894672222983e+05	(1.99992927640200e+01dB,1.79320028140270e+02°)
1.08143395129794e+05	(1.99992899407887e+01dB,1.79318460790934e+02°)
1.08392691402120e+05	(1.99992871045278e+01dB,1.79316889829507e+02°)
1.08642562361706e+05	(1.99992842551771e+01dB,1.79315315247671e+02°)
1.08893009333343e+05	(1.99992813926764e+01dB,1.79313737037087e+02°)
1.09144033644875e+05	(1.99992785169648e+01dB,1.79312155189397e+02°)
1.09395636627209e+05	(1.99992756279815e+01dB,1.79310569696223e+02°)
1.09647819614318e+05	(1.99992727256651e+01dB,1.79308980549170e+02°)
1.09900583943252e+05	(1.99992698099543e+01dB,1.79307387739822e+02°)
1.10153930954141e+05	(1.99992668807870e+01dB,1.79305791259743e+02°)
1.10407861990207e+05	(1.99992639381014e+01dB,1.79304191100479e+02°)
1.10662378397766e+05	(1.99992609818350e+01dB,1.79302587253556e+02°)
1.10917481526240e+05	(1.99992580119250e+01dB,1.79300979710481e+02°)
1.11173172728159e+05	(1.99992550283087e+01dB,1.79299368462741e+02°)
1.11429453359173e+05	(1.99992520309226e+01dB,1.79297753501803e+02°)
1.11686324778056e+05	(1.99992490197033e+01dB,1.79296134819116e+02°)
1.11943788346715e+05	(1.99992459945870e+01dB,1.79294512406107e+02°)
1.12201845430196e+05	(1.99992429555095e+01dB,1.79292886254185e+02°)
1.12460497396692e+05	(1.99992399024064e+01dB,1.79291256354740e+02°)
1.12719745617551e+05	(1.99992368352129e+01dB,1.79289622699139e+02°)
1.12979591467279e+05	(1.99992337538642e+01dB,1.79287985278731e+02°)
1.13240036323555e+05	(1.99992306582947e+01dB,1.79286344084848e+02°)
1.13501081567231e+05	(1.99992275484390e+01dB,1.79284699108796e+02°)
1.13762728582343e+05	(1.99992244242311e+01dB,1.79283050341867e+02°)
1.14024978756117e+05	(1.99992212856048e+01dB,1.79281397775329e+02°)
1.14287833478977e+05	(1.99992181324935e+01dB,1.79279741400432e+02°)
1.14551294144553e+05	(1.99992149648304e+01dB,1.79278081208404e+02°)
1.14815362149688e+05	(1.99992117825484e+01dB,1.79276417190454e+02°)
1.15080038894443e+05	(1.99992085855799e+01dB,1.79274749337773e+02°)
1.15345325782109e+05	(1.99992053738573e+01dB,1.79273077641527e+02°)
1.15611224219210e+05	(1.99992021473125e+01dB,1.79271402092865e+02°)
1.15877735615512e+05	(1.99991989058770e+01dB,1.79269722682915e+02°)
1.16144861384034e+05	(1.99991956494822e+01dB,1.79268039402785e+02°)
1.16412602941049e+05	(1.99991923780590e+01dB,1.79266352243561e+02°)
1.16680961706096e+05	(1.99991890915381e+01dB,1.79264661196310e+02°)
1.16949939101987e+05	(1.99991857898497e+01dB,1.79262966252078e+02°)
1.17219536554813e+05	(1.99991824729240e+01dB,1.79261267401891e+02°)
1.17489755493953e+05	(1.99991791406907e+01dB,1.79259564636753e+02°)
1.17760597352080e+05	(1.99991757930790e+01dB,1.79257857947649e+02°)
1.18032063565173e+05	(1.99991724300180e+01dB,1.79256147325542e+02°)
1.18304155572516e+05	(1.99991690514365e+01dB,1.79254432761374e+02°)
1.18576874816716e+05	(1.99991656572628e+01dB,1.79252714246068e+02°)
1.18850222743701e+05	(1.99991622474250e+01dB,1.79250991770523e+02°)
1.19124200802737e+05	(1.99991588218507e+01dB,1.79249265325622e+02°)
1.19398810446427e+05	(1.99991553804675e+01dB,1.79247534902222e+02°)
1.19674053130724e+05	(1.99991519232023e+01dB,1.79245800491161e+02°)
1.19949930314937e+05	(1.99991484499819e+01dB,1.79244062083257e+02°)
1.20226443461741e+05	(1.99991449607326e+01dB,1.79242319669306e+02°)
1.20503594037179e+05	(1.99991414553804e+01dB,1.79240573240082e+02°)
1.20781383510678e+05	(1.99991379338512e+01dB,1.79238822786339e+02°)
1.21059813355048e+05	(1.99991343960702e+01dB,1.79237068298810e+02°)
1.21338885046497e+05	(1.99991308419625e+01dB,1.79235309768204e+02°)
1.21618600064636e+05	(1.99991272714526e+01dB,1.79233547185213e+02°)
1.21898959892486e+05	(1.99991236844650e+01dB,1.79231780540504e+02°)
1.22179966016487e+05	(1.99991200809236e+01dB,1.79230009824725e+02°)
1.22461619926504e+05	(1.99991164607520e+01dB,1.79228235028500e+02°)
1.22743923115840e+05	(1.99991128238735e+01dB,1.79226456142433e+02°)
1.23026877081238e+05	(1.99991091702110e+01dB,1.79224673157107e+02°)
1.23310483322890e+05	(1.99991054996870e+01dB,1.79222886063082e+02°)
1.23594743344450e+05	(1.99991018122238e+01dB,1.79221094850898e+02°)
1.23879658653036e+05	(1.99990981077432e+01dB,1.79219299511071e+02°)
1.24165230759240e+05	(1.99990943861667e+01dB,1.79217500034096e+02°)
1.24451461177138e+05	(1.99990906474154e+01dB,1.79215696410448e+02°)
1.24738351424294e+05	(1.99990868914100e+01dB,1.79213888630578e+02°)
1.25025903021771e+05	(1.99990831180709e+01dB,1.79212076684916e+02°)
1.25314117494141e+05	(1.99990793273183e+01dB,1.79210260563868e+02°)
1.25602996369487e+05	(1.99990755190716e+01dB,1.79208440257823e+02°)
1.25892541179416e+05	(1.99990716932502e+01dB,1.79206615757141e+02°)
1.26182753459066e+05	(1.99990678497730e+01dB,1.79204787052166e+02°)
1.26473634747114e+05	(1.99990639885586e+01dB,1.79202954133217e+02°)
1.26765186585784e+05	(1.99990601095251e+01dB,1.79201116990590e+02°)
1.27057410520853e+05	(1.99990562125902e+01dB,1.79199275614561e+02°)
1.27350308101665e+05	(1.99990522976715e+01dB,1.79197429995381e+02°)
1.27643880881134e+05	(1.99990483646858e+01dB,1.79195580123281e+02°)
1.27938130415752e+05	(1.99990444135499e+01dB,1.79193725988468e+02°)
1.28233058265601e+05	(1.99990404441800e+01dB,1.79191867581128e+02°)
1.28528665994361e+05	(1.99990364564920e+01dB,1.79190004891423e+02°)
1.28824955169313e+05	(1.99990324504013e+01dB,1.79188137909493e+02°)
1.29121927361353e+05	(1.99990284258231e+01dB,1.79186266625455e+02°)
1.29419584144998e+05	(1.99990243826720e+01dB,1.79184391029404e+02°)
1.29717927098395e+05	(1.99990203208624e+01dB,1.79182511111412e+02°)
1.30016957803328e+05	(1.99990162403081e+01dB,1.79180626861528e+02°)
1.30316677845229e+05	(1.99990121409228e+01dB,1.79178738269777e+02°)
1.30617088813183e+05	(1.99990080226194e+01dB,1.79176845326164e+02°)
1.30918192299940e+05	(1.99990038853107e+01dB,1.79174948020669e+02°)
1.31219989901919e+05	(1.99989997289090e+01dB,1.79173046343248e+02°)
1.31522483219223e+05	(1.99989955533263e+01dB,1.79171140283837e+02°)
1.31825673855640e+05	(1.99989913584740e+01dB,1.79169229832346e+02°)
1.32129563418657e+05	(1.99989871442632e+01dB,1.79167314978663e+02°)
1.32434153519466e+05	(1.99989829106046e+01dB,1.79165395712654e+02°)
1.32739445772973e+05	(1.99989786574085e+01dB,1.79163472024159e+02°)
1.33045441797808e+05	(1.99989743845847e+01dB,1.79161543902996e+02°)
1.33352143216332e+05	(1.99989700920427e+01dB,1.79159611338961e+02°)
1.33659551654643e+05	(1.99989657796915e+01dB,1.79157674321825e+02°)
1.33967668742593e+05	(1.99989614474398e+01dB,1.79155732841335e+02°)
1.34276496113785e+05	(1.99989570951955e+01dB,1.79153786887216e+02°)
1.34586035405594e+05	(1.99989527228667e+01dB,1.79151836449169e+02°)
1.34896288259164e+05	(1.99989483303605e+01dB,1.79149881516871e+02°)
1.35207256319427e+05	(1.99989439175839e+01dB,1.79147922079974e+02°)
1.35518941235103e+05	(1.99989394844434e+01dB,1.79145958128109e+02°)
1.35831344658714e+05	(1.99989350308449e+01dB,1.79143989650881e+02°)
1.36144468246594e+05	(1.99989305566942e+01dB,1.79142016637873e+02°)
1.36458313658891e+05	(1.99989260618964e+01dB,1.79140039078642e+02°)
1.36772882559584e+05	(1.99989215463563e+01dB,1.79138056962722e+02°)
1.37088176616484e+05	(1.99989170099780e+01dB,1.79136070279624e+02°)
1.37404197501251e+05	(1.99989124526656e+01dB,1.79134079018833e+02°)
1.37720946889394e+05	(1.99989078743224e+01dB,1.79132083169811e+02°)
1.38038426460288e+05	(1.99989032748514e+01dB,1.79130082721995e+02°)
1.38356637897177e+05	(1.99988986541551e+01dB,1.79128077664799e+02°)
1.38675582887188e+05	(1.99988940121356e+01dB,1.79126067987613e+02°)
1.38995263121334e+05	(1.99988893486945e+01dB,1.79124053679799e+02°)
1.39315680294529e+05	(1.99988846637329e+01dB,1.79122034730700e+02°)
1.39636836105593e+05	(1.99988799571517e+01dB,1.79120011129631e+02°)
1.39958732257261e+05	(1.99988752288510e+01dB,1.79117982865882e+02°)
1.40281370456195e+05	(1.99988704787306e+01dB,1.79115949928721e+02°)
1.40604752412990e+05	(1.99988657066899e+01dB,1.79113912307389e+02°)
1.40928879842186e+05	(1.99988609126278e+01dB,1.79111869991105e+02°)
1.41253754462274e+05	(1.99988560964426e+01dB,1.79109822969060e+02°)
1.41579377995707e+05	(1.99988512580322e+01dB,1.79107771230423e+02°)
1.41905752168908e+05	(1.99988463972942e+01dB,1.79105714764336e+02°)
1.42232878712281e+05	(1.99988415141256e+01dB,1.79103653559917e+02°)
1.42560759360218e+05	(1.99988366084228e+01dB,1.79101587606259e+02°)
1.42889395851109e+05	(1.99988316800818e+01dB,1.79099516892431e+02°)
1.43218789927353e+05	(1.99988267289984e+01dB,1.79097441407476e+02°)
1.43548943335364e+05	(1.99988217550674e+01dB,1.79095361140410e+02°)
1.43879857825583e+05	(1.99988167581835e+01dB,1.79093276080227e+02°)
1.44211535152486e+05	(1.99988117382409e+01dB,1.79091186215894e+02°)
1.44543977074592e+05	(1.99988066951331e+01dB,1.79089091536353e+02°)
1.44877185354475e+05	(1.99988016287533e+01dB,1.79086992030521e+02°)
1.45211161758773e+05	(1.99987965389941e+01dB,1.79084887687288e+02°)
1.45545908058195e+05	(1.99987914257476e+01dB,1.79082778495521e+02°)
1.45881426027534e+05	(1.99987862889055e+01dB,1.79080664444059e+02°)
1.46217717445671e+05	(1.99987811283590e+01dB,1.79078545521718e+02°)
1.46554784095590e+05	(1.99987759439986e+01dB,1.79076421717285e+02°)
1.46892627764385e+05	(1.99987707357145e+01dB,1.79074293019525e+02°)
1.47231250243271e+05	(1.99987655033964e+01dB,1.79072159417174e+02°)
1.47570653327588e+05	(1.99987602469334e+01dB,1.79070020898944e+02°)
1.47910838816820e+05	(1.99987549662140e+01dB,1.79067877453521e+02°)
1.48251808514594e+05	(1.99987496611264e+01dB,1.79065729069564e+02°)
1.48593564228699e+05	(1.99987443315581e+01dB,1.79063575735707e+02°)
1.48936107771090e+05	(1.99987389773963e+01dB,1.79061417440557e+02°)
1.49279440957898e+05	(1.99987335985274e+01dB,1.79059254172697e+02°)
1.49623565609442e+05	(1.99987281948375e+01dB,1.79057085920680e+02°)
1.49968483550236e+05	(1.99987227662121e+01dB,1.79054912673037e+02°)
1.50314196609001e+05	(1.99987173125361e+01dB,1.79052734418270e+02°)
1.50660706618673e+05	(1.99987118336939e+01dB,1.79050551144855e+02°)
1.51008015416414e+05	(1.99987063295696e+01dB,1.79048362841242e+02°)
1.51356124843619e+05	(1.99987008000464e+01dB,1.79046169495854e+02°)
1.51705036745932e+05	(1.99986952450071e+01dB,1.79043971097088e+02°)
1.52054752973248e+05	(1.99986896643341e+01dB,1.79041767633315e+02°)
1.52405275379728e+05	(1.99986840579092e+01dB,1.79039559092878e+02°)
1.52756605823806e+05	(1.99986784256134e+01dB,1.79037345464094e+02°)
1.53108746168202e+05	(1.99986727673275e+01dB,1.79035126735252e+02°)
1.53461698279928e+05	(1.99986670829315e+01dB,1.79032902894616e+02°)
1.53815464030302e+05	(1.99986613723051e+01dB,1.79030673930422e+02°)
1.54170045294954e+05	(1.99986556353272e+01dB,1.79028439830879e+02°)
1.54525443953840e+05	(1.99986498718762e+01dB,1.79026200584170e+02°)
1.54881661891247e+05	(1.99986440818300e+01dB,1.79023956178450e+02°)
1.55238700995807e+05	(1.99986382650660e+01dB,1.79021706601846e+02°)
1.55596563160506e+05	(1.99986324214608e+01dB,1.79019451842459e+02°)
1.55955250282694e+05	(1.99986265508907e+01dB,1.79017191888363e+02°)
1.56314764264094e+05	(1.99986206532313e+01dB,1.79014926727604e+02°)
1.56675107010813e+05	(1.99986147283576e+01dB,1.79012656348200e+02°)
1.57036280433354e+05	(1.99986087761440e+01dB,1.79010380738143e+02°)
1.57398286446620e+05	(1.99986027964645e+01dB,1.79008099885396e+02°)
1.57761126969933e+05	(1.99985967891924e+01dB,1.79005813777895e+02°)
1.58124803927037e+05	(1.99985907542003e+01dB,1.79003522403549e+02°)
1.58489319246110e+05	(1.99985846913603e+01dB,1.79001225750239e+02°)
1.58854674859776e+05	(1.99985786005442e+01dB,1.78998923805817e+02°)
1.59220872705115e+05	(1.99985724816226e+01dB,1.78996616558108e+02°)
1.59587914723672e+05	(1.99985663344661e+01dB,1.78994303994910e+02°)
1.59955802861465e+05	(1.99985601589444e+01dB,1.78991986103991e+02°)
1.60324539069002e+05	(1.99985539549266e+01dB,1.78989662873093e+02°)
1.60694125301286e+05	(1.99985477222813e+01dB,1.78987334289929e+02°)
1.61064563517825e+05	(1.99985414608764e+01dB,1.78985000342184e+02°)
1.61435855682647e+05	(1.99985351705793e+01dB,1.78982661017514e+02°)
1.61808003764305e+05	(1.99985288512566e+01dB,1.78980316303547e+02°)
1.62181009735891e+05	(1.99985225027746e+01dB,1.78977966187884e+02°)
1.62554875575047e+05	(1.99985161249986e+01dB,1.78975610658096e+02°)
1.62929603263970e+05	(1.99985097177936e+01dB,1.78973249701726e+02°)
1.63305194789432e+05	(1.99985032810238e+01dB,1.78970883306289e+02°)
1.63681652142779e+05	(1.99984968145528e+01dB,1.78968511459271e+02°)
1.64058977319952e+05	(1.99984903182436e+01dB,1.78966134148129e+02°)
1.64437172321491e+05	(1.99984837919586e+01dB,1.78963751360290e+02°)
1.64816239152549e+05	(1.99984772355595e+01dB,1.78961363083156e+02°)
1.65196179822900e+05	(1.99984706489074e+01dB,1.78958969304097e+02°)
1.65576996346951e+05	(1.99984640318628e+01dB,1.78956570010454e+02°)
1.65958690743754e+05	(1.99984573842855e+01dB,1.78954165189540e+02°)
1.66341265037015e+05	(1.99984507060345e+01dB,1.78951754828640e+02°)
1.66724721255104e+05	(1.99984439969685e+01dB,1.78949338915008e+02°)
1.67109061431069e+05	(1.99984372569453e+01dB,1.78946917435868e+02°)
1.67494287602642e+05	(1.99984304858221e+01dB,1.78944490378419e+02°)
1.67880401812254e+05	(1.99984236834555e+01dB,1.78942057729825e+02°)
1.68267406107045e+05	(1.99984168497012e+01dB,1.78939619477226e+02°)
1.68655302538872e+05	(1.99984099844147e+01dB,1.78937175607728e+02°)
1.69044093164324e+05	(1.99984030874503e+01dB,1.78934726108410e+02°)
1.69433780044731e+05	(1.99983961586620e+01dB,1.78932270966320e+02°)
1.69824365246172e+05	(1.99983891979030e+01dB,1.78929810168479e+02°)
1.70215850839493e+05	(1.99983822050259e+01dB,1.78927343701875e+02°)
1.70608238900310e+05	(1.99983751798824e+01dB,1.78924871553469e+02°)
1.71001531509027e+05	(1.99983681223238e+01dB,1.78922393710189e+02°)
1.71395730750840e+05	(1.99983610322005e+01dB,1.78919910158935e+02°)
1.71790838715757e+05	(1.99983539093623e+01dB,1.78917420886578e+02°)
1.72186857498599e+05	(1.99983467536584e+01dB,1.78914925879957e+02°)
1.72583789199018e+05	(1.99983395649372e+01dB,1.78912425125882e+02°)
1.72981635921508e+05	(1.99983323430462e+01dB,1.78909918611132e+02°)
1.73380399775412e+05	(1.99983250878327e+01dB,1.78907406322456e+02°)
1.73780082874935e+05	(1.99983177991428e+01dB,1.78904888246572e+02°)
1.74180687339159e+05	(1.99983104768221e+01dB,1.78902364370170e+02°)
1.74582215292048e+05	(1.99983031207156e+01dB,1.78899834679906e+02°)
1.74984668862463e+05	(1.99982957306674e+01dB,1.78897299162409e+02°)
1.75388050184174e+05	(1.99982883065209e+01dB,1.78894757804275e+02°)
1.75792361395867e+05	(1.99982808481190e+01dB,1.78892210592070e+02°)
1.76197604641161e+05	(1.99982733553035e+01dB,1.78889657512329e+02°)
1.76603782068614e+05	(1.99982658279157e+01dB,1.78887098551556e+02°)
1.77010895831740e+05	(1.99982582657962e+01dB,1.78884533696226e+02°)
1.77418948089014e+05	(1.99982506687849e+01dB,1.78881962932779e+02°)
1.77827941003890e+05	(1.99982430367207e+01dB,1.78879386247629e+02°)
1.78237876744807e+05	(1.99982353694420e+01dB,1.78876803627155e+02°)
1.78648757485203e+05	(1.99982276667864e+01dB,1.78874215057707e+02°)
1.79060585403527e+05	(1.99982199285907e+01dB,1.78871620525602e+02°)
1.79473362683250e+05	(1.99982121546910e+01dB,1.78869020017127e+02°)
1.79887091512876e+05	(1.99982043449226e+01dB,1.78866413518537e+02°)
1.80301774085954e+05	(1.99981964991201e+01dB,1.78863801016056e+02°)
1.80717412601090e+05	(1.99981886171173e+01dB,1.78861182495877e+02°)
1.81134009261958e+05	(1.99981806987472e+01dB,1.78858557944159e+02°)
1.81551566277311e+05	(1.99981727438422e+01dB,1.78855927347032e+02°)
1.81970085860996e+05	(1.99981647522336e+01dB,1.78853290690593e+02°)
1.82389570231961e+05	(1.99981567237523e+01dB,1.78850647960908e+02°)
1.82810021614272e+05	(1.99981486582281e+01dB,1.78847999144009e+02°)
1.83231442237119e+05	(1.99981405554902e+01dB,1.78845344225899e+02°)
1.83653834334832e+05	(1.99981324153670e+01dB,1.78842683192547e+02°)
1.84077200146893e+05	(1.99981242376861e+01dB,1.78840016029890e+02°)
1.84501541917945e+05	(1.99981160222742e+01dB,1.78837342723833e+02°)
1.84926861897805e+05	(1.99981077689573e+01dB,1.78834663260250e+02°)
1.85353162341478e+05	(1.99980994775607e+01dB,1.78831977624981e+02°)
1.85780445509167e+05	(1.99980911479086e+01dB,1.78829285803834e+02°)
1.86208713666284e+05	(1.99980827798248e+01dB,1.78826587782586e+02°)
1.86637969083464e+05	(1.99980743731318e+01dB,1.78823883546978e+02°)
1.87068214036577e+05	(1.99980659276517e+01dB,1.78821173082723e+02°)
1.87499450806739e+05	(1.99980574432055e+01dB,1.78818456375497e+02°)
1.87931681680324e+05	(1.99980489196136e+01dB,1.78815733410946e+02°)
1.88364908948977e+05	(1.99980403566955e+01dB,1.78813004174683e+02°)
1.88799134909627e+05	(1.99980317542697e+01dB,1.78810268652286e+02°)
1.89234361864495e+05	(1.99980231121541e+01dB,1.78807526829302e+02°)
1.89670592121112e+05	(1.99980144301656e+01dB,1.78804778691245e+02°)
1.90107827992327e+05	(1.99980057081203e+01dB,1.78802024223595e+02°)
1.90546071796322e+05	(1.99979969458336e+01dB,1.78799263411798e+02°)
1.90985325856621e+05	(1.99979881431197e+01dB,1.78796496241268e+02°)
1.91425592502106e+05	(1.99979792997924e+01dB,1.78793722697387e+02°)
1.91866874067026e+05	(1.99979704156642e+01dB,1.78790942765500e+02°)
