dB20(VF("/net156")/VF("/I75/net90")) X,dB20(VF("/net156")/VF("/I75/net90")) Y
100,-82.07180225800963
144.5439770745927,-78.87180225802329
208.9296130854039,-75.67180225805204
301.9951720402015,-72.47180225811235
436.5158322401658,-69.27180225823791
630.9573444801929,-66.07180225850004
912.0108393559092,-62.87180225904932
1318.256738556406,-59.67180226019534
1905.460717963246,-56.47180226258979
2754.228703338164,-53.27180226759297
3981.07170553497,-50.07180227804572
5754.399373371565,-46.87180229988573
8317.637711026704,-43.67180234551697
12022.64434617412,-40.47180244085647
17378.00828749374,-37.27180264006739
25118.86431509578,-34.07180305635415
36307.8054770101,-30.87180392643486
52480.74602497721,-27.67180574573876
75857.75750291831,-24.47180955302277
109647.8196143184,-21.27181753386998
158489.3192461112,-18.07183431582231
229086.765276777,-14.87186979074152
331131.1214825907,-11.67194531070479
478630.0923226377,-8.472107000411743
691830.9709189356,-5.272453032795021
999999.9999999987,-2.073188863440868
1445439.770745926,1.125254819501612
2089296.130854037,4.321956844263975
3019951.720402012,7.514879027543629
4365158.322401654,10.69925724918578
6309573.444801924,13.86295998699789
9120108.393559085,16.9714524803868
13182567.38556405,19.91629034545935
19054607.17963244,22.35758610222474
27542287.03338162,23.48637507749746
39810717.05534966,22.51835630320625
57543993.7337156,19.84610734490856
83176377.11026697,16.33676141973779
120226443.4617411,12.52652952908336
173780082.8749372,8.748981880537654
251188643.1509576,5.211752648978663
363078054.7701007,2.006460876140012
524807460.2497716,-0.825224642201019
758577575.0291823,-3.263629288653906
1096478196.143183,-5.368482519794481
1584893192.46111,-7.317687308420385
2290867652.767768,-9.315768968484102
3311311214.825903,-11.45002564075784
4786300923.226373,-13.65659494481038
6918309709.189349,-15.81918836407779
10000000000,-17.88760024678945
