dB20(VF("/net152")) X,dB20(VF("/net152")) Y
100,-22.11235301976389
144.5439770745927,-18.91288665338182
208.9296130854039,-15.71399844410532
301.9951720402015,-12.51631897447638
436.5158322401658,-9.321162571222573
630.9573444801929,-6.131264552570955
912.0108393559092,-2.9522948970525
1318.256738556406,0.2040924866982291
1905.460717963246,3.314362205357819
2754.228703338164,6.332666791193631
3981.07170553497,9.175942239990789
5754.399373371565,11.71360079624322
8317.637711026704,13.78912183436876
12022.64434617412,15.29647399027735
17378.00828749374,16.25793327183473
25118.86431509578,16.80613740702735
36307.8054770101,17.09499908583151
52480.74602497721,17.23989021717968
75857.75750291831,17.30998095665584
109647.8196143184,17.34185101641665
158489.3192461112,17.35300815360444
229086.765276777,17.35034714612292
331131.1214825907,17.33490443124748
478630.0923226377,17.30539315554496
691830.9709189356,17.26121610322176
999999.9999999987,17.20091079372181
1445439.770745926,17.11282822157589
2089296.130854037,16.96314242212436
3019951.720402012,16.68394433419023
4365158.322401654,16.16140040231649
6309573.444801924,15.240720659566
9120108.393559085,13.77981252605372
13182567.38556405,11.73774934071043
19054607.17963244,9.201710215105463
27542287.03338162,6.314350557799093
39810717.05534966,3.196264560928201
57543993.7337156,-0.06653578360318264
83176377.11026697,-3.391617438699199
120226443.4617411,-6.677191096965173
173780082.8749372,-9.791617131679455
251188643.1509576,-12.53648400479555
363078054.7701007,-14.66008732821513
524807460.2497716,-16.09705774737551
758577575.0291823,-17.16554025678893
1096478196.143183,-18.33047749601183
1584893192.46111,-19.91549297113751
2290867652.767768,-22.02089864733478
3311311214.825903,-24.5683807870844
4786300923.226373,-27.4099273466218
6918309709.189349,-30.41432402798889
10000000000,-33.49094243978405
