dB20(VF("/net156")) X,dB20(VF("/net156")) Y
100,-84.28415968996791
144.5439770745927,-77.88472122073469
208.9296130854039,-71.48589128879584
301.9951720402015,-65.08833349356314
436.5158322401658,-58.69343088360623
630.9573444801929,-52.30406125016118
912.0108393559092,-45.9261874615552
1318.256738556406,-39.57205497397246
1905.460717963246,-33.26635037006383
2754.228703338164,-27.05699190147461
3981.07170553497,-21.03018001873816
5754.399373371565,-15.31958872121177
8317.637711026704,-10.08126878030693
12022.64434617412,-5.414186823019617
17378.00828749374,-1.28647115297681
25118.86431509578,2.439015082598447
36307.8054770101,5.91474906921569
52480.74602497721,9.252729469024846
75857.75750291831,12.51939441875889
109647.8196143184,15.74968852087605
158489.3192461112,18.96029311111053
229086.765276777,22.15777692741979
331131.1214825907,25.3431726350868
478630.0923226377,28.51548621336166
691830.9709189356,31.67504182439397
999999.9999999987,34.82300844642558
1445439.770745926,37.9537574292379
2089296.130854037,41.04465863109549
3019951.720402012,44.04601492100132
4365158.322401654,46.86715683752362
6309573.444801924,49.36204572095239
9120108.393559085,51.33361165743969
13182567.38556405,52.55477460480406
19054607.17963244,52.68447351634443
27542287.03338162,51.0099538198626
39810717.05534966,46.86178026552051
57543993.7337156,40.70369372104572
83176377.11026697,33.40497098492935
120226443.4617411,25.4424099143904
173780082.8749372,17.04891749918376
251188643.1509576,8.432802482959445
363078054.7701007,0.04718143329776373
524807460.2497716,-7.371190846734545
758577575.0291823,-13.46433007521229
1096478196.143183,-18.69680918958342
1584893192.46111,-23.87332340621746
2290867652.767768,-29.62403219539472
3311311214.825903,-36.18406923169944
4786300923.226373,-43.38437738689385
6918309709.189349,-50.83557215628414
10000000000,-58.18409285594952
