dB20(VF("/net153")) X,dB20(VF("/net153")) Y
100,-2.212992724355804
144.5439770745927,0.9864457448910977
208.9296130854039,4.185275676858709
301.9951720402015,7.382833472151803
436.5158322401658,10.57773608223442
630.9573444801929,13.76710571594194
912.0108393559092,16.94497950509799
1318.256738556406,20.09911199382824
1905.460717963246,23.20481660013455
2754.228703338164,26.21417507373377
3981.07170553497,29.0409869669374
5754.399373371565,31.5515782863358
8317.637711026704,33.58989827294225
12022.64434617412,35.05698032572347
17378.00828749374,35.98469619530933
25118.86431509578,36.51018284787474
36307.8054770101,36.78591770604906
52480.74602497721,36.92389992825075
75857.75750291831,36.99056869172401
109647.8196143184,37.02087078817713
158489.3192461112,37.03149218854871
229086.765276777,37.02901153867401
331131.1214825907,37.01448288943057
478630.0923226377,36.98695841512669
691830.9709189356,36.9468605996041
999999.9999999987,36.89556419575544
1445439.770745926,36.82787194467583
2089296.130854037,36.72207650609386
3019951.720402012,36.53052304181958
4365158.322401654,36.16731786815625
6309573.444801924,35.4985914506797
9120108.393559085,34.36194258314008
13182567.38556405,32.63922310910245
19054607.17963244,30.3307664691817
27542287.03338162,27.53497752666276
39810717.05534966,24.36432416198424
57543993.7337156,20.88531833672369
83176377.11026697,17.10084014365634
120226443.4617411,12.95317453349881
173780082.8749372,8.342927825398958
251188643.1509576,3.27336953220623
363078054.7701007,-1.887436373276885
524807460.2497716,-6.427412787025692
758577575.0291823,-9.964367958914405
1096478196.143183,-12.79954204698185
1584893192.46111,-15.36649573992561
2290867652.767768,-17.87281815888299
3311311214.825903,-20.4202755631772
4786300923.226373,-23.10861358753032
6918309709.189349,-25.96776156114742
10000000000,-28.94973757243431
