phase(VF("/net153")) X,phase(VF("/net153")) Y
100,-90.62455245575053
144.5439770745927,-90.90232153830578
208.9296130854039,-91.30386236994221
301.9951720402015,-91.88411330450671
436.5158322401658,-92.72217777173647
630.9573444801929,-93.93144733028575
912.0108393559092,-95.67296846091463
1318.256738556406,-98.17105296738187
1905.460717963246,-101.7253192300408
2754.228703338164,-106.7002695595202
3981.07170553497,-113.4469889587103
5754.399373371565,-122.0903808372248
8317.637711026704,-132.2038319525686
12022.64434617412,-142.6914015716104
17378.00828749374,-152.2568478308399
25118.86431509578,-160.0939837502145
36307.8054770101,-166.0736354973618
52480.74602497721,-170.471452313136
75857.75750291831,-173.6774577186963
109647.8196143184,-176.0535927365215
158489.3192461112,-177.8958173666203
229086.765276777,-179.4382964473352
331131.1214825907,-180.8670271503312
478630.0923226377,-182.3352684552351
691830.9709189356,-183.9934411078195
999999.9999999987,-186.0422429737723
1445439.770745926,-188.7742183690585
2089296.130854037,-192.5722771668567
3019951.720402012,-197.8825261249892
4365158.322401654,-205.1471262637142
6309573.444801924,-214.6224557006266
9120108.393559085,-226.0741810705468
13182567.38556405,-238.6347694192587
19054607.17963244,-251.2243666493224
27542287.03338162,-263.2253544035878
39810717.05534966,-274.6892540712477
57543993.7337156,-286.1300812225039
83176377.11026697,-298.1965989585643
120226443.4617411,-311.4125162019923
173780082.8749372,-325.6744487582802
251188643.1509576,-339.6391002197791
363078054.7701007,-351.3623192661498
524807460.2497716,-360.9420987977421
758577575.0291823,-371.181942046329
1096478196.143183,-383.2955859640822
1584893192.46111,-395.5904420455216
2290867652.767768,-406.4070489845162
3311311214.825903,-415.4456943763276
4786300923.226373,-422.7224716815614
6918309709.189349,-427.9872413795718
10000000000,-431.0472651715744
