dB20(VF("/net155")/VF("/net153")) X,dB20(VF("/net155")/VF("/net153")) Y
100,-76.06404497729457
144.5439770745927,-72.86405320144888
208.9296130854039,-69.66405714169373
301.9951720402015,-66.46405903577272
436.5158322401658,-63.26405995938311
630.9573444801929,-60.06406043706567
912.0108393559092,-56.86406074010946
1318.256738556406,-53.66406104062329
1905.460717963246,-50.46406150926887
2754.228703338164,-47.26406241221549
3981.07170553497,-44.06406426225585
5754.399373371565,-40.86406811008142
8317.637711026704,-37.66407614096985
12022.64434617412,-34.46409291587214
17378.00828749374,-31.26412796168774
25118.86431509578,-28.06420118168791
36307.8054770101,-24.86435415898643
52480.74602497721,-21.66467377111873
75857.75750291831,-18.46534152461238
109647.8196143184,-15.26673661197708
158489.3192461112,-12.06965115734078
229086.765276777,-8.875739616877635
331131.1214825907,-5.68845639445818
478630.0923226377,-2.515009255036988
691830.9709189356,0.6295831061274768
999999.9999999987,3.714123707197825
1445439.770745926,6.6743391272954
2089296.130854037,9.380920230798566
3019951.720402012,11.59116736391368
4365158.322401654,12.92818267589925
6309573.444801924,13.02784375432236
9120108.393559085,11.85206327896996
13182567.38556405,9.723485740332016
19054607.17963244,7.014723167746737
27542287.03338162,3.955071423545932
39810717.05534966,0.6352420686425992
57543993.7337156,-2.93397612084245
83176377.11026697,-6.851204662018247
120226443.4617411,-11.51005564766333
173780082.8749372,-17.42330206330274
251188643.1509576,-24.32971496068981
363078054.7701007,-31.46102352418309
524807460.2497716,-38.45576092599088
758577575.0291823,-45.33465771773839
1096478196.143183,-52.25277436156359
1584893192.46111,-59.40286406442848
2290867652.767768,-66.97075694338731
3311311214.825903,-75.04401909625331
4786300923.226373,-83.50858594624246
6918309709.189349,-92.0765246744763
10000000000,-100.4765551721363
