time	V(input_bode)	V(out)	V(out_fs)	V(out_preamp)
2.000666888962988e-09	1.743549e-03	4.000000e-08	9.423862e-04	-1.561428e-03
2.012158755922357e-09	1.766082e-03	4.000000e-08	9.741507e-04	-1.598660e-03
2.053748059042894e-09	1.841970e-03	4.000000e-08	1.094687e-03	-1.736325e-03
2.072135046177886e-09	1.872817e-03	4.000000e-08	1.151785e-03	-1.798984e-03
2.100700233411137e-09	1.917820e-03	4.000000e-08	1.243476e-03	-1.897561e-03
2.115409823119130e-09	1.939556e-03	4.000000e-08	1.293309e-03	-1.949309e-03
2.154639462890677e-09	1.993090e-03	4.000000e-08	1.431741e-03	-2.089110e-03
2.178174806423465e-09	2.022169e-03	4.000000e-08	1.520283e-03	-2.174555e-03
2.203871623663659e-09	2.051731e-03	4.000000e-08	1.620006e-03	-2.268601e-03
2.222699898489890e-09	2.071738e-03	4.000000e-08	1.696773e-03	-2.338315e-03
2.255751917305768e-09	2.104017e-03	4.000000e-08	1.836038e-03	-2.461526e-03
2.304768256085362e-09	2.145270e-03	4.000000e-08	2.056913e-03	-2.646431e-03
2.328776258752918e-09	2.162743e-03	4.000000e-08	2.171690e-03	-2.737738e-03
2.353984661553851e-09	2.179475e-03	4.000000e-08	2.295352e-03	-2.833876e-03
2.373191063687896e-09	2.190951e-03	4.000000e-08	2.393501e-03	-2.907382e-03
2.400800266755585e-09	2.205857e-03	4.000000e-08	2.537734e-03	-3.013190e-03
2.412804268089364e-09	2.213162e-03	4.000000e-08	2.602628e-03	-3.059298e-03
2.428809603201068e-09	2.225216e-03	4.000000e-08	2.690737e-03	-3.120932e-03
2.460420140046683e-09	2.254135e-03	4.000000e-08	2.868797e-03	-3.243174e-03
2.500833611203735e-09	2.297105e-03	4.000000e-08	3.107047e-03	-3.401221e-03
2.550850283427809e-09	2.349386e-03	4.000000e-08	3.418090e-03	-3.599848e-03
2.560453484494826e-09	2.359828e-03	4.000000e-08	3.480015e-03	-3.638377e-03
2.573257752584182e-09	2.375522e-03	4.000000e-08	3.563805e-03	-3.690035e-03
2.600866955651884e-09	2.414010e-03	4.000000e-08	3.746940e-03	-3.802042e-03
2.650883627875959e-09	2.489466e-03	4.000000e-08	4.093894e-03	-4.009310e-03
2.673291097032660e-09	2.522329e-03	4.000000e-08	4.255907e-03	-4.104077e-03
2.704901633876606e-09	2.565897e-03	4.000000e-08	4.489398e-03	-4.239061e-03
2.728909636536043e-09	2.596225e-03	4.000000e-08	4.672775e-03	-4.342992e-03
2.754118039345366e-09	2.625840e-03	4.000000e-08	4.868775e-03	-4.452817e-03
2.773324441472915e-09	2.646579e-03	4.000000e-08	5.022446e-03	-4.537254e-03
2.804934978358586e-09	2.677823e-03	4.000000e-08	5.280039e-03	-4.676906e-03
2.828942981221003e-09	2.698962e-03	4.000000e-08	5.481916e-03	-4.783729e-03
2.854151383820580e-09	2.719204e-03	4.000000e-08	5.697432e-03	-4.896230e-03
2.873357786110514e-09	2.733088e-03	4.000000e-08	5.866067e-03	-4.982274e-03
2.904968321994814e-09	2.753533e-03	4.000000e-08	6.148370e-03	-5.124135e-03
2.940122897440798e-09	2.772150e-03	4.000000e-08	6.472405e-03	-5.282735e-03
2.975277472886783e-09	2.787871e-03	4.000000e-08	6.806026e-03	-5.440834e-03
3.010432048332767e-09	2.800695e-03	4.000000e-08	7.149232e-03	-5.598432e-03
3.045586623778752e-09	2.810623e-03	4.000000e-08	7.502022e-03	-5.755530e-03
3.080741199224736e-09	2.817654e-03	4.000000e-08	7.864397e-03	-5.912127e-03
3.115895774670721e-09	2.821788e-03	4.000000e-08	8.236357e-03	-6.068223e-03
